#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-30-48
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1346414452.382096	CyNY1Q274PWE65gynl	192.168.74.10	1029	213.186.33.19	80	1	GET	blick.com.pl	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2662	200	OK	-	-	-	(empty)	-	-	-	-	-	FnpWGM1OycoEwQBUga	application/xml
1346414452.724302	CiZvEg3cbK95vLZPGd	192.168.74.10	1033	66.175.58.9	80	1	GET	camel-paper.com	/wp-includes/ads.php	http://blick.com.pl/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1346414453.573585	CF5DLS3pVVyODU6JC6	192.168.74.10	1037	74.124.219.70	80	1	GET	ishrescue.com	/67704631.html	http://blick.com.pl/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12715	200	OK	-	-	-	(empty)	-	-	-	-	-	FSfCaSM4d7NhEiV9	text/html
1346414454.653562	CF5DLS3pVVyODU6JC6	192.168.74.10	1037	74.124.219.70	80	2	GET	ishrescue.com	/98765.pdf	http://ishrescue.com/67704631.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5377	200	OK	-	-	-	(empty)	-	-	-	-	-	F8NGMM6cH3T9gB29	application/pdf
1346414467.84738	CRjy9L1dCpRiQ0LcTf	192.168.74.10	1041	74.124.219.70	80	1	GET	ishrescue.com	/2.html	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	18432	200	OK	-	-	-	(empty)	-	-	-	-	-	F4m92u1Q9sAmy8zvt8	application/x-dosexec
1346414468.660789	CQoUaI2rrg5MFIlq81	192.168.74.10	1042	74.124.219.70	80	1	GET	ishrescue.com	/88770.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	0	404	Not Found	-	-	-	(empty)	-	-	-	-	-	-	-
1346414468.664821	Cn4pgr4GVQFJbNE6bj	192.168.74.10	1043	74.124.219.70	80	1	GET	ishrescue.com	/33256.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	12477	200	OK	-	-	-	(empty)	-	-	-	-	-	FT2L4845YGMnrTvqN4	application/jar
1346414469.980188	CQoUaI2rrg5MFIlq81	192.168.74.10	1042	74.124.219.70	80	2	GET	ishrescue.com	/88770.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	0	404	Not Found	-	-	-	(empty)	-	-	-	-	-	-	-
1346414470.389466	CQoUaI2rrg5MFIlq81	192.168.74.10	1042	74.124.219.70	80	3	GET	ishrescue.com	/Ini.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	214	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FlPiN54dnxWInUtMd	text/html
1346414470.446064	CQoUaI2rrg5MFIlq81	192.168.74.10	1042	74.124.219.70	80	4	GET	ishrescue.com	/Ini/class.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	220	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F3uWfS1WFeXGloNu7b	text/html
1346414470.321051	CVPtLh1aDtqjVax7d9	192.168.74.10	1044	74.124.219.70	80	1	GET	ishrescue.com	/3.html	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	18432	200	OK	-	-	-	(empty)	-	-	-	-	-	FEIXD420ujWeTGCcNh	application/x-dosexec
1346414474.588936	CcofyABotdkalcCG5	192.168.74.10	1045	81.169.167.40	80	1	GET	kumst-haiger.de	/132999.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	291328	200	OK	-	-	-	(empty)	-	-	-	-	-	FzN1eu3Qmw2Um4Pi1i	binary
1346414476.379533	CcofyABotdkalcCG5	192.168.74.10	1045	81.169.167.40	80	2	GET	kumst-haiger.de	/132999.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	168448	200	OK	-	-	-	(empty)	-	-	-	-	-	F1EXam2KUeuUTyImz8	binary
