#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-59-17
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1318160639.820457	CVocHMEqPJTNWvzPk	192.168.87.10	1030	91.185.211.46	80	1	GET	legokocke.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	231	302	Found	-	-	-	(empty)	-	-	-	-	-	FMKV5x1GAlf6Te7cne	text/html
1318160640.157677	Cuhz7xMa2cxNlmTj4	192.168.87.10	1031	91.226.97.56	80	1	GET	macroscomfort.ru	/securityagent/index.php	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	652	200	OK	-	-	-	(empty)	-	-	-	-	-	FbDC9K2ScZzDSbhJrg	text/html
1318160640.886562	CtJTT34i5KtqkY6fZ	192.168.87.10	1032	89.208.34.80	80	1	GET	macros-comfort.ru	/allow.php?page=19909cd93a1a78f6	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	112521	200	OK	-	-	-	(empty)	-	-	-	-	-	FN6HPoA8Lt82MxWog	text/html
1318160647.374092	CtJTT34i5KtqkY6fZ	192.168.87.10	1032	89.208.34.80	80	2	GET	macros-comfort.ru	/w.php?f=48&e=4	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	456192	200	OK	-	-	-	(empty)	-	-	-	-	-	F805v01KAmAP8pLF21	application/x-dosexec
1318160651.502047	CtJTT34i5KtqkY6fZ	192.168.87.10	1032	89.208.34.80	80	3	GET	macros-comfort.ru	/content/2fdp.php?f=48	http://macros-comfort.ru/allow.php?page=19909cd93a1a78f6	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	19569	200	OK	-	-	-	(empty)	-	-	-	-	-	Fe5IUMB9sJad3oLJk	application/pdf
1318160663.900347	CtJTT34i5KtqkY6fZ	192.168.87.10	1032	89.208.34.80	80	4	GET	macros-comfort.ru	/w.php?f=48&e=6	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	456192	200	OK	-	-	-	(empty)	-	-	-	-	-	Fbi2pb3ho8KtJoHWYj	application/x-dosexec
1318160667.941154	CtJTT34i5KtqkY6fZ	192.168.87.10	1032	89.208.34.80	80	5	GET	macros-comfort.ru	/content/field.swf	http://macros-comfort.ru/allow.php?page=19909cd93a1a78f6	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1320	200	OK	-	-	-	(empty)	-	-	-	-	-	FlHcakUqEr3cTocke	application/x-shockwave-flash
1318160673.008007	CGoe0GLYAmVYIYDCa	192.168.87.10	1042	91.226.97.56	80	1	OPTIONS	91.226.97.56	/	-	Microsoft-WebDAV-MiniRedir/5.1.2600	0	166	405	Not Allowed	-	-	-	(empty)	-	-	-	-	-	FhlYyP1gCTtfoZPO7e	text/html
1318160683.510661	Ctk0fy1RfOx2CZradb	192.168.87.10	1043	208.67.217.136	80	1	GET	guide.opendns.com	/main?q=Sorry, this page can be found	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	41340	200	OK	-	-	-	(empty)	-	-	-	-	-	Fd7DDHWL9ReeVLn8a	text/html
1318160685.548467	CFtOPZ1TY9ZV9oHCH5	192.168.87.10	1044	208.67.217.136	80	1	GET	guide.opendns.com	/layouts/basic/css/opendns.css?v142	http://guide.opendns.com/main?q=Sorry, this page can be found	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8605	200	OK	-	-	-	(empty)	-	-	-	-	-	FBhW96T6Y9LnvAbBa	text/plain
1318160685.735223	CalUrb3we2NLNGU86a	192.168.87.10	1045	208.67.216.141	80	1	GET	files.opendns.com	/guide/layouts/common/js/jquery-1.4.2.min.js	http://guide.opendns.com/main?q=Sorry, this page can be found	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	72107	200	OK	-	-	-	(empty)	-	-	-	-	-	FJ1ZHR2KWJKs0YO4zg	text/plain
#close	2014-04-03-10-59-17
