#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-30-18
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1328389568.424664	Cdec2A1wjoaawBZsD3	192.168.25.10	1030	146.185.18.50	80	1	GET	teenpornzilla.org	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1328389568.634097	CkdcAt32a8VnPFsW1a	192.168.25.10	1031	78.159.105.120	80	1	GET	ghjsanta.net	/?site=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	270	200	OK	-	-	-	(empty)	-	-	-	-	-	Fw39Jt1TnO2DW6kJT	text/html
1328389570.288436	CcSM6a40B5K9fKyVQ1	192.168.25.10	1032	78.159.105.120	80	1	GET	ghjsanta.net	/?67d13609ce39fc30d55b1bc747b23cdd	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3036	200	OK	-	-	-	(empty)	-	-	-	-	-	FSnrVt2utdYu7ZptRh	application/zip
1328389570.286392	CP7QGn2kXgN2KioNr6	192.168.25.10	1033	78.159.105.120	80	1	GET	ghjsanta.net	/?72756a76e02df74e234cc50286228df7	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3735	200	OK	-	-	-	(empty)	-	-	-	-	-	FuSqiowwRe7AQ3owl	application/zip
1328389570.651869	C0M4oN24GCkmber617	192.168.25.10	1035	78.159.105.120	80	1	GET	ghjsanta.net	/?72756a76e02df74e234cc50286228df7	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3735	200	OK	-	-	-	(empty)	-	-	-	-	-	FniHNQ16fWBIkwnDCd	application/zip
1328389570.655399	CVXPu24e5UmWyjTRi1	192.168.25.10	1034	78.159.105.120	80	1	GET	ghjsanta.net	/?67d13609ce39fc30d55b1bc747b23cdd	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3036	200	OK	-	-	-	(empty)	-	-	-	-	-	FbdmkqCP09r3XrLS	application/zip
1328389570.975691	CBZr943qLbsiX1OSt9	192.168.25.10	1040	78.159.105.120	80	1	GET	ghjsanta.net	/?67d13609ce39fc30d55b1bc747b23cdd	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3036	200	OK	-	-	-	(empty)	-	-	-	-	-	FcfeERadd1ELJKYod	application/zip
1328389571.076729	Cdm1Oz437ZJ77Vj9vb	192.168.25.10	1041	78.159.105.120	80	1	GET	ghjsanta.net	/?72756a76e02df74e234cc50286228df7	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3735	200	OK	-	-	-	(empty)	-	-	-	-	-	F3CyiA2u2AfyEpmls1	application/zip
1328389571.453796	CQiBmp1lkbnrfD1bZf	192.168.25.10	1043	78.159.105.120	80	1	GET	ghjsanta.net	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FxYGd4XGHDFeCkc65	text/html
1328389571.68828	CvTISP3zwsrml4vDj	192.168.25.10	1044	78.159.105.120	80	1	GET	ghjsanta.net	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	Fd2yFt3g8J8o12Yn1g	text/html
1328389571.949362	CLojQ62ykMmRHYBx9l	192.168.25.10	1045	78.159.105.120	80	1	GET	ghjsanta.net	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FHb9pT3vk9WvvOIgB1	text/html
