#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-59-28
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1331172430.621277	C5B6zq41it6quIhuM4	192.168.94.10	1030	216.92.50.16	80	1	GET	csachristuniversity.in	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	223	302	Found	-	-	-	(empty)	-	-	-	-	-	FpwhVe2J0esZmS39Xd	text/html
1331172430.895661	CX19ZE3BXCE5lDolog	192.168.94.10	1031	95.163.67.210	80	1	GET	panamairline.ru	/mysave/index.php	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1291	200	OK	-	-	-	(empty)	-	-	-	-	-	F1zS8gcyyICNYQ3Rh	text/html
1331172431.258706	CVRTmr1WjwxrZq2kC1	192.168.94.10	1032	67.213.222.18	80	1	GET	www3.personalzbholder.in	/?nwg9rxv=kuzQna+wpqWVmOPY0p6foM7brJ2UlamU69ulr9mno5rXp6CelaOrhg==	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1331172431.418512	Cdh1b94qkA36dpVOld	192.168.94.10	1033	67.213.222.13	80	1	GET	www1.safehfantivir.in	/usa8v93?ixs8y=jfHYqeTensjb1tTR55re382voaioaJ/jysqim4zC0Nbbs6vIuZ7fq7akkZacjtXUq+vfzrmYy+HXddvSqqubjt7T593Ps9zZy+ncrJ/WxKO6u4zK3rGgqpekmq+ha6+hmp6L29rC4uncs5qY4OHXdbGokYzZ3NKez6Wcq86mmqinb6qZ1dmimZmUn6WgqJyjnZ7Xp+bUytSi393YoaLZ29vl2ObUpPPVydXRzMvTnN3XnOPd1NnedeLbwsvV0Io=	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5118	200	OK	-	-	-	(empty)	-	-	-	-	-	F6HIsx2nbIG41y7jPf	text/html
1331172431.540965	Cdh1b94qkA36dpVOld	192.168.94.10	1033	67.213.222.13	80	2	GET	www1.safehfantivir.in	/pictures/load.gif	http://www1.safehfantivir.in/usa8v93?ixs8y=jfHYqeTensjb1tTR55re382voaioaJ%2Fjysqim4zC0Nbbs6vIuZ7fq7akkZacjtXUq%2BvfzrmYy%2BHXddvSqqubjt7T593Ps9zZy%2BncrJ%2FWxKO6u4zK3rGgqpekmq%2Bha6%2Bhmp6L29rC4uncs5qY4OHXdbGokYzZ3NKez6Wcq86mmqinb6qZ1dmimZmUn6WgqJyjnZ7Xp%2BbUytSi393YoaLZ29vl2ObUpPPVydXRzMvTnN3XnOPd1NnedeLbwsvV0Io%3D	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6739	200	OK	-	-	-	(empty)	-	-	-	-	-	FEF1Cx10qctPrqwbg	image/gif
1331172431.574253	C3BitY1WM3mJXOZ6Fa	192.168.94.10	1034	67.213.222.13	80	1	GET	www1.safehfantivir.in	/1e462b.js	http://www1.safehfantivir.in/usa8v93?ixs8y=jfHYqeTensjb1tTR55re382voaioaJ%2Fjysqim4zC0Nbbs6vIuZ7fq7akkZacjtXUq%2BvfzrmYy%2BHXddvSqqubjt7T593Ps9zZy%2BncrJ%2FWxKO6u4zK3rGgqpekmq%2Bha6%2Bhmp6L29rC4uncs5qY4OHXdbGokYzZ3NKez6Wcq86mmqinb6qZ1dmimZmUn6WgqJyjnZ7Xp%2BbUytSi393YoaLZ29vl2ObUpPPVydXRzMvTnN3XnOPd1NnedeLbwsvV0Io%3D	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	99865	200	OK	-	-	-	(empty)	-	-	-	-	-	FgrgvygLGbxD4cSv7	text/plain
1331172451.684299	Cdh1b94qkA36dpVOld	192.168.94.10	1033	67.213.222.13	80	3	GET	www1.safehfantivir.in	/i.html	http://www1.safehfantivir.in/usa8v93?ixs8y=jfHYqeTensjb1tTR55re382voaioaJ%2Fjysqim4zC0Nbbs6vIuZ7fq7akkZacjtXUq%2BvfzrmYy%2BHXddvSqqubjt7T593Ps9zZy%2BncrJ%2FWxKO6u4zK3rGgqpekmq%2Bha6%2Bhmp6L29rC4uncs5qY4OHXdbGokYzZ3NKez6Wcq86mmqinb6qZ1dmimZmUn6WgqJyjnZ7Xp%2BbUytSi393YoaLZ29vl2ObUpPPVydXRzMvTnN3XnOPd1NnedeLbwsvV0Io%3D	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	48952	200	OK	-	-	-	(empty)	-	-	-	-	-	F0eQX51jrIwRHyEbEk	text/html
1331172453.202537	C3BitY1WM3mJXOZ6Fa	192.168.94.10	1034	67.213.222.13	80	2	GET	www1.safehfantivir.in	/IlpFGdCWw.pdf	http://www1.safehfantivir.in/i.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10139	200	OK	-	-	-	(empty)	-	-	-	-	-	FvNSDd2UZtFOeTzdQf	application/pdf
1331172454.597139	Cdh1b94qkA36dpVOld	192.168.94.10	1033	67.213.222.13	80	4	GET	www1.safehfantivir.in	/cl/7/fill_sprite.gif	http://www1.safehfantivir.in/usa8v93?ixs8y=jfHYqeTensjb1tTR55re382voaioaJ%2Fjysqim4zC0Nbbs6vIuZ7fq7akkZacjtXUq%2BvfzrmYy%2BHXddvSqqubjt7T593Ps9zZy%2BncrJ%2FWxKO6u4zK3rGgqpekmq%2Bha6%2Bhmp6L29rC4uncs5qY4OHXdbGokYzZ3NKez6Wcq86mmqinb6qZ1dmimZmUn6WgqJyjnZ7Xp%2BbUytSi393YoaLZ29vl2ObUpPPVydXRzMvTnN3XnOPd1NnedeLbwsvV0Io%3D	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2495	200	OK	-	-	-	(empty)	-	-	-	-	-	FAXTvo2hy80qYYX9ab	image/gif
1331172454.865914	C3BitY1WM3mJXOZ6Fa	192.168.94.10	1034	67.213.222.13	80	3	GET	www1.safehfantivir.in	/cl/7/icon_sprite.jpg	http://www1.safehfantivir.in/usa8v93?ixs8y=jfHYqeTensjb1tTR55re382voaioaJ%2Fjysqim4zC0Nbbs6vIuZ7fq7akkZacjtXUq%2BvfzrmYy%2BHXddvSqqubjt7T593Ps9zZy%2BncrJ%2FWxKO6u4zK3rGgqpekmq%2Bha6%2Bhmp6L29rC4uncs5qY4OHXdbGokYzZ3NKez6Wcq86mmqinb6qZ1dmimZmUn6WgqJyjnZ7Xp%2BbUytSi393YoaLZ29vl2ObUpPPVydXRzMvTnN3XnOPd1NnedeLbwsvV0Io%3D	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8147	200	OK	-	-	-	(empty)	-	-	-	-	-	FXwd751N2djB83MPdi	image/jpeg
1331172455.110419	Cdh1b94qkA36dpVOld	192.168.94.10	1033	67.213.222.13	80	5	GET	www1.safehfantivir.in	/cl/7/table_divider.gif	http://www1.safehfantivir.in/usa8v93?ixs8y=jfHYqeTensjb1tTR55re382voaioaJ%2Fjysqim4zC0Nbbs6vIuZ7fq7akkZacjtXUq%2BvfzrmYy%2BHXddvSqqubjt7T593Ps9zZy%2BncrJ%2FWxKO6u4zK3rGgqpekmq%2Bha6%2Bhmp6L29rC4uncs5qY4OHXdbGokYzZ3NKez6Wcq86mmqinb6qZ1dmimZmUn6WgqJyjnZ7Xp%2BbUytSi393YoaLZ29vl2ObUpPPVydXRzMvTnN3XnOPd1NnedeLbwsvV0Io%3D	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12548	200	OK	-	-	-	(empty)	-	-	-	-	-	FKj4w51BcM2zjduWKf	image/gif
