#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-09-04
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1319848404.121175	C0f0thc4bVxDsqNdc	192.168.124.10	1031	95.168.165.225	80	1	GET	burob29.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	244	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FI6zg1dADldKaxBKg	text/html
1319848404.335481	Ch8Rtm3R0UiROKUJCf	192.168.124.10	1032	109.236.85.57	80	1	GET	bondadventures-pro.in	/?site=1	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1319848404.609925	CCMbez2AxWLSW7RzUe	192.168.124.10	1033	95.168.163.76	80	1	GET	googleads1.in	/redir.html	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	349	200	OK	-	-	-	(empty)	-	-	-	-	-	F7vDJhpH3VJR1K1yj	text/html
1319848404.883554	CWpGLD1tnwWKcybqS7	192.168.124.10	1036	95.168.163.76	80	1	GET	googleads1.in	/in.cgi?default	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	186	302	Found	-	-	-	(empty)	-	-	-	-	-	FYxwxEjfcRm6EeAD1	text/html
1319848405.167315	CPywhN1cgPWbS0HAN5	192.168.124.10	1037	109.236.85.57	80	1	GET	domain1for8.in	/?site=8	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	52003	200	OK	-	-	-	(empty)	-	-	-	-	-	FSBexZ2LUDmhpAZ0A1	text/html
1319848406.412116	CjtVRe2PVLdUoEsJja	192.168.124.10	1038	109.236.85.57	80	1	GET	bondadventures-pro.in	/dl/pdf_libtiff9.php	http://domain1for8.in/?site=8	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2648	200	OK	-	-	-	(empty)	-	-	-	-	-	FGgY5fut5lslTfkK2	application/pdf
1319848410.460808	C0P6Rc1264jbq4goyg	192.168.124.10	1040	109.236.85.57	80	1	GET	bondadventures-pro.in	/dl/dl.php?6	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	403344	200	OK	-	-	-	(empty)	-	-	-	-	-	FgdD66lnxmuJcAj9k	application/x-dosexec
1319848412.035794	C6mSCCeQhvXBw6rM2	192.168.124.10	1048	109.236.85.57	80	1	GET	bondadventures-pro.in	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5875	200	OK	-	-	-	(empty)	-	-	-	-	-	FIet2A4gOg5CcQzk9e	application/jar
1319848412.030839	CeN3b415tWmeGa9R5g	192.168.124.10	1046	109.236.85.57	80	1	GET	1844204857	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	Fzy9Ub1UpZRe650z58	application/x-java-applet
1319848412.031892	CuCO3z34MqxV3o6Bvj	192.168.124.10	1045	109.236.85.57	80	1	GET	1844204857	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FBIFSD0eFBVITjOi3	application/x-java-applet
1319848412.035206	CBbMa2OrBxg990Qi	192.168.124.10	1050	109.236.85.57	80	1	GET	1844204857	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FGL2O8qfGuf07dSi7	application/x-java-applet
1319848412.036821	C1xIS74bgJQVY03Qn2	192.168.124.10	1047	109.236.85.57	80	1	GET	1844204857	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FiHy6D1RvdRm6Bvvrh	application/x-java-applet
1319848412.041761	CSZdE04182SphAW3Bi	192.168.124.10	1044	109.236.85.57	80	1	GET	1844204857	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FZEbv43kRrSI7AkT04	application/x-java-applet
1319848412.036146	C1oB7txeSZ3sTgWO4	192.168.124.10	1049	109.236.85.57	80	1	GET	bondadventures-pro.in	/dl/apache.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	18854	200	OK	-	-	-	(empty)	-	-	-	-	-	FcB55H1VHN5qg6Skm8	application/jar
1319848412.16317	Cv0kpo28XjkpvBbM3b	192.168.124.10	1051	109.236.85.57	80	1	GET	1844204857	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FxcEgsXUaFlIK2XG7	application/x-java-applet
1319848412.57581	C2uxcX2wGEzzku8R0e	192.168.124.10	1053	109.236.85.57	80	1	GET	bondadventures-pro.in	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5875	200	OK	-	-	-	(empty)	-	-	-	-	-	FkEI8W3Kb6VZqsJ71h	application/jar
