#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-26-11
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1328813661.447349	Cljpkg1OtHH5g7TRB5	192.168.57.10	1030	208.109.78.128	80	1	GET	69ta.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	286	302	Found	-	-	-	(empty)	-	-	-	-	-	F1LhCr4gFENMleLtwc	text/html
1328813676.215115	C7YRFL2hNvm4rqJkS6	192.168.57.10	1035	95.163.67.193	80	1	GET	qimaysadaliachu.ru	/gluce/index.php	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1323	200	OK	-	-	-	(empty)	-	-	-	-	-	F3z9Bs3oLzAjRLJxl1	text/html
1328813676.661782	CCyTi244dkLlFlZvHi	192.168.57.10	1036	67.213.222.18	80	1	GET	www3.topzhk-guard.82i.net	/?ma2um1f=kdab2applqmflurRz2qam83loZ6RYqyTpdrgrKCryqBdmq2Yop2ihQ==	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1328813676.891695	Cuukiz1V2p3kyDaRKb	192.168.57.10	1037	174.127.81.214	80	1	GET	www1.strongguarduv.in	/a5edotr?dl9gtszm=iM6y0t6w6tbn49PU243c3sWvnKWrlJKp0NiwrZPU1tThq6i9yKaY0OizlZxpnpri7arq6sq/lMnQ2Z7Uw767mpKz3euw4N3f6dqV0cqkyrSYzeWzm6BnmaWqqKCpoqumlNrb1tXn17KniuOiy7Grr52Z6Obbq5eY15ail62tlKVujejmt56mpqqnn5qcqpqYyOTjxdWnpOvq8aCh6OHf6M/SosjnxefakqRr0KLh3+GZ49rh0c6k5Njo0NfYiA==	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5080	200	OK	-	-	-	(empty)	-	-	-	-	-	FSEhcc2WqabycjDS45	text/html
1328813676.941516	Cuukiz1V2p3kyDaRKb	192.168.57.10	1037	174.127.81.214	80	2	GET	www1.strongguarduv.in	/pictures/load.gif	http://www1.strongguarduv.in/a5edotr?dl9gtszm=iM6y0t6w6tbn49PU243c3sWvnKWrlJKp0NiwrZPU1tThq6i9yKaY0OizlZxpnpri7arq6sq%2FlMnQ2Z7Uw767mpKz3euw4N3f6dqV0cqkyrSYzeWzm6BnmaWqqKCpoqumlNrb1tXn17KniuOiy7Grr52Z6Obbq5eY15ail62tlKVujejmt56mpqqnn5qcqpqYyOTjxdWnpOvq8aCh6OHf6M%2FSosjnxefakqRr0KLh3%2BGZ49rh0c6k5Njo0NfYiA%3D%3D	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6739	200	OK	-	-	-	(empty)	-	-	-	-	-	FTwo851j5MRLFdCqGa	image/gif
1328813676.977141	CYch95KV1h7gVNj6	192.168.57.10	1038	174.127.81.214	80	1	GET	www1.strongguarduv.in	/142e5f63.js	http://www1.strongguarduv.in/a5edotr?dl9gtszm=iM6y0t6w6tbn49PU243c3sWvnKWrlJKp0NiwrZPU1tThq6i9yKaY0OizlZxpnpri7arq6sq%2FlMnQ2Z7Uw767mpKz3euw4N3f6dqV0cqkyrSYzeWzm6BnmaWqqKCpoqumlNrb1tXn17KniuOiy7Grr52Z6Obbq5eY15ail62tlKVujejmt56mpqqnn5qcqpqYyOTjxdWnpOvq8aCh6OHf6M%2FSosjnxefakqRr0KLh3%2BGZ49rh0c6k5Njo0NfYiA%3D%3D	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	99799	200	OK	-	-	-	(empty)	-	-	-	-	-	FTtXk51VCRx6eBkcQ3	text/plain
1328813690.252614	Cuukiz1V2p3kyDaRKb	192.168.57.10	1037	174.127.81.214	80	3	GET	www1.strongguarduv.in	/i.html	http://www1.strongguarduv.in/a5edotr?dl9gtszm=iM6y0t6w6tbn49PU243c3sWvnKWrlJKp0NiwrZPU1tThq6i9yKaY0OizlZxpnpri7arq6sq%2FlMnQ2Z7Uw767mpKz3euw4N3f6dqV0cqkyrSYzeWzm6BnmaWqqKCpoqumlNrb1tXn17KniuOiy7Grr52Z6Obbq5eY15ail62tlKVujejmt56mpqqnn5qcqpqYyOTjxdWnpOvq8aCh6OHf6M%2FSosjnxefakqRr0KLh3%2BGZ49rh0c6k5Njo0NfYiA%3D%3D	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	48604	200	OK	-	-	-	(empty)	-	-	-	-	-	FR1Nnr2dMnKGr8EeKf	text/html
1328813691.217848	CYch95KV1h7gVNj6	192.168.57.10	1038	174.127.81.214	80	2	GET	www1.strongguarduv.in	/zigFoy.pdf	http://www1.strongguarduv.in/i.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10439	200	OK	-	-	-	(empty)	-	-	-	-	-	FOzeYIXzgRuwhmTd8	application/pdf
1328813694.28345	Cuukiz1V2p3kyDaRKb	192.168.57.10	1037	174.127.81.214	80	4	GET	www1.strongguarduv.in	/cl/7/fill_sprite.gif	http://www1.strongguarduv.in/a5edotr?dl9gtszm=iM6y0t6w6tbn49PU243c3sWvnKWrlJKp0NiwrZPU1tThq6i9yKaY0OizlZxpnpri7arq6sq%2FlMnQ2Z7Uw767mpKz3euw4N3f6dqV0cqkyrSYzeWzm6BnmaWqqKCpoqumlNrb1tXn17KniuOiy7Grr52Z6Obbq5eY15ail62tlKVujejmt56mpqqnn5qcqpqYyOTjxdWnpOvq8aCh6OHf6M%2FSosjnxefakqRr0KLh3%2BGZ49rh0c6k5Njo0NfYiA%3D%3D	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2495	200	OK	-	-	-	(empty)	-	-	-	-	-	FbuOLD1HbF3rV6SDDh	image/gif
1328813694.285418	CYch95KV1h7gVNj6	192.168.57.10	1038	174.127.81.214	80	3	GET	www1.strongguarduv.in	/cl/7/icon_sprite.jpg	http://www1.strongguarduv.in/a5edotr?dl9gtszm=iM6y0t6w6tbn49PU243c3sWvnKWrlJKp0NiwrZPU1tThq6i9yKaY0OizlZxpnpri7arq6sq%2FlMnQ2Z7Uw767mpKz3euw4N3f6dqV0cqkyrSYzeWzm6BnmaWqqKCpoqumlNrb1tXn17KniuOiy7Grr52Z6Obbq5eY15ail62tlKVujejmt56mpqqnn5qcqpqYyOTjxdWnpOvq8aCh6OHf6M%2FSosjnxefakqRr0KLh3%2BGZ49rh0c6k5Njo0NfYiA%3D%3D	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8147	200	OK	-	-	-	(empty)	-	-	-	-	-	F4AAql3ZqezrP5I8d9	image/jpeg
1328813694.305291	Cuukiz1V2p3kyDaRKb	192.168.57.10	1037	174.127.81.214	80	5	GET	www1.strongguarduv.in	/cl/7/main_sprite.jpg	http://www1.strongguarduv.in/a5edotr?dl9gtszm=iM6y0t6w6tbn49PU243c3sWvnKWrlJKp0NiwrZPU1tThq6i9yKaY0OizlZxpnpri7arq6sq%2FlMnQ2Z7Uw767mpKz3euw4N3f6dqV0cqkyrSYzeWzm6BnmaWqqKCpoqumlNrb1tXn17KniuOiy7Grr52Z6Obbq5eY15ail62tlKVujejmt56mpqqnn5qcqpqYyOTjxdWnpOvq8aCh6OHf6M%2FSosjnxefakqRr0KLh3%2BGZ49rh0c6k5Njo0NfYiA%3D%3D	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	23159	200	OK	-	-	-	(empty)	-	-	-	-	-	FtMN8Z2qda35EwgS6d	image/jpeg
1328813694.313722	CYch95KV1h7gVNj6	192.168.57.10	1038	174.127.81.214	80	4	GET	www1.strongguarduv.in	/cl/7/table_divider.gif	http://www1.strongguarduv.in/a5edotr?dl9gtszm=iM6y0t6w6tbn49PU243c3sWvnKWrlJKp0NiwrZPU1tThq6i9yKaY0OizlZxpnpri7arq6sq%2FlMnQ2Z7Uw767mpKz3euw4N3f6dqV0cqkyrSYzeWzm6BnmaWqqKCpoqumlNrb1tXn17KniuOiy7Grr52Z6Obbq5eY15ail62tlKVujejmt56mpqqnn5qcqpqYyOTjxdWnpOvq8aCh6OHf6M%2FSosjnxefakqRr0KLh3%2BGZ49rh0c6k5Njo0NfYiA%3D%3D	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12548	200	OK	-	-	-	(empty)	-	-	-	-	-	FdiSBv4rS6iwSdAEl1	image/gif
1328813694.314002	Cr7pRC3FoF8uhtLANg	192.168.57.10	1039	46.249.35.84	80	1	GET	www2.thebest-cleanertcn.82i.net	/?xs2emua=nNafyara2dmO2svJsKxdmJyL1eLRr6SU0K2jZZ2kpZqpjtnVoqSnX5uklpSjmquaz+G1pGKVpJvC1srXn6bJx3KJ3M7Fq5iY54c=&t=31	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	194565	200	OK	-	-	-	(empty)	-	-	-	-	-	FlZzxf4vpqIR3LcfAi	application/x-dosexec
1328813696.463282	CVQFAs1nMaaQ3xLcp1	192.168.57.10	1040	174.127.81.214	80	1	GET	www1.strongguarduv.in	/LOaSIj.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2436	200	OK	-	-	-	(empty)	-	-	-	-	-	FfWQOs3TXHl62PUuWh	application/zip
1328813696.522877	CVQFAs1nMaaQ3xLcp1	192.168.57.10	1040	174.127.81.214	80	2	GET	www1.strongguarduv.in	/LOaSIj.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2436	200	OK	-	-	-	(empty)	-	-	-	-	-	Fpjafr477LTllmiNTa	application/zip
1328813696.619415	CVQFAs1nMaaQ3xLcp1	192.168.57.10	1040	174.127.81.214	80	3	GET	www1.strongguarduv.in	/LOaSIj.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2436	200	OK	-	-	-	(empty)	-	-	-	-	-	FVygqQ16hEKWhewxMf	application/zip
1328813696.733469	CVQFAs1nMaaQ3xLcp1	192.168.57.10	1040	174.127.81.214	80	4	GET	www1.strongguarduv.in	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FEHAOFRxmGczKHlve	text/html
1328813696.959432	CVQFAs1nMaaQ3xLcp1	192.168.57.10	1040	174.127.81.214	80	5	GET	www1.strongguarduv.in	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F1bxsn1tjI3YyCZyL8	text/html
1328813697.113471	CVQFAs1nMaaQ3xLcp1	192.168.57.10	1040	174.127.81.214	80	6	GET	www1.strongguarduv.in	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F89B2S3pyZp9HvPNLl	text/html
1328813697.133526	CVQFAs1nMaaQ3xLcp1	192.168.57.10	1040	174.127.81.214	80	7	GET	www1.strongguarduv.in	/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FQJBH84MldE0WSq6hl	text/html
1328813697.596237	C9yo9R2UVaVi0v6Lbd	192.168.57.10	1041	46.249.35.84	80	1	GET	www2.thebest-cleanertcn.82i.net	/?9u0u=Xdid2bHN3ceL6N2RoKSVlp6L5ujPq2mmkqqkm52ZlaypU9ffopKhl6qslKFuqmmb4Nuik5Wjq1PEzsfTq6bIx6iUqd6UsqeO2IY=&t=15	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	194565	200	OK	-	-	-	(empty)	-	-	-	-	-	FjdWHF4DyqdgcqOkP3	application/x-dosexec
#close	2014-04-03-10-26-12
