#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-06-05
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1339244236.715325	CF48gs21aL9qwdHmK4	192.168.120.10	1030	111.92.188.31	80	1	GET	bfrental.co.kr	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	705	200	OK	-	-	-	(empty)	-	-	-	-	-	Fox3Jw1Da3tL9JCtd5	binary
1339244238.183399	CGky9p4JSZK7y6y9K9	192.168.120.10	1031	125.141.204.61	80	1	GET	www.bcp.or.kr	/popup_img/popup.js	http://bfrental.co.kr/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	510	200	OK	-	-	-	(empty)	-	-	-	-	-	FIUQbC1g6SvEkPP7og	text/plain
1339244238.502448	CZoayDOD6nbhAgcFj	192.168.120.10	1032	204.45.119.244	80	1	GET	0ql.info	/wm/huiwei/index.html	http://bfrental.co.kr/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7104	200	OK	-	-	-	(empty)	-	-	-	-	-	FzrR0Q2UCipdc2Rbg	text/html
1339244238.631326	CVYfml3SZmtCwpyQu9	192.168.120.10	1033	204.45.119.244	80	1	GET	0ql.info	/wm/huiwei/swfobject.js	http://0ql.info/wm/huiwei/index.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8153	200	OK	-	-	-	(empty)	-	-	-	-	-	FFPWzx4TJvGMzd0yr9	text/plain
1339244238.772033	CZoayDOD6nbhAgcFj	192.168.120.10	1032	204.45.119.244	80	2	GET	0ql.info	/wm/huiwei/jpg.js	http://0ql.info/wm/huiwei/index.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	19883	200	OK	-	-	-	(empty)	-	-	-	-	-	FHg3FJ1AyLVp1TFNv4	text/plain
1339244239.154604	C7TCGf2DFT5PJ4vfdg	192.168.120.10	1039	204.45.119.244	80	1	GET	0v2.info	/m12/bangzi2.exe	http://0ql.info/wm/huiwei/index.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	41472	200	OK	-	-	-	(empty)	-	-	-	-	-	FCMRmU1JwqfaJwb0T6	application/x-dosexec
1339244239.712478	C9ilSn4i6DoqED2b58	192.168.120.10	1040	61.147.124.247	80	1	GET	count45.51yes.com	/click.aspx?id=457905147&logo=1	http://0ql.info/wm/huiwei/index.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1777	200	OK	-	-	-	(empty)	-	-	-	-	-	FDUoWt4PC8Yew4oLN7	text/html
1339244240.107621	C9ilSn4i6DoqED2b58	192.168.120.10	1040	61.147.124.247	80	2	GET	count45.51yes.com	/count1.gif	http://0ql.info/wm/huiwei/index.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	715	200	OK	-	-	-	(empty)	-	-	-	-	-	FVHUiG3giOCTQaPDvc	image/gif
1339244240.494768	Cue8PO24NfvfdArc42	192.168.120.10	1042	204.45.119.244	80	1	GET	0ql.info	/wm/huiwei/lzxa4.jpg	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2174	200	OK	-	-	-	(empty)	-	-	-	-	-	FE5SIG2hCgtznU3jhh	application/jar
1339244240.463196	CYFUnf3qfB4GD2Zmh	192.168.120.10	1041	61.147.124.247	80	1	GET	count45.51yes.com	/sa.htm?id=457905147&refe=http://bfrental.co.kr/&location=http://0ql.info/wm/huiwei/index.html&color=24x&resolution=800x600&returning=0&language=en-us&ua=Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	http://0ql.info/wm/huiwei/index.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1339244240.800112	C9eo0o17oEOrCZAe3c	192.168.120.10	1043	204.45.119.244	80	1	GET	0ql.info	/wm/huiwei/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	1635	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F5tQin1A8T1yhpnNa	text/html
1339244240.848933	C9eo0o17oEOrCZAe3c	192.168.120.10	1043	204.45.119.244	80	2	GET	0ql.info	/wm/huiwei/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	1635	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FNRgqN1ijVrosqT5f	text/html
