#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2014-04-03-11-07-41
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1345265981.750721	C8Mkop44ESoyBs46pb	192.168.12.10	1042	199.21.148.98	80	unescaped_special_URI_char	-	F	bro
1345265981.788261	-	-	-	-	-	unknown_protocol_2	-	F	bro
1345266006.24212	CqGsxS3bqx0Enl72pe	192.168.12.10	1077	83.133.123.20	53	DNS_Conn_count_too_large	-	F	bro
1345266006.245504	CwDj7m61TldrVJFn6	192.168.12.10	1079	83.133.123.20	53	DNS_Conn_count_too_large	-	F	bro
1345266006.257127	CdtYqF4q65MqKxH9Vf	192.168.12.10	1081	83.133.123.20	53	DNS_Conn_count_too_large	-	F	bro
1345266006.258479	CrjkFfXjBTsZwXRh7	192.168.12.10	1083	83.133.123.20	53	DNS_Conn_count_too_large	-	F	bro
1345266006.260089	Cg2VJ64Gm0JPSqzex5	192.168.12.10	1085	83.133.123.20	53	DNS_Conn_count_too_large	-	F	bro
1345266006.585414	CinAUt4ZQWlceWjLVe	192.168.12.10	1088	83.133.123.20	53	DNS_Conn_count_too_large	-	F	bro
1345266006.600067	C98gLsRZd2CASKD88	192.168.12.10	1091	83.133.123.20	53	DNS_Conn_count_too_large	-	F	bro
1345266006.617177	CNlUbi4iZPtXEM7Lof	192.168.12.10	1094	83.133.123.20	53	DNS_Conn_count_too_large	-	F	bro
1345266012.344878	CCbtTB3Cu9pwNag8df	192.168.12.10	1105	91.193.74.13	53	DNS_Conn_count_too_large	-	F	bro
1345266012.345071	CWiQErDqWe27eWhQe	192.168.12.10	1105	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1345266012.501267	CzW75v4OZWLbZbCoC5	192.168.12.10	1107	91.193.74.13	53	DNS_Conn_count_too_large	-	F	bro
1345266012.50143	CtQfqf4jEfWr8IeH4f	192.168.12.10	1107	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1345266012.563092	CNjrPuqniNqacDuF5	192.168.12.10	1109	91.193.74.13	53	DNS_Conn_count_too_large	-	F	bro
1345266012.563234	Co6Hmj4NgOPyBsuMd8	192.168.12.10	1109	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
#close	2014-04-03-11-07-42
