#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-43-45
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1337944390.661134	CSQHMoqFGSuouwO78	192.168.117.10	1030	180.149.253.174	80	1	GET	bacchushk.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FU0St1pZsaRcXea8f	application/octet-stream
1337944392.459879	CJeqyJ1gIHRmkeMKE6	192.168.117.10	1032	50.28.53.156	80	1	GET	www.daysofyorr.com	/release.js	http://www.bacchushk.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3250	200	OK	-	-	-	(empty)	-	-	-	-	-	FbhWoz1Vl2l8bzZEZ3	text/plain
1337944391.508641	CCjiYk3yBmvGrpUz1	192.168.117.10	1031	180.149.253.174	80	1	GET	www.bacchushk.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	17548	200	OK	-	-	-	(empty)	-	-	-	-	-	FiivWL1jn3Pkxn2ki3	text/html
1337944392.811556	CfXzv1VB4a0OZ7P6	192.168.117.10	1033	180.149.253.174	80	1	GET	www.bacchushk.com	/wp-content/themes/maple-leaf/style.css	http://www.bacchushk.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	15535	200	OK	-	-	-	(empty)	-	-	-	-	-	FovOzC4VOo3ujOEVM9	text/plain
1337944393.769033	CtR80f3G7U2O9Y6Kcf	192.168.117.10	1038	66.223.51.238	80	1	GET	rec-creations.com	/adv.php	http://www.bacchushk.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6	302	Found	-	-	-	(empty)	-	-	-	-	-	FV1A6E1ERv0YUbxYy4	text/plain
1337944393.738085	CCjiYk3yBmvGrpUz1	192.168.117.10	1031	180.149.253.174	80	2	GET	www.bacchushk.com	/wp-content/plugins/wordpress-css-drop-down-menu/js/superfish/css/superfish.css?ver=3.1	http://www.bacchushk.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3500	200	OK	-	-	-	(empty)	-	-	-	-	-	FakpLq3ELRpmAABgza	text/plain
1337944393.738363	CfXzv1VB4a0OZ7P6	192.168.117.10	1033	180.149.253.174	80	2	GET	www.bacchushk.com	/wp-content/plugins/shadowbox-js/shadowbox/shadowbox.css?ver=3.0.3	http://www.bacchushk.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1999	200	OK	-	-	-	(empty)	-	-	-	-	-	F8GcNw3Yhy5xHpbxsi	text/plain
1337944393.982048	CCjiYk3yBmvGrpUz1	192.168.117.10	1031	180.149.253.174	80	3	GET	www.bacchushk.com	/wp-content/plugins/shadowbox-js/css/extras.css?ver=3.0.3	http://www.bacchushk.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	153	200	OK	-	-	-	(empty)	-	-	-	-	-	F0ruMSScB9BLU0YL9	text/plain
1337944394.021814	CfXzv1VB4a0OZ7P6	192.168.117.10	1033	180.149.253.174	80	3	GET	www.bacchushk.com	/wp-content/plugins/contact-form-7/styles.css?ver=2.4.4	http://www.bacchushk.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	951	200	OK	-	-	-	(empty)	-	-	-	-	-	FOQv131jNBhJBfQue4	text/plain
1337944394.248753	CCjiYk3yBmvGrpUz1	192.168.117.10	1031	180.149.253.174	80	4	GET	www.bacchushk.com	/wp-content/plugins/wp-jquery-lightbox/lightbox.min.css?ver=1.2	http://www.bacchushk.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2093	200	OK	-	-	-	(empty)	-	-	-	-	-	F2JMD33UXIULlCoSQh	text/plain
1337944394.295527	CfXzv1VB4a0OZ7P6	192.168.117.10	1033	180.149.253.174	80	4	GET	www.bacchushk.com	/wp-includes/js/l10n.js?ver=20101110	http://www.bacchushk.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	308	200	OK	-	-	-	(empty)	-	-	-	-	-	FqWZILzQc2uvAN8y5	text/plain
1337944394.583688	CcxV7Y2UkowW4PjtVd	192.168.117.10	1040	74.125.137.95	80	1	GET	ajax.googleapis.com	/ajax/libs/jquery/1.4.2/jquery.min.js?ver=3.1	http://www.bacchushk.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	72174	200	OK	-	-	-	(empty)	-	-	-	-	-	FT50NLPksMuQ9yNm7	text/plain
1337944394.295196	CqCh8E4j8E4sRoyYvk	192.168.117.10	1039	188.72.248.219	80	1	GET	dfcvewverv.tk	/66273712.html	http://www.bacchushk.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12160	200	OK	-	-	-	(empty)	-	-	-	-	-	F04NsL1X3OUDGDPnf1	text/html
1337944394.618834	CCjiYk3yBmvGrpUz1	192.168.117.10	1031	180.149.253.174	80	5	GET	www.bacchushk.com	/wp-content/plugins/wordpress-css-drop-down-menu/js/superfish/js/superfish.js?ver=3.1	http://www.bacchushk.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3714	200	OK	-	-	-	(empty)	-	-	-	-	-	FSh56z4hMwtuiiG0i5	text/plain
1337944395.073713	CfXzv1VB4a0OZ7P6	192.168.117.10	1033	180.149.253.174	80	5	GET	www.bacchushk.com	/wp-content/plugins/wordpress-css-drop-down-menu/js/superfish/js/hoverIntent.js?ver=3.1	http://www.bacchushk.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3174	200	OK	-	-	-	(empty)	-	-	-	-	-	FBgzAIs0A59aTO4ci	text/plain
1337944395.346985	CCjiYk3yBmvGrpUz1	192.168.117.10	1031	180.149.253.174	80	6	GET	www.bacchushk.com	/wp-content/plugins/wordpress-css-drop-down-menu/js/start-superfish.js?ver=3.1	http://www.bacchushk.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	76	200	OK	-	-	-	(empty)	-	-	-	-	-	F8qm7HuPlhaEyWNV5	text/plain
1337944395.072482	CqCh8E4j8E4sRoyYvk	192.168.117.10	1039	188.72.248.219	80	2	GET	dfcvewverv.tk	/28629.pdf	http://dfcvewverv.tk/66273712.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	41362	200	OK	-	-	-	(empty)	-	-	-	-	-	FJq0QwVRXR1r8qHq1	application/pdf
1337944397.398627	CfXzv1VB4a0OZ7P6	192.168.117.10	1033	180.149.253.174	80	6	GET	www.bacchushk.com	/wp-content/plugins/jquery-drop-down-menu-plugin/noConflict.js?ver=3.1	http://www.bacchushk.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	33	200	OK	-	-	-	(empty)	-	-	-	-	-	FFsUPV3GzbjLnImbL5	text/plain
1337944397.710043	CCjiYk3yBmvGrpUz1	192.168.117.10	1031	180.149.253.174	80	7	GET	www.bacchushk.com	/wp-content/plugins/jquery-drop-down-menu-plugin/menu_style.css	http://www.bacchushk.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	812	200	OK	-	-	-	(empty)	-	-	-	-	-	F8u03m4QhYAuvq9WK3	text/plain
1337944398.377386	CfXzv1VB4a0OZ7P6	192.168.117.10	1033	180.149.253.174	80	7	GET	www.bacchushk.com	/wp-content/plugins/wp-page-numbers/tiny/wp-page-numbers.css	http://www.bacchushk.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1512	200	OK	-	-	-	(empty)	-	-	-	-	-	FD8DcC1WGvCtqjzd3l	text/plain
1337944398.688521	CpRqgn41FMWw2TBwde	192.168.117.10	1041	96.17.44.20	80	1	GET	s7.addthis.com	/js/250/addthis_widget.js	http://www.bacchushk.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4491	200	OK	-	-	-	(empty)	-	-	-	-	-	FLDIu71yj4VD8axr91	text/plain
1337944398.528148	CCjiYk3yBmvGrpUz1	192.168.117.10	1031	180.149.253.174	80	8	GET	www.bacchushk.com	/wp-content/themes/maple-leaf/images/leftmenu_icon201.png	http://www.bacchushk.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1336	200	OK	-	-	-	(empty)	-	-	-	-	-	Fti3PB1xspjryrzb72	image/png
1337944398.965053	CCjiYk3yBmvGrpUz1	192.168.117.10	1031	180.149.253.174	80	9	GET	www.bacchushk.com	/wp-content/themes/maple-leaf/images/leftmenu_icon203.png	http://www.bacchushk.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	625	200	OK	-	-	-	(empty)	-	-	-	-	-	FmQ79746SDXS2wNJM1	image/png
1337944399.747938	CCjiYk3yBmvGrpUz1	192.168.117.10	1031	180.149.253.174	80	10	GET	www.bacchushk.com	/wp-content/themes/maple-leaf/images/leftmenu_icon202.png	http://www.bacchushk.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1058	200	OK	-	-	-	(empty)	-	-	-	-	-	F5mKX34CsyUbFyzo08	image/png
1337944399.996288	CpRqgn41FMWw2TBwde	192.168.117.10	1041	96.17.44.20	80	2	GET	s7.addthis.com	/static/r07/core013.js	http://www.bacchushk.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	120931	200	OK	-	-	-	(empty)	-	-	-	-	-	F0qC9N3YtYVZtWa7e	text/plain
1337944398.964638	CfXzv1VB4a0OZ7P6	192.168.117.10	1033	180.149.253.174	80	8	GET	www.bacchushk.com	/wp-content/themes/maple-leaf/images/main_demo-01.jpg	http://www.bacchushk.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	56296	200	OK	-	-	-	(empty)	-	-	-	-	-	FMQKaX2Vx1FPBWBeSe	image/jpeg
1337944400.149427	CfXzv1VB4a0OZ7P6	192.168.117.10	1033	180.149.253.174	80	9	GET	www.bacchushk.com	/wp-content/themes/maple-leaf/images/main_demo-02.jpg	http://www.bacchushk.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	56977	200	OK	-	-	-	(empty)	-	-	-	-	-	FjdHnJ372zf61s3o3h	image/jpeg
