#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-24-20
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1328999036.091995	CT6P8f29NPQHrJzRUe	192.168.39.10	1030	146.185.18.50	80	1	GET	hotnudebabesfree.net	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1328999036.624564	Cqr3of4HpAQL10lsV9	192.168.39.10	1031	78.159.105.121	80	1	GET	noptom.info	/?bf83fe3678e413295777150a8937b02a	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	293	200	OK	-	-	-	(empty)	-	-	-	-	-	F2muiF3alG0qZq1Dk	text/html
1328999038.652132	CkfdlP1XMWCwKwbygl	192.168.39.10	1033	78.159.105.121	80	1	GET	noptom.info	/?be1dc5df8c77ef65834fe39e006797cc	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2961	200	OK	-	-	-	(empty)	-	-	-	-	-	FIbx4oMTmmrhiSGui	application/jar
1328999038.65719	CwQjG31FUEMFdTjlz3	192.168.39.10	1032	78.159.105.121	80	1	GET	noptom.info	/?f071e0744c4deab8dca11ba28f438b8d	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2462	200	OK	-	-	-	(empty)	-	-	-	-	-	FBlSuu1Ps6U0lgmAz1	application/jar
1328999038.918551	COcJFt3iMr9A105ryk	192.168.39.10	1034	78.159.105.121	80	1	GET	noptom.info	/?f071e0744c4deab8dca11ba28f438b8d	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2462	200	OK	-	-	-	(empty)	-	-	-	-	-	FkOuBZ3YcEQy1PxKze	application/jar
1328999038.962241	CdmTx136Be3By6hoe4	192.168.39.10	1035	78.159.105.121	80	1	GET	noptom.info	/?be1dc5df8c77ef65834fe39e006797cc	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2961	200	OK	-	-	-	(empty)	-	-	-	-	-	F3g5qX1rmjEhUYxki4	application/jar
1328999039.304507	CBLYuB0rnEErZquzf	192.168.39.10	1040	78.159.105.121	80	1	GET	noptom.info	/?f071e0744c4deab8dca11ba28f438b8d	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2462	200	OK	-	-	-	(empty)	-	-	-	-	-	FoCOq81xEJlLh8IQud	application/jar
1328999039.365181	CTsLHF4t9mPzE60lr3	192.168.39.10	1041	78.159.105.121	80	1	GET	noptom.info	/?be1dc5df8c77ef65834fe39e006797cc	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2961	200	OK	-	-	-	(empty)	-	-	-	-	-	F7x9eI1k8dVXe7m5V9	application/jar
1328999039.700004	CYsRXr37ZBkFYLeRMe	192.168.39.10	1043	78.159.105.121	80	1	GET	noptom.info	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	Fw1sJ4235uTn71tW4e	text/html
1328999039.957728	CovbGd4tLtlkEh0sN9	192.168.39.10	1044	78.159.105.121	80	1	GET	noptom.info	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FSpVQr3M3rjqB0Qqrd	text/html
1328999040.213428	CgRrY11BGn8amf5325	192.168.39.10	1045	78.159.105.121	80	1	GET	noptom.info	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FSOH1p2QzDZCbDuijl	text/html
1328999040.483096	Cnl7842nkwHgA96CDj	192.168.39.10	1046	78.159.105.121	80	1	GET	noptom.info	/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F7W7dr1GuS7SMNT7Xj	text/html
1328999039.654438	CMAlDN1d8V69X8Sx8l	192.168.39.10	1042	78.159.105.121	80	1	GET	noptom.info	/?3ffa1c3b6e88908b9fc7d7fa541c944e	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	455168	200	OK	-	-	-	(empty)	-	-	-	-	-	FmLda747ddPb8v0QR6	application/x-dosexec
1328999040.81988	CRWlFc3NbtLvhiz8ng	192.168.39.10	1047	78.159.105.121	80	1	GET	noptom.info	/?99ec08c9fbbcfe423c49da4b00d1607c	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	455168	200	OK	-	-	-	(empty)	-	-	-	-	-	FP3dDC4ln6Gwn0kbja	application/x-dosexec
1328999045.513702	CnUr7u41sPxDQIp7i8	192.168.39.10	1048	78.159.105.121	80	1	GET	noptom.info	/?99ec08c9fbbcfe423c49da4b00d1607c	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	81398	200	OK	-	-	-	(empty)	-	-	-	-	-	FnnTts3a6ynbCGbxl	application/x-dosexec
1328999054.3541	CQs7wm3WmnyYgGwj43	192.168.39.10	1049	31.44.184.49	80	1	GET	mikardelobal.com	/up.php?0Q9oBPXEN0uECUgzEJ95RQsbjjrvq1aG3F/2q5sb+kXU2mKa1w==	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1328999054.8845	C21DOV1cjF0cfpcisa	192.168.39.10	1050	31.44.184.49	80	1	GET	halmarkardcre.com	/?ylOdR9GQqXquMlTvsmXlkaz1x3Ab/w==	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	624640	200	OK	-	-	-	(empty)	-	-	-	-	-	F4kEhc4KDk2kzamg4f	binary
#close	2014-04-03-10-24-21
