#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-10-28
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1319844198.669253	Cf5hSk1A0TdhGLTgSh	192.168.77.10	1030	109.236.82.74	80	1	GET	theklm.in	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	233	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FE8fao1E0V9NjC9Ae	text/html
1319844198.871688	Cwou3i24RROU11G2Q4	192.168.77.10	1031	109.236.82.61	80	1	GET	cyberab.in	/?site=5	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	47064	200	OK	-	-	-	(empty)	-	-	-	-	-	Fi7b2z41FDKrNcu5j	text/html
1319844200.901443	CDymDpVqw567M5zxe	192.168.77.10	1038	109.236.82.61	80	1	GET	cyberab.in	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5875	200	OK	-	-	-	(empty)	-	-	-	-	-	FwUBX2dgOAb20EzY3	application/jar
1319844200.904211	C4rIVt2vk4syKsq1Jg	192.168.77.10	1041	109.236.82.61	80	1	GET	1844204093	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FD6dTY32vxN0F056wc	application/x-java-applet
1319844200.90536	CElBfEcb3MDQZFg7g	192.168.77.10	1039	109.236.82.61	80	1	GET	1844204093	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FrkKcK38MpCL0Uscc4	application/x-java-applet
1319844200.911032	C1KTkW2Vv9B2LFkKdc	192.168.77.10	1036	109.236.82.61	80	1	GET	1844204093	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FIFpcs4KZ33PaaAbgi	application/x-java-applet
1319844200.912042	COy8832oBbFZMYLNdl	192.168.77.10	1040	109.236.82.61	80	1	GET	1844204093	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	Fyg0CX2Opsn8iA0lWe	application/x-java-applet
1319844200.916734	C5wa458eXmLO32nsd	192.168.77.10	1037	109.236.82.61	80	1	GET	1844204093	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	F4pM9U3D4Z14WMmyv5	application/x-java-applet
1319844200.919046	Cj2OBg3XJKTH4BIsF3	192.168.77.10	1042	109.236.82.61	80	1	GET	1844204093	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FXcGWj1mT28BspzQk5	application/x-java-applet
1319844200.898852	CEOEiU6J4t0egeVG2	192.168.77.10	1043	109.236.82.61	80	1	GET	cyberab.in	/dl/apache.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	18854	200	OK	-	-	-	(empty)	-	-	-	-	-	FmZ7j13WL1pxxspcAi	application/jar
1319844201.364456	CBfoiE1C6RAeb1QT1a	192.168.77.10	1044	109.236.82.61	80	1	GET	cyberab.in	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5875	200	OK	-	-	-	(empty)	-	-	-	-	-	FtPq7q32KD4XPZXWol	application/jar
