#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2014-04-03-10-49-31
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1346386710.63504	CR2HMMB2HZnhGiUTj	192.168.44.10	1031	209.190.24.9	80	unescaped_special_URI_char	-	F	bro
1346386711.524234	-	-	-	-	-	unknown_protocol_2	-	F	bro
1346386737.318317	CJByCGzvhPqJdBXlc	192.168.44.10	1055	91.195.254.70	53	DNS_Conn_count_too_large	-	F	bro
1346386737.318515	CVk0dr3pywWaOua8da	192.168.44.10	1055	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1346386737.334457	Cyk3xw4uY8vDoKxCZ4	192.168.44.10	1057	91.195.254.70	53	DNS_Conn_count_too_large	-	F	bro
1346386737.334617	CSLyVfUOO8PS16c7e	192.168.44.10	1057	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1346386737.38313	CoWaAV1ghvONzeRSOa	192.168.44.10	1059	91.195.254.70	53	DNS_Conn_count_too_large	-	F	bro
1346386737.383374	CjUmbm1oBm39DbXdBb	192.168.44.10	1059	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1346386737.420591	CNF4BPiL7lbZeARfj	192.168.44.10	1061	91.195.254.70	53	DNS_Conn_count_too_large	-	F	bro
1346386737.420828	C92J9T334fez1OSgl7	192.168.44.10	1061	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1346386737.436464	CKsAqN2L5BNOmLHwm4	192.168.44.10	1063	91.195.254.70	53	DNS_Conn_count_too_large	-	F	bro
1346386737.436668	Cq9vW7NeaB7HBCGuh	192.168.44.10	1063	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1346386737.455792	CslZkZ1zlfHe2deaSd	192.168.44.10	1065	91.195.254.70	53	DNS_Conn_count_too_large	-	F	bro
1346386737.455958	CO5WYJ2jAT1hDK4St5	192.168.44.10	1065	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1346386737.999237	CSLxLr4mte6Z9xDbS9	192.168.44.10	1068	91.195.254.70	53	DNS_Conn_count_too_large	-	F	bro
1346386737.999372	CzbcPi1CFx9bxMZ2Rb	192.168.44.10	1068	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1346386738.012312	CTroSAw3FlrfmqXmk	192.168.44.10	1071	91.195.254.70	53	DNS_Conn_count_too_large	-	F	bro
1346386738.012455	C9fbSY3yQGKpaj28sb	192.168.44.10	1071	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1346386738.054681	CxfY6k1cmRO8XySgqj	192.168.44.10	1074	91.195.254.70	53	DNS_Conn_count_too_large	-	F	bro
1346386738.054848	Cnt33V3kc7d2toVzk2	192.168.44.10	1074	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
#close	2014-04-03-10-49-32
