#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-56-26
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1326572828.845197	CCieXm3fmLm4Gec5B4	192.168.118.10	1030	180.16.126.156	80	1	GET	rjujsqop.sorrowgravel.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1326572829.458083	C2v0e82ecM1iClHdn7	192.168.118.10	1031	199.30.89.52	80	1	GET	talkaboutetraders.com	/main.php?id=29273e796a7b2459	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	80061	200	OK	-	-	-	(empty)	-	-	-	-	-	F5pDnr3eDxBymV4mHa	text/html
1326572839.351934	C2ZFGX3MK8VuFzzAFc	192.168.118.10	1036	95.163.89.226	8080	1	GET	95.163.89.226	/w.php?f=21&e=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	199168	200	OK	-	-	-	(empty)	-	-	-	-	-	FPwisz1l4WphSgCbga	application/x-dosexec
1326572842.506648	CnENVQ3SHVKQlmnxe8	192.168.118.10	1037	199.30.89.52	80	1	GET	talkaboutetraders.com	/content/field.swf	http://talkaboutetraders.com/main.php?id=29273e796a7b2459	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1448	200	OK	-	-	-	(empty)	-	-	-	-	-	FutmAK25Ru0ENHbjP8	application/x-shockwave-flash
1326572841.295974	C2v0e82ecM1iClHdn7	192.168.118.10	1031	199.30.89.52	80	2	GET	talkaboutetraders.com	/content/fdp2.php?f=21	http://talkaboutetraders.com/main.php?id=29273e796a7b2459	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	82028	200	OK	-	-	-	(empty)	-	-	-	-	-	F9QpKh1Rvc5ABgG0S3	application/pdf
1326572859.04225	CrN77P2OFkoFpFzX6g	192.168.118.10	1039	69.31.75.203	80	1	GET	fpdownload2.macromedia.com	/get/flashplayer/update/current/xml/version_en_win_ax.xml	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1568	200	OK	-	-	-	(empty)	-	-	-	-	-	FfG1g02SRE9kxCcwmf	text/html
1326572859.28674	CNnadA4MKVIoXKpUha	192.168.118.10	1040	74.125.45.104	80	1	GET	google.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	219	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FXQugb2pRk2r3Upiad	text/html
1326572859.296836	CtyNvZqC18pNW5WNa	192.168.118.10	1041	74.125.157.99	80	1	GET	www.google.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	18853	200	OK	-	-	-	(empty)	-	-	-	-	-	FqgJPn4mPo2T93cnH	text/html
1326572859.963148	CtyNvZqC18pNW5WNa	192.168.118.10	1041	74.125.157.99	80	2	GET	www.google.com	/intl/en_ALL/images/srpr/logo1w.png	http://www.google.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7330	200	OK	-	-	-	(empty)	-	-	-	-	-	Fa2eIh2ANv9VLkKykl	image/png
1326572859.983614	CtyNvZqC18pNW5WNa	192.168.118.10	1041	74.125.157.99	80	3	GET	www.google.com	/images/srpr/nav_logo80.png	http://www.google.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35636	200	OK	-	-	-	(empty)	-	-	-	-	-	F8iNkklERkmYBkT1f	image/png
1326572860.039359	CtyNvZqC18pNW5WNa	192.168.118.10	1041	74.125.157.99	80	4	GET	www.google.com	/images/mgyhp_sm.png	http://www.google.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	331	200	OK	-	-	-	(empty)	-	-	-	-	-	F3hJ3T2eEKShn9yPy5	image/png
