#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-41-42
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1330116096.965323	C5ah8c4AutmvWDaGw3	192.168.17.10	1030	146.185.18.51	80	1	GET	tubecomet.org	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1330116097.207178	CWldVa3on8JR3RR2pf	192.168.17.10	1031	109.206.179.141	80	1	GET	oblue.info	/?4757ce8e77731132285cf9cb8f391c30	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	318	200	OK	-	-	-	(empty)	-	-	-	-	-	Fql6nz3ughOoNYLQ01	text/html
1330116098.877065	CZPrAO2ZrBJ8zGIBEb	192.168.17.10	1033	109.206.179.141	80	1	GET	oblue.info	/?83ee5ceb524096c03fb110ce5b42be55	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5055	200	OK	-	-	-	(empty)	-	-	-	-	-	FCHPhe2GGTVLbAmYK7	application/jar
1330116098.879474	C8mzw013LeqHTWEky2	192.168.17.10	1032	109.206.179.141	80	1	GET	oblue.info	/?5d5f9a00619943cfcbb281f569201a9a	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	4200	200	OK	-	-	-	(empty)	-	-	-	-	-	FPydnA2eW8Hpdix2bl	application/jar
1330116099.015376	C9q5012oh3qoX4LzC9	192.168.17.10	1038	109.206.179.141	80	1	GET	oblue.info	/?5d5f9a00619943cfcbb281f569201a9a	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	4200	200	OK	-	-	-	(empty)	-	-	-	-	-	FV1Gmo3F8qbhhYIoni	application/jar
1330116099.019555	Cfdwvt4b9z5AKUGP7j	192.168.17.10	1039	109.206.179.141	80	1	GET	oblue.info	/?83ee5ceb524096c03fb110ce5b42be55	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5055	200	OK	-	-	-	(empty)	-	-	-	-	-	Fhi3qH3nGJHkfjBGP8	application/jar
1330116099.275406	CWSk1F1bYKNhI7PNT5	192.168.17.10	1040	109.206.179.141	80	1	GET	oblue.info	/?5d5f9a00619943cfcbb281f569201a9a	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	4200	200	OK	-	-	-	(empty)	-	-	-	-	-	FlcqaT2KEzI4zb7x8	application/jar
1330116099.368484	CkVmRw38O9swHnm661	192.168.17.10	1041	109.206.179.141	80	1	GET	oblue.info	/?83ee5ceb524096c03fb110ce5b42be55	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5055	200	OK	-	-	-	(empty)	-	-	-	-	-	FvRckQ3XQgWd14ryWc	application/jar
1330116099.478004	ClzDcv2YPSjpJqgdWc	192.168.17.10	1042	109.206.179.141	80	1	GET	oblue.info	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FzYJFo3ibjgbzGXXmd	text/html
1330116099.606571	CAqDzr3XA7bNmJPXUd	192.168.17.10	1044	109.206.179.141	80	1	GET	oblue.info	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	Fki2Uk4HlLVW1zLPce	text/html
1330116099.739577	Cu1xAHuzIcLIbNtt9	192.168.17.10	1045	109.206.179.141	80	1	GET	oblue.info	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FqqQte4IamNrhMipZb	text/html
