#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-22-58
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1337207624.628922	C0DUVU1YQKOfcdZkec	192.168.127.10	1030	216.146.38.125	80	1	GET	toytowngermany.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1337207624.756829	CWEtJ33apgP3LMFJll	192.168.127.10	1031	46.20.229.2	80	1	GET	www.toytowngermany.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	64471	200	OK	-	-	-	(empty)	-	-	-	-	-	FwCzuJ2FhlfSC9xFyj	text/html
1337207625.141502	CuHfaQ3OKB1SnA88nl	192.168.127.10	1032	46.20.229.2	80	1	GET	www.toytowngermany.com	/styles/style2.css?29032012	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8762	200	OK	-	-	-	(empty)	-	-	-	-	-	FfXGSH2Al5J2azSRGb	text/plain
1337207625.296112	CKFPV33nkkQefky9q8	192.168.127.10	1034	74.125.45.95	80	1	GET	ajax.googleapis.com	/ajax/libs/jquery/1.5.2/jquery.min.js	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	85925	200	OK	-	-	-	(empty)	-	-	-	-	-	FewUh92se6zkWOmMn1	text/plain
1337207625.27492	CWEtJ33apgP3LMFJll	192.168.127.10	1031	46.20.229.2	80	2	GET	www.toytowngermany.com	/styles/trivago2.css	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6905	200	OK	-	-	-	(empty)	-	-	-	-	-	F6pf771auaEaJ7qXp8	text/x-c
1337207625.485348	CCOCFn1VJXRmLViuM1	192.168.127.10	1035	173.194.37.39	80	1	GET	apis.google.com	/js/plusone.js	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4136	200	OK	-	-	-	(empty)	-	-	-	-	-	FaSQyZ2syTVJ2MP7bj	text/plain
1337207625.629729	CmhV1817dLZ3tT9JL1	192.168.127.10	1036	173.241.250.2	80	1	GET	d1.openx.org	/spcjs.php?id=39953	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2252	200	OK	-	-	-	(empty)	-	-	-	-	-	F3yefA3j3WB5aemv9k	text/plain
1337207625.75697	CUJqk813jelsWHa5r8	192.168.127.10	1037	173.241.250.2	80	1	GET	d1.openx.org	/fl.js	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6707	200	OK	-	-	-	(empty)	-	-	-	-	-	FLdVSj3kaKqTzVVpec	text/plain
1337207625.708857	CmhV1817dLZ3tT9JL1	192.168.127.10	1036	173.241.250.2	80	2	GET	d1.openx.org	/spc.php?zones=column2a=166113|column2b=166117|column2c=166118|column2d=171035|column3a=165644|column3b=165645|column3c=166106|column3d=185665|subforumIndexTop=172902|leaderboard=173979|&nz=1&source=&r=98676490&charset=utf-8&loc=http://www.toytowngermany.com/	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	47035	200	OK	-	-	-	(empty)	-	-	-	-	-	FRDuEu4WZbqXZ5fmPe	text/plain
1337207625.986798	CUJqk813jelsWHa5r8	192.168.127.10	1037	173.241.250.2	80	2	GET	d1.openx.org	/ajs.php?zoneid=268162&cb=69000441493&charset=utf-8&loc=http://www.toytowngermany.com/&mmm_fo=1	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	155	200	OK	-	-	-	(empty)	-	-	-	-	-	FJqHWQ12cbP0Eu5oJf	text/plain
1337207626.084894	CmhV1817dLZ3tT9JL1	192.168.127.10	1036	173.241.250.2	80	3	GET	d1.openx.org	/ajs.php?zoneid=268170&cb=68431095605&charset=utf-8&loc=http://www.toytowngermany.com/&context=cDozNjAyNDd8&mmm_fo=1	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	155	200	OK	-	-	-	(empty)	-	-	-	-	-	Fr887k2YyGF0d8Db5j	text/plain
1337207626.193728	CUJqk813jelsWHa5r8	192.168.127.10	1037	173.241.250.2	80	3	GET	d1.openx.org	/apu.php?n=&zoneid=259637&target=_blank&ct0=294939321&popunder=1	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2346	200	OK	-	-	-	(empty)	-	-	-	-	-	FMaAV21Lvr23rQy3jf	text/plain
