#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-15-29
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1327171427.436538	CtMzsuAkHzJlSfuji	192.168.13.10	1030	82.100.220.47	80	1	GET	familyphilipp.de	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	295	302	Found	-	-	-	(empty)	-	-	-	-	-	F4zcbJ00fAcLzwTOl	text/html
1327171427.783457	C0qRzr2xdTS2Ei6mn2	192.168.13.10	1031	95.163.67.190	80	1	GET	divstylechange.ru	/vis/index.php	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1237	200	OK	-	-	-	(empty)	-	-	-	-	-	FDX7az2q73LP4hsDfk	text/html
1327171428.461266	C5EKIn15TkEFacqOCh	192.168.13.10	1032	95.163.67.190	80	1	GET	pagesupport.ru	/main.php?page=1aa080c8910868f8	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	79773	200	OK	-	-	-	(empty)	-	-	-	-	-	F6IXEW2GQPsq04GXx9	text/html
1327171438.553612	C5EKIn15TkEFacqOCh	192.168.13.10	1032	95.163.67.190	80	2	GET	pagesupport.ru	/w.php?f=45&e=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	178176	200	OK	-	-	-	(empty)	-	-	-	-	-	Fys7iB2UhYIlaMH3a2	application/x-dosexec
1327171440.525923	CZRjGw1qoSMfAdfTL5	192.168.13.10	1037	74.82.198.254	80	1	GET	update.nilanaghgcflopqa.com	/index.php?a3a91d=kdjf0tXm1Jrazt6e1sLa0I3Qz9CspKXDYZikna2kxpetmY+gmaGSpMTKycqYns/RodOSk8aT	-	Mozilla/3.0	0	64	200	OK	-	-	-	(empty)	-	-	-	-	-	FZpq6P3mhgOKXHuSr8	text/plain
1327171440.203919	C5EKIn15TkEFacqOCh	192.168.13.10	1032	95.163.67.190	80	3	GET	pagesupport.ru	/content/fdp2.php?f=45	http://pagesupport.ru/main.php?page=1aa080c8910868f8	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	90340	200	OK	-	-	-	(empty)	-	-	-	-	-	FVxoRz24P4O7abnn7b	application/pdf
1327171440.870168	Cx7OCmvFx0dUzBBac	192.168.13.10	1038	76.73.19.180	80	1	GET	report.nilanaghgcflopqa.com	/?a3a91d=iOTK4N7k6Gu70s/T3crV29vE0tiV0eHRgtzf0p5kh6aayK+ZpNGlqWOeoaDDpJqbyZmTm52l09TCkZin0MNkw2qWx5jR46yjmqPXzamZnpWXjt7Zo+PlyMGHnszTqoec1IylxeTZraCW	-	Mozilla/3.0	0	6	200	OK	-	-	-	(empty)	-	-	-	-	-	FjkS5bNrfKIdVKuAj	binary
1327171441.876479	CW6A0341mmbZHzT3P7	192.168.13.10	1039	74.82.198.254	80	1	GET	update.nilanaghgcflopqa.com	/index.php?a3a91d=kdjf0tXm1Jrazt6e28rK2tbM1N/j0d3Nk9WVztfS1p7BtXGU3NHV49G74dfIo+TfluXVmqChn6ahnZaml1+joJLR18WkjtzMyqmnoKWRVNDY0bKkmMOnmmOeoaDDpJqbyZmTm52l09TCkZin0NehxpLZyFI=	-	Mozilla/3.0	0	3384320	200	OK	-	-	-	(empty)	-	-	-	-	-	FRgdFQ3Jp0SSLAuJa8	binary
1327171452.387877	C5EKIn15TkEFacqOCh	192.168.13.10	1032	95.163.67.190	80	4	GET	pagesupport.ru	/w.php?f=45&e=4	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1327171452.767188	C5EKIn15TkEFacqOCh	192.168.13.10	1032	95.163.67.190	80	5	GET	pagesupport.ru	/content/field.swf	http://pagesupport.ru/main.php?page=1aa080c8910868f8	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1464	200	OK	-	-	-	(empty)	-	-	-	-	-	F90f9A1WbrdJU0dTjh	application/x-shockwave-flash
1327171455.819926	CTJDydSyPrvyBnMRc	192.168.13.10	1040	95.163.67.190	80	1	GET	pagesupport.ru	/content/v1.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	4408	200	OK	-	-	-	(empty)	-	-	-	-	-	Fdcvc74CQ3xO2WdfG9	application/zip
1327171457.015952	CrRhBE1KKMFUsjOHRg	192.168.13.10	1041	95.163.67.190	80	1	GET	pagesupport.ru	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	465	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FPdf5F5NUqJNMFmuh	text/html
1327171457.261828	CrRhBE1KKMFUsjOHRg	192.168.13.10	1041	95.163.67.190	80	2	GET	pagesupport.ru	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	465	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FrrmuZjStLdnrYa6	text/html
1327171457.517827	CrRhBE1KKMFUsjOHRg	192.168.13.10	1041	95.163.67.190	80	3	GET	pagesupport.ru	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	465	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FNtqxF4TOHT8fG7oab	text/html
1327171457.76579	CrRhBE1KKMFUsjOHRg	192.168.13.10	1041	95.163.67.190	80	4	GET	pagesupport.ru	/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	465	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FU8YkV3Cp3FMdScO1j	text/html
1327171458.262595	CrRhBE1KKMFUsjOHRg	192.168.13.10	1041	95.163.67.190	80	5	GET	pagesupport.ru	/w.php?f=45&e=0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1327171456.831297	CkgjLI2Mho4KwdvOA1	192.168.13.10	1042	74.82.198.254	80	1	GET	update.nilanaghgcflopqa.com	/index.php?a3a91d=kdjf0tXm1Jrazt6e28rK2tbM1N/j0d3Nk9WVztfS1p7BtXGU3NHV49G74dfIo+TfluXVmqChn6ahnZaml1+joJLR18WkjtzMyqmnoKWRVNDY0bKkmMOnmmOeoaDDpJqbyZmTm52l09TCkZin0NehxpLZyFI=	-	Mozilla/3.0	0	3384320	200	OK	-	-	-	(empty)	-	-	-	-	-	FmqF1I3FnwGft0t8H	binary
1327171465.801546	CUnONz2i6sD4t9gA5l	192.168.13.10	1043	76.73.19.180	80	1	GET	report.nilanaghgcflopqa.com	/?a3a91d=iOTK4N7k6Gu70s/T3crV29vE0tiV0eHRgtzf0p5kh6aayK+ZpNGlqWOeoaDDpJqbyZmTm52l09TCkZin0MNkw2qWx5jR46yjmqPXzamZnpWXjt7Zo+PlyMGHnszTqoec1IylxeTZrZ+W	-	Mozilla/3.0	0	6	200	OK	-	-	-	(empty)	-	-	-	-	-	F45PJW322v5aNidXHi	binary
#close	2014-04-03-10-15-30
