#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-55-34
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1338403890.488626	C0nyDp1imtRQ7M1cDb	192.168.110.10	1030	217.111.179.113	80	1	GET	www.monvotesecurise.votezaletranger.gouv.fr	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	284	302	Found	-	-	-	(empty)	-	-	-	-	-	FJzy7B4Ub5vMD2Rftj	text/html
1338403890.862561	CyjrmC4vZGDJERyhdf	192.168.110.10	1031	217.111.179.113	80	1	GET	monvotesecurise.votezaletranger.gouv.fr	/testconfiguration/browser_detect.html?siteLanguage=fr	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1204	200	OK	-	-	-	(empty)	-	-	-	-	-	F7WZBW2FbELDDoQ4i7	application/xml
1338403891.070052	CyjrmC4vZGDJERyhdf	192.168.110.10	1031	217.111.179.113	80	2	GET	monvotesecurise.votezaletranger.gouv.fr	/testconfiguration/header_title.css	http://monvotesecurise.votezaletranger.gouv.fr/testconfiguration/browser_detect.html?siteLanguage=fr	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1338403891.258246	CyjrmC4vZGDJERyhdf	192.168.110.10	1031	217.111.179.113	80	3	GET	monvotesecurise.votezaletranger.gouv.fr	/testconfiguration/print.css	http://monvotesecurise.votezaletranger.gouv.fr/testconfiguration/browser_detect.html?siteLanguage=fr	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1626	200	OK	-	-	-	(empty)	-	-	-	-	-	FJ2kDw2bKipTr9mIU6	text/plain
1338403891.255019	CMgaUH3HQZpFsux6wi	192.168.110.10	1032	217.111.179.113	80	1	GET	monvotesecurise.votezaletranger.gouv.fr	/testconfiguration/style.css	http://monvotesecurise.votezaletranger.gouv.fr/testconfiguration/browser_detect.html?siteLanguage=fr	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7672	200	OK	-	-	-	(empty)	-	-	-	-	-	FXlgEI1uEZtxDZIdZ1	text/plain
1338403891.927369	CyjrmC4vZGDJERyhdf	192.168.110.10	1031	217.111.179.113	80	4	GET	monvotesecurise.votezaletranger.gouv.fr	/testconfiguration/browser_detect_inner.html	http://monvotesecurise.votezaletranger.gouv.fr/testconfiguration/browser_detect.html?siteLanguage=fr	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10770	200	OK	-	-	-	(empty)	-	-	-	-	-	FYTlNy6Acrgitn9y	application/xml
1338403892.333963	CyjrmC4vZGDJERyhdf	192.168.110.10	1031	217.111.179.113	80	5	GET	monvotesecurise.votezaletranger.gouv.fr	/testconfiguration/themes/maee/images/logos/logo_maee_right.jpg	http://monvotesecurise.votezaletranger.gouv.fr/testconfiguration/browser_detect_inner.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10746	200	OK	-	-	-	(empty)	-	-	-	-	-	FJoQ2b1Esr8J0e8FPb	image/jpeg
1338403892.706298	CyjrmC4vZGDJERyhdf	192.168.110.10	1031	217.111.179.113	80	6	GET	monvotesecurise.votezaletranger.gouv.fr	/testconfiguration/style_maee.css	http://monvotesecurise.votezaletranger.gouv.fr/testconfiguration/browser_detect_inner.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4618	200	OK	-	-	-	(empty)	-	-	-	-	-	FHOEWv1JdMV2slBv44	text/plain
1338403892.914684	CyjrmC4vZGDJERyhdf	192.168.110.10	1031	217.111.179.113	80	7	GET	monvotesecurise.votezaletranger.gouv.fr	/testconfiguration/resources/js/XMLHttpRequest.js	http://monvotesecurise.votezaletranger.gouv.fr/testconfiguration/browser_detect_inner.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3826	200	OK	-	-	-	(empty)	-	-	-	-	-	FGuke53iXxDZA3Pmdj	text/plain
1338403892.120618	CMgaUH3HQZpFsux6wi	192.168.110.10	1032	217.111.179.113	80	2	GET	monvotesecurise.votezaletranger.gouv.fr	/testconfiguration/themes/maee/images/logos/logo_maee_left.jpg	http://monvotesecurise.votezaletranger.gouv.fr/testconfiguration/browser_detect_inner.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11484	200	OK	-	-	-	(empty)	-	-	-	-	-	FMBaS027zIcEfQd1u	image/jpeg
1338403893.124988	CyjrmC4vZGDJERyhdf	192.168.110.10	1031	217.111.179.113	80	8	GET	monvotesecurise.votezaletranger.gouv.fr	/testconfiguration/themes/default/images/global/progress_circle3.gif	http://monvotesecurise.votezaletranger.gouv.fr/testconfiguration/browser_detect_inner.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3208	200	OK	-	-	-	(empty)	-	-	-	-	-	FqbDuKk1VVAxt1t5	image/gif
