#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2014-04-03-10-27-56
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1348381908.34272	CWx02N1lftVzAYzrF2	192.168.13.10	1041	199.21.148.88	80	unescaped_special_URI_char	-	F	bro
1348381909.334542	-	-	-	-	-	unknown_protocol_2	-	F	bro
1348381938.192697	CYtAtu12tjj5wQkKzd	192.168.13.10	1069	91.242.217.247	53	DNS_Conn_count_too_large	-	F	bro
1348381938.192881	CAir8B1LxUuxbNMcz3	192.168.13.10	1069	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1348381938.215452	C7D8s74FdBReNAfemj	192.168.13.10	1071	91.242.217.247	53	DNS_Conn_count_too_large	-	F	bro
1348381938.215609	CFKmsJoD61yYjlgs7	192.168.13.10	1071	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1348381938.329871	CGzrgV297elw75yGzh	192.168.13.10	1073	91.242.217.247	53	DNS_Conn_count_too_large	-	F	bro
1348381938.33007	Cft6y6YRQ5x1mTgza	192.168.13.10	1073	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1348381938.356424	Cca2zg3oYvIWu5GNrf	192.168.13.10	1075	91.242.217.247	53	DNS_Conn_count_too_large	-	F	bro
1348381938.356629	Ccmzdf29sddKxEBGm	192.168.13.10	1075	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1348381938.357999	C98GYK3KuK8IIJIP7d	192.168.13.10	1077	91.242.217.247	53	DNS_Conn_count_too_large	-	F	bro
1348381938.358144	CgVoDu1vWIozzYfH34	192.168.13.10	1077	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1348381938.369001	CfW4pd4xoHMu1VIxTj	192.168.13.10	1079	91.242.217.247	53	DNS_Conn_count_too_large	-	F	bro
1348381938.369161	Crua9RyVlHPyvHcS6	192.168.13.10	1079	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1348381938.527728	CuiW9O2p4FNQV4lAnh	192.168.13.10	1083	91.242.217.247	53	DNS_Conn_count_too_large	-	F	bro
1348381938.52792	CVJUp36ZkczNqXWNa	192.168.13.10	1083	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1348381938.569024	CkP79j3Wylgh1q4kyf	192.168.13.10	1085	91.242.217.247	53	DNS_Conn_count_too_large	-	F	bro
1348381938.569202	CWCkch2HG3rfQP2qd	192.168.13.10	1085	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1348381938.611935	CZjdAJ3DTwLQogpMo	192.168.13.10	1087	91.242.217.247	53	DNS_Conn_count_too_large	-	F	bro
1348381938.61213	CjlPHL3si4vngHR2nf	192.168.13.10	1087	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
#close	2014-04-03-10-27-56
