#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-04-41
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1357930044.040267	CCgB4BwBMaA0JMMji	192.168.89.10	1034	95.168.173.91	80	1	GET	daily-bbw-porn.info	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1357930044.397206	CL0CRJ1Y2j2YZeTd6d	192.168.89.10	1035	94.23.76.187	80	1	GET	me.24pinokoldavo.info	/?4d116681b13426875ab5ac95758f9f49=29&5ba223dccad0adcdac42c6861273410a=	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	530	200	OK	-	-	-	(empty)	-	-	-	-	-	FsVXNo4sNZ96AD1EKe	text/html
1357930044.67992	CvMuklRpb0jkHbVD1	192.168.89.10	1036	94.23.76.187	80	1	GET	me.24pinokoldavo.info	/e7190295fb558ee2ca44ff61d0b1c83d.eot	http://me.24pinokoldavo.info/?4d116681b13426875ab5ac95758f9f49=29&5ba223dccad0adcdac42c6861273410a=	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4190	200	OK	-	-	-	(empty)	-	-	-	-	-	FpuMQ74K83XnyqcFug	application/vnd.ms-fontobject
1357930046.89298	CADbvT3UjesZowreR2	192.168.89.10	1039	94.23.76.187	80	1	GET	me.24pinokoldavo.info	/1a3544a7e935e46face1cfeaf7c2f76d/9f6b73babfdf1ed5eb25565ebbd1a565.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	10110	200	OK	-	-	-	(empty)	-	-	-	-	-	F5XvFo21jhTQgKKJWb	application/jar
1357930047.18006	CTocf83MMQPg7tuBj9	192.168.89.10	1040	94.23.76.187	80	1	GET	me.24pinokoldavo.info	/1a3544a7e935e46face1cfeaf7c2f76d/9f6b73babfdf1ed5eb25565ebbd1a565.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	10110	200	OK	-	-	-	(empty)	-	-	-	-	-	Fm4aFleDxSU7msAMi	application/jar
1357930047.523244	CfWJ7e4p8AhmSiQxw	192.168.89.10	1041	94.23.76.187	80	1	GET	me.24pinokoldavo.info	/1a3544a7e935e46face1cfeaf7c2f76d/9f6b73babfdf1ed5eb25565ebbd1a565.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	10110	200	OK	-	-	-	(empty)	-	-	-	-	-	FseLZi4WostXdtr3a	application/jar
1357930047.848419	Co5Jfz23u7UEONKDv6	192.168.89.10	1042	94.23.76.187	80	1	GET	me.24pinokoldavo.info	/1a3544a7e935e46face1cfeaf7c2f76d/0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	175616	200	OK	-	-	-	(empty)	-	-	-	-	-	FMJUh91mfZSsxtzZs3	binary
1357930049.097582	C7EkVs4xyQ1pl5z87j	192.168.89.10	1045	50.22.196.70	80	1	GET	j.maxmind.com	/app/geoip.js	-	-	0	502	200	OK	-	-	-	(empty)	-	-	-	-	-	FWEy8y9xtk27Kgow4	text/plain
1357930048.737686	C2eHKx32d3gyA7Ubv4	192.168.89.10	1043	94.23.76.187	80	1	GET	me.24pinokoldavo.info	/1a3544a7e935e46face1cfeaf7c2f76d/1	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	183808	200	OK	-	-	-	(empty)	-	-	-	-	-	FHQ6Kr4GfFnFlWhTea	binary
1357930049.964198	CF83Uk4iFhr9CSjk21	192.168.89.10	1067	94.23.76.187	80	1	GET	me.24pinokoldavo.info	/1a3544a7e935e46face1cfeaf7c2f76d/2	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FFaqSYNtKo5MrjjBh	text/html
1357930050.24376	CkQpts2ieU3fkSsAE5	192.168.89.10	1068	94.23.76.187	80	1	GET	me.24pinokoldavo.info	/1a3544a7e935e46face1cfeaf7c2f76d/3	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FuHIcC1ceyjndXtzPk	text/html
1357930048.446104	Caa7gO2b78UXEGgh98	192.168.89.10	1038	94.23.76.187	80	1	GET	94.23.76.187	/?e7ec31b939c1d80e45f9df0520bb7009	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	175616	200	OK	-	-	-	(empty)	-	-	-	-	-	FC8VVf38vfNqU1dDz8	application/x-dosexec
1357930050.523011	CAwj4J3NwaMQcD6Bm5	192.168.89.10	1069	94.23.76.187	80	1	GET	me.24pinokoldavo.info	/1a3544a7e935e46face1cfeaf7c2f76d/4	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	86016	200	OK	-	-	-	(empty)	-	-	-	-	-	FnKi364h3iCZL5EGVe	binary
1357930051.455416	CsyYQ52K2eO6X84DBf	192.168.89.10	1071	50.22.196.70	80	1	GET	j.maxmind.com	/app/geoip.js	-	-	0	502	200	OK	-	-	-	(empty)	-	-	-	-	-	Fq4DPl142PtfUioD8j	text/plain
1357930068.320008	CpvbpNFE5QzUo4Fgk	192.168.89.10	1085	78.140.131.158	80	1	GET	megaupload.com	/upload/fid=BwCRAAEA0coAAAEFCBcAAAAAAAAAAAAAAAAAAAAZDQEKCwAAAJNQQzLiER1crLhygiZvmW-kWvBQAABVVVVVVVVVVVVVVVVVVVVVTfDNAWzt12bRygAAVXd1bXNtfWNvZXMzMmhnOGc4OAJGkzUK3f4TbwAAAAAAAQcAAAAHAAAANFYA	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)	0	562	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FyCUF51gbjWHcggbt8	text/html
#close	2014-04-03-11-04-42
