#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-51-10
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1329848094.79397	CY2QUGoHF3LwajNb	192.168.26.10	1030	146.185.18.51	80	1	GET	youngoldnaked.biz	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1329848095.136279	CbFztW3YjKs8VyUKLj	192.168.26.10	1031	95.168.178.70	80	1	GET	eromeo.info	/?1f8ad20bd8286e068abbb19d810a3a55	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	321	200	OK	-	-	-	(empty)	-	-	-	-	-	FvhcJOKuk9PdWVE68	text/html
1329848096.603726	CBgmcb9T5oSGV0iS4	192.168.26.10	1033	95.168.178.70	80	1	GET	eromeo.info	/?65ebf48537083bc62e7cd2f1a6b34cea	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	4017	200	OK	-	-	-	(empty)	-	-	-	-	-	Fuxu5Gw61gEIkaAed	application/jar
1329848096.600857	CRMGqn3N1AqUYQe5y7	192.168.26.10	1032	95.168.178.70	80	1	GET	eromeo.info	/?ea3b3923a211f8186f7e96cb959394c4	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	4889	200	OK	-	-	-	(empty)	-	-	-	-	-	FO2Wxc2MOFXCZy7Mbg	application/jar
1329848096.88119	COEFlO3vsJjgn1PXkj	192.168.26.10	1035	95.168.178.70	80	1	GET	eromeo.info	/?65ebf48537083bc62e7cd2f1a6b34cea	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	4017	200	OK	-	-	-	(empty)	-	-	-	-	-	FPtwQ63maHMtZIdNd7	application/jar
1329848096.878941	CRmNUS19VlnV4B6rcc	192.168.26.10	1034	95.168.178.70	80	1	GET	eromeo.info	/?ea3b3923a211f8186f7e96cb959394c4	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	4889	200	OK	-	-	-	(empty)	-	-	-	-	-	F9dDhTOEQ1n3nhDDh	application/jar
1329848097.222969	Cox4DgcPdLokPT3t5	192.168.26.10	1040	95.168.178.70	80	1	GET	eromeo.info	/?65ebf48537083bc62e7cd2f1a6b34cea	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	4017	200	OK	-	-	-	(empty)	-	-	-	-	-	Fi5tKj3vYhO4wTN7x7	application/jar
1329848097.304726	CUdGHM1RJqlDrVPSVj	192.168.26.10	1041	95.168.178.70	80	1	GET	eromeo.info	/?ea3b3923a211f8186f7e96cb959394c4	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	4889	200	OK	-	-	-	(empty)	-	-	-	-	-	F8SH4A2WeJO2U0VNl8	application/jar
1329848097.550697	CBrzMk3pfOXmUEFLAb	192.168.26.10	1042	95.168.178.70	80	1	GET	eromeo.info	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	Fftqok3hrGH26N0Rbj	text/html
1329848097.912463	CnOMJU1CGaCqBnyvG7	192.168.26.10	1044	95.168.178.70	80	1	GET	eromeo.info	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FrQC1x29fVAIsyeOue	text/html
1329848098.149785	CfQRK8LLEX4LrF3ok	192.168.26.10	1045	95.168.178.70	80	1	GET	eromeo.info	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	Fp8EaJ25sEVMKmw6Vl	text/html
1329848098.386644	CIJczh3rt4ZZg59Vbb	192.168.26.10	1046	95.168.178.70	80	1	GET	eromeo.info	/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FexDPX2v3jXJR3pXQ1	text/html
1329848097.603462	CF70EY3SmKPgOHUMG4	192.168.26.10	1043	95.168.178.70	80	1	GET	eromeo.info	/?5534a5bc887d9f6f49e77e249a04a7fb	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	324608	200	OK	-	-	-	(empty)	-	-	-	-	-	FrpiuL1Uyt5nHoTq72	application/x-dosexec
1329848098.671756	CAZKh244sl79YOOxs4	192.168.26.10	1047	95.168.178.70	80	1	GET	eromeo.info	/?8de27bbf96add93b283afd4222ecd798	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	855552	200	OK	-	-	-	(empty)	-	-	-	-	-	FfaYs11y6tlnfH1OEa	application/x-dosexec
1329848102.596959	CM9ND02y7JCYodS4Y7	192.168.26.10	1048	95.168.178.70	80	1	GET	eromeo.info	/?8de27bbf96add93b283afd4222ecd798	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	16384	200	OK	-	-	-	(empty)	-	-	-	-	-	FsbdGx3HML4Zr1nAz4	application/x-dosexec
1329848133.297419	Cj4toU3JmQ4cIvVRBj	192.168.26.10	1049	75.125.251.122	80	1	GET	pipeboys.com	/css/css.php?id=95	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2	200	OK	-	-	-	(empty)	-	-	-	-	-	Fu4IwM3MUyKCbNK5Ja	text/plain
1329848133.966687	CNTbAp3235qzjtwum7	192.168.26.10	1050	72.167.207.74	80	1	GET	oneathleticmom.com	/images/b.php?id=95	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2	200	OK	-	-	-	(empty)	-	-	-	-	-	FEGd7c1FDXc3ikrAoi	text/plain
#close	2014-04-03-09-51-11
