#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-59-59
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1389760993.68382	CQo9P49tLXXdrz95c	192.168.87.10	1036	66.39.29.236	80	1	GET	besthealthmag.ca	/	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	236	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FYj0XS38ryRu8OJi2l	text/html
1389760994.043484	Caea4e313dIDATeeHg	192.168.87.10	1038	72.21.91.19	80	1	GET	www.besthealthmag.ca	/modules/node/node.css?5	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	740	200	OK	-	-	-	(empty)	-	-	-	-	-	FVDFHN1Bf5Y5YdYSA4	text/plain
1389760994.107464	Caea4e313dIDATeeHg	192.168.87.10	1038	72.21.91.19	80	2	GET	www.besthealthmag.ca	/modules/system/system.css?5	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	10020	200	OK	-	-	-	(empty)	-	-	-	-	-	F65Hn71uZearOohehb	text/plain
1389760994.120435	CNk6UQ2jV6f1nyDpme	192.168.87.10	1039	72.21.91.19	80	1	GET	www.besthealthmag.ca	/modules/system/defaults.css?5	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	757	200	OK	-	-	-	(empty)	-	-	-	-	-	FmgLBq16Ju04GdW2o9	text/plain
1389760994.13893	C9r2tF47osGhMLKcK5	192.168.87.10	1040	72.21.91.19	80	1	GET	www.besthealthmag.ca	/modules/poll/poll.css?5	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	671	200	OK	-	-	-	(empty)	-	-	-	-	-	Fse4Ng3JaL3pxzXIZ9	text/plain
1389760994.147272	CNk6UQ2jV6f1nyDpme	192.168.87.10	1039	72.21.91.19	80	2	GET	www.besthealthmag.ca	/modules/user/user.css?5	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1127	200	OK	-	-	-	(empty)	-	-	-	-	-	F5atETZ9ik1Z1dDNk	text/plain
1389760994.147629	CwJw4v39qA9QXQ4q3	192.168.87.10	1041	72.21.91.19	80	1	GET	www.besthealthmag.ca	/profiles/besthealth/modules/block_edit/block_edit.css?5	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	920	200	OK	-	-	-	(empty)	-	-	-	-	-	FK6PW13Lkuejrei72f	text/plain
1389760994.149461	Caea4e313dIDATeeHg	192.168.87.10	1038	72.21.91.19	80	3	GET	www.besthealthmag.ca	/sites/all/modules/filefield/filefield.css?5	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1306	200	OK	-	-	-	(empty)	-	-	-	-	-	FtXXt03BYTg7FurE98	text/x-asm
1389760994.154597	CYsYuj2lHfWVUhwP21	192.168.87.10	1042	72.21.91.19	80	1	GET	www.besthealthmag.ca	/profiles/besthealth/modules/date/date_popup/themes/timeentry.css?5	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	509	200	OK	-	-	-	(empty)	-	-	-	-	-	FC8BgkMccCMBlU9q4	text/plain
1389760994.167517	C9r2tF47osGhMLKcK5	192.168.87.10	1040	72.21.91.19	80	2	GET	www.besthealthmag.ca	/modules/system/system-menus.css?5	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	935	200	OK	-	-	-	(empty)	-	-	-	-	-	FzU2TUG17opmsnqJc	text/plain
1389760994.17716	CNk6UQ2jV6f1nyDpme	192.168.87.10	1039	72.21.91.19	80	3	GET	www.besthealthmag.ca	/sites/all/modules/logintoboggan/logintoboggan.css?5	http://www.besthealthmag.ca/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	321	200	OK	-	-	-	(empty)	-	-	-	-	-	FmllNe1LDpvmGLMvp1	text/plain
