#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-33-38
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1327655810.67131	C1n4vzVyV35w125Dc	192.168.68.10	1030	188.191.194.38	80	1	GET	435.updatessearch.in	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1327655811.425898	CAQr7D4kMgnRRc9oLg	192.168.68.10	1031	50.18.253.58	80	1	GET	next-step-2012.net	/main.php?page=ce57441e61ae2f12	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	79962	200	OK	-	-	-	(empty)	-	-	-	-	-	F4NEYVKUZnohcFo7	text/html
1327655826.090677	CAQr7D4kMgnRRc9oLg	192.168.68.10	1031	50.18.253.58	80	2	GET	next-step-2012.net	/w.php?f=19&e=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	79872	200	OK	-	-	-	(empty)	-	-	-	-	-	FDuGkc3t3UinnXvVGg	application/x-dosexec
1327655830.694662	CAQr7D4kMgnRRc9oLg	192.168.68.10	1031	50.18.253.58	80	3	GET	next-step-2012.net	/content/adfp2.php?f=19	http://next-step-2012.net/main.php?page=ce57441e61ae2f12	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13413	200	OK	-	-	-	(empty)	-	-	-	-	-	FieXcy4bCIN7KNoOS4	application/pdf
1327655831.839637	CCxogogPLIYU7YIY1	192.168.68.10	1036	50.18.253.58	80	1	GET	next-step-2012.net	/content/field.swf	http://next-step-2012.net/main.php?page=ce57441e61ae2f12	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1490	200	OK	-	-	-	(empty)	-	-	-	-	-	Ft4ZWW2UAuG300AJT3	application/x-shockwave-flash
1327655831.885068	CWpxkd2XwqpWqOxB76	192.168.68.10	1037	50.18.253.58	80	1	GET	next-step-2012.net	/content/rino.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	4391	200	OK	-	-	-	(empty)	-	-	-	-	-	FRZMJYCZJzPeGZXi6	application/zip
1327655849.890335	C0XEdx3xSHPJJafHRl	192.168.68.10	1039	50.18.253.58	80	1	GET	next-step-2012.net	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	Fgikle4oIkj02gIxwa	text/html
1327655852.180768	C0XEdx3xSHPJJafHRl	192.168.68.10	1039	50.18.253.58	80	2	GET	next-step-2012.net	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FTQDVB2zIWkntdwZng	text/html
1327655853.349083	C0XEdx3xSHPJJafHRl	192.168.68.10	1039	50.18.253.58	80	3	GET	next-step-2012.net	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FRNAoi2THFJPNiS6ah	text/html
1327655854.460455	C0XEdx3xSHPJJafHRl	192.168.68.10	1039	50.18.253.58	80	4	GET	next-step-2012.net	/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FamYvm1PdG0agcbqfe	text/html
1327655853.334656	CAQr7D4kMgnRRc9oLg	192.168.68.10	1031	50.18.253.58	80	4	GET	next-step-2012.net	/w.php?f=19&e=4	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	79872	200	OK	-	-	-	(empty)	-	-	-	-	-	FljBiJ2wllBOYn2BDh	application/x-dosexec
1327655857.005046	C0XEdx3xSHPJJafHRl	192.168.68.10	1039	50.18.253.58	80	5	GET	next-step-2012.net	/w.php?f=19&e=0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	79872	200	OK	-	-	-	(empty)	-	-	-	-	-	FH2kdy2QfFkR7exIxd	application/x-dosexec
#close	2014-04-03-10-33-38
