#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2014-04-03-10-54-28
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1331098856.58207	Cosnbi1lEA5UyltLt3	192.168.27.10	1033	81.94.43.146	80	above_hole_data_without_any_acks	-	F	bro
1331098856.967449	-	-	-	-	-	unknown_protocol_2	-	F	bro
1331098881.352535	CjNNdyDsqvzufoUve	192.168.27.10	1056	69.64.52.10	53	DNS_Conn_count_too_large	-	F	bro
1331098881.354249	CZAL3E32QAc9RmTGGf	192.168.27.10	1058	69.64.52.10	53	DNS_Conn_count_too_large	-	F	bro
1331098881.380204	CwGb0Y3FeqOIuz3JBl	192.168.27.10	1060	69.64.52.10	53	DNS_Conn_count_too_large	-	F	bro
1331098881.382788	CuOzUJ2evWDdyzqIzj	192.168.27.10	1062	69.64.52.10	53	DNS_Conn_count_too_large	-	F	bro
1331098881.384571	CFtyMw205SaQOyDZf5	192.168.27.10	1064	69.64.52.10	53	DNS_Conn_count_too_large	-	F	bro
1331098881.394087	CrORpw1BhAnRD8mVX2	192.168.27.10	1066	69.64.52.10	53	DNS_Conn_count_too_large	-	F	bro
1331098881.402772	CacQYo1UsQkGA8k0i6	192.168.27.10	1068	69.64.52.10	53	DNS_Conn_count_too_large	-	F	bro
1331098881.420672	CfW9EI14jKf7cDUs7	192.168.27.10	1070	69.64.52.10	53	DNS_Conn_count_too_large	-	F	bro
1331098881.444441	Cuk2A21rOx2wRZAolc	192.168.27.10	1072	69.64.52.10	53	DNS_Conn_count_too_large	-	F	bro
1331098881.447137	CmCCr84QRPbqRcO1pc	192.168.27.10	1074	69.64.52.10	53	DNS_Conn_count_too_large	-	F	bro
1331098881.44893	Ctx2TE4j1O1ByGd6a7	192.168.27.10	1076	69.64.52.10	53	DNS_Conn_count_too_large	-	F	bro
1331098881.459705	C1scN71SrHro0s0aB6	192.168.27.10	1078	69.64.52.10	53	DNS_Conn_count_too_large	-	F	bro
1331098881.533263	CM6xvD2mzJyjAUMRc	192.168.27.10	1080	69.64.52.10	53	DNS_Conn_count_too_large	-	F	bro
1331098881.588816	Ceb15C4tXsRe6NvjSb	192.168.27.10	1082	69.64.52.10	53	DNS_Conn_count_too_large	-	F	bro
1331098883.797372	CXgdpL1R6mtVEnF8e1	192.168.27.10	1083	69.64.52.10	53	DNS_Conn_count_too_large	-	F	bro
#close	2014-04-03-10-54-29
