#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-17-21
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1322163037.743191	C4txhxy1dLPCN1q64	192.168.105.10	1030	109.236.82.74	80	1	GET	redirportal1.info	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	235	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FMqHiY1N6LOIsYtdNh	text/html
1322163037.947149	C02bbq1Y71dftf9EJe	192.168.105.10	1031	109.236.82.77	80	1	GET	aeroclub4.in	/?site=1	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	152	200	OK	-	-	-	(empty)	-	-	-	-	-	F6DsnIxKmW0sMC3uh	text/html
1322163039.303109	C2q36H3a94jlxjx9y8	192.168.105.10	1032	109.236.82.77	80	1	GET	aeroclub4.in	/?1a1091ce0b5646c324010f476c072b39	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3975	200	OK	-	-	-	(empty)	-	-	-	-	-	FldNpc1yC5PuUwsSo5	application/jar
1322163039.816695	CS8of2shr6AwtBKUj	192.168.105.10	1033	109.236.82.77	80	1	GET	aeroclub4.in	/?1a1091ce0b5646c324010f476c072b39	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3975	200	OK	-	-	-	(empty)	-	-	-	-	-	FjdQnh2e3HfYHbjDsk	application/jar
1322163040.231601	CON3im2dxQOhsnI5l	192.168.105.10	1038	109.236.82.77	80	1	GET	aeroclub4.in	/?1a1091ce0b5646c324010f476c072b39	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3975	200	OK	-	-	-	(empty)	-	-	-	-	-	FbbWGQ6LFRAEh5RBh	application/jar
1322163040.494492	C87vmM2OQpFbHMlIh5	192.168.105.10	1039	109.236.82.77	80	1	GET	aeroclub4.in	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F8ZVyP2MVd1Mczsf5l	text/html
1322163040.696908	CYrnWK1iXBOAmIQ3Yf	192.168.105.10	1040	109.236.82.77	80	1	GET	aeroclub4.in	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FSIn1eypr5bKZdNf3	text/html
1322163040.905303	CokUl14LLgps7Yxo0k	192.168.105.10	1041	109.236.82.77	80	1	GET	aeroclub4.in	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FAeJZi2gE97njre3Yf	text/html
1322163041.122042	CoPHgy2HOIhjbguoo9	192.168.105.10	1042	109.236.82.77	80	1	GET	aeroclub4.in	/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FWA6Sy2yU0h2fbknR3	text/html
1322163041.495219	Cos35h16CjDFHH4ce	192.168.105.10	1043	109.236.82.77	80	1	GET	aeroclub4.in	/?2193ccf5fa08816cd563112f4a9bad0b	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	837120	200	OK	-	-	-	(empty)	-	-	-	-	-	FNIJEL1ixbkIsXReLh	application/x-dosexec
1322163046.435366	CWz3cE3fQRPXMH0SQ2	192.168.105.10	1044	64.202.163.8	80	1	GET	getmilfs.com	/logo/go.php?id=147	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2	200	OK	-	-	-	(empty)	-	-	-	-	-	FN5glq2CKtpzy57mof	text/plain
1322163047.187994	C2YMse1sKyGNWqbdma	192.168.105.10	1045	72.167.207.74	80	1	GET	oneathleticmom.com	/images/b.php?id=147	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	-	-	-	-	-	(empty)	-	-	-	-	-	-	-
1322163108.994457	CP7H9U2iZby5ZyiTx4	192.168.105.10	1046	194.54.81.21	80	1	GET	malware4download.com	/404.php?id=147	-	Mozilla	0	324	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FuXMW327rWEFwR2ePe	text/html
#close	2014-04-03-10-17-21
