#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-52-28
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1323468469.738295	CUGuuy3oOxLcracld1	192.168.30.10	1029	95.168.165.224	80	1	GET	shopwoodfield.net	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	237	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FEcL0a3rvyuKVN8CF1	text/html
1323468469.896227	CQ7nn9PS7VynXVLTj	192.168.30.10	1030	69.4.230.25	80	1	GET	backupfun2.in	/?site=23	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1323468470.013859	CIpAe84NHZP21nHGEh	192.168.30.10	1031	109.123.116.51	80	1	GET	googleads6.in	/redir.html	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	349	200	OK	-	-	-	(empty)	-	-	-	-	-	FDPiIn2PeprXQzKmhg	text/html
1323468470.221878	CN67YR1bhamBNRmMOb	192.168.30.10	1036	109.123.116.51	80	1	GET	googleads6.in	/in.cgi?default	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	184	302	Found	-	-	-	(empty)	-	-	-	-	-	FlxUlrjYSfgkgHNC4	text/html
1323468470.33788	CtAPgD2OMlz4ghpaP5	192.168.30.10	1043	69.4.230.25	80	1	GET	backupfun2.in	/?site=8	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	457	200	OK	-	-	-	(empty)	-	-	-	-	-	FKT5b93J6R0DgLoV9a	text/html
1323468471.361368	CjI1F931ixNciz5d1b	192.168.30.10	1044	69.4.230.25	80	1	GET	backupfun2.in	/?162d75f9d10859328a5c1575ecf99742	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	10395	200	OK	-	-	-	(empty)	-	-	-	-	-	F2THdr21nFoC9ncabi	application/jar
1323468471.364821	CvS7bh1xysp3E6Z2Ce	192.168.30.10	1045	69.4.230.25	80	1	GET	backupfun2.in	/?c20d5d40d23478ccf798227259c8d1a0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9602	200	OK	-	-	-	(empty)	-	-	-	-	-	FaplOJ3P1Hv1GT8EXb	application/jar
1323468471.425769	CC4Hps2IJuFia2hI49	192.168.30.10	1046	69.4.230.25	80	1	GET	backupfun2.in	/?162d75f9d10859328a5c1575ecf99742	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	10395	200	OK	-	-	-	(empty)	-	-	-	-	-	FU0ALAQdgu2q8X5nh	application/jar
1323468471.426386	CYD5Y22JpfWs2ngwJh	192.168.30.10	1047	69.4.230.25	80	1	GET	backupfun2.in	/?c20d5d40d23478ccf798227259c8d1a0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9602	200	OK	-	-	-	(empty)	-	-	-	-	-	FIhldE4JY3isbwlv75	application/jar
1323468471.582105	CZqG7G3kcCneNNqBn3	192.168.30.10	1048	69.4.230.25	80	1	GET	backupfun2.in	/?c20d5d40d23478ccf798227259c8d1a0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9602	200	OK	-	-	-	(empty)	-	-	-	-	-	Fq52tiLt9fKSC4Gt3	application/jar
1323468471.70231	CVuDuBU6tgNgBow71	192.168.30.10	1049	69.4.230.25	80	1	GET	backupfun2.in	/?162d75f9d10859328a5c1575ecf99742	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	10395	200	OK	-	-	-	(empty)	-	-	-	-	-	FCHTOvcyNGYJj5Yb8	application/jar
