#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-23-09
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1327737539.067383	CB4Dur1Ymu7T8G9iv1	192.168.115.10	1030	208.64.123.45	80	1	GET	5umovwja47kzsd.l95.me	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	178	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FhF4ui32q8ggV5MvF7	text/html
1327737539.28406	COMRhInxGvuHZXfOh	192.168.115.10	1031	64.34.154.74	80	1	GET	fasttrackonlinesurveys.com	/d/traf2.com	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1729	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FOgD8s3uj2EJnvffu2	text/html
1327737539.404048	CB0CNz4DHXwdMjUPka	192.168.115.10	1032	209.17.74.150	80	1	GET	i34.tinypic.com	/2ajb6so.png	http://fasttrackonlinesurveys.com/d/traf2.com	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	85090	200	OK	-	-	-	(empty)	-	-	-	-	-	FQhYm340umVzdJgX0i	image/png
1327737540.031014	CH6mzr1G5mQTEdTDie	192.168.115.10	1033	64.34.154.74	80	1	GET	i.d2f3.com	/oops/index.php?e9cb9458b4b97866bf6dfbbc558dfc77	http://fasttrackonlinesurveys.com/d/traf2.com	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43968	200	OK	-	-	-	(empty)	-	-	-	-	-	FawFIk1UvuzmFxEYd1	text/html
1327737541.579206	CatfBD2zp96Tt3V0L3	192.168.115.10	1034	64.34.154.74	80	1	GET	i.d2f3.com	/oops/server_privileges.php?dd6fbea61d7367a4b2ce79086ce1519e=1	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	306176	200	OK	-	-	-	(empty)	-	-	-	-	-	Fo9kPo2IDE5SFWyTVl	application/x-dosexec
1327737543.56587	ClpMcA3Iw7iudjW4G5	192.168.115.10	1039	65.39.172.126	80	1	GET	network.stripthere.com	/mars/iLog.php?dl=5.9&log=Loader: 505^BB	-	IE7.0	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1327737543.605508	C0nYo737LFeVwLtb2l	192.168.115.10	1041	64.34.154.74	80	1	GET	i.d2f3.com	/oops/images/r/a03cb4b8e5bb148134a57a2c87ddacd9.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2909	200	OK	-	-	-	(empty)	-	-	-	-	-	Feot4W4R0Fp7A9HBk	application/jar
1327737543.715888	CVqWZz3MyrC0Qww1M3	192.168.115.10	1040	64.34.154.74	80	1	GET	i.d2f3.com	/oops/images/a03cb4b8e5bb148134a57a2c87ddacd9.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5380	200	OK	-	-	-	(empty)	-	-	-	-	-	F3Ok6D12OSwlySsc1j	application/jar
1327737543.727216	Cp6Xq82tWT54DEkJsd	192.168.115.10	1042	64.34.154.74	80	1	GET	fasttrackonlinesurveys.com	/Java.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2755	200	OK	-	-	-	(empty)	-	-	-	-	-	FsVcfrwd4mTcdpQU8	application/zip
1327737543.800646	CkZlqxoetIzPve3td	192.168.115.10	1043	64.34.154.74	80	1	GET	i.d2f3.com	/oops/images/r/a03cb4b8e5bb148134a57a2c87ddacd9.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2909	200	OK	-	-	-	(empty)	-	-	-	-	-	FiVJQe1dXXCCPsPV8h	application/jar
1327737543.807071	CE0Bt73XXivZ4pGLF5	192.168.115.10	1044	64.34.154.74	80	1	GET	i.d2f3.com	/oops/images/a03cb4b8e5bb148134a57a2c87ddacd9.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5380	200	OK	-	-	-	(empty)	-	-	-	-	-	FJaN881lkAavQYy1E5	application/jar
