#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2014-04-03-09-56-31
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1346283458.965516	Cy7nAB1p6tpSd3A7ok	192.168.58.10	1031	173.236.11.131	80	unescaped_special_URI_char	-	F	bro
1346283460.468472	-	-	-	-	-	unknown_protocol_2	-	F	bro
1346283509.380515	CUVErp3HWzTuN4C55	192.168.58.10	1060	91.195.254.70	53	DNS_Conn_count_too_large	-	F	bro
1346283509.380669	Cu336d47DZIvWqnQyh	192.168.58.10	1060	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1346283509.388809	Cwbnga2PCXgVFLv7ff	192.168.58.10	1062	91.195.254.70	53	DNS_Conn_count_too_large	-	F	bro
1346283509.388988	CJmJ0y1MyGUfWvSesk	192.168.58.10	1062	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1346283509.480448	C9fPcE3PrUdWrSSsOa	192.168.58.10	1064	91.195.254.70	53	DNS_Conn_count_too_large	-	F	bro
1346283509.480648	CHnyFN2y01phpdBDAl	192.168.58.10	1064	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1346283509.504834	CeYJBc1nIkwvaMVSZ8	192.168.58.10	1066	91.195.254.70	53	DNS_Conn_count_too_large	-	F	bro
1346283509.505045	CuiI0B2ynXPLEqYMI4	192.168.58.10	1066	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1346283509.527775	C7sTpp4aSOGlnLDVl6	192.168.58.10	1068	91.195.254.70	53	DNS_Conn_count_too_large	-	F	bro
1346283509.527921	C9UqHc3GzLct9KwQxb	192.168.58.10	1068	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1346283509.533806	CTIJV61AEynXXqDvB8	192.168.58.10	1070	91.195.254.70	53	DNS_Conn_count_too_large	-	F	bro
1346283509.534164	CZEuJm2R14Wa9Qba95	192.168.58.10	1070	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1346283510.001251	CxHp4l07KBWzwABre	192.168.58.10	1073	91.195.254.70	53	DNS_Conn_count_too_large	-	F	bro
1346283510.001412	CbzkIp1dHNAOgrkyTb	192.168.58.10	1073	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1346283510.014831	CS5UMSshKZseRZha2	192.168.58.10	1076	91.195.254.70	53	DNS_Conn_count_too_large	-	F	bro
1346283510.014966	Cw26oC47hE3ee1lI56	192.168.58.10	1076	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1346283510.07227	CpfAyGbdSvuclt7Id	192.168.58.10	1079	91.195.254.70	53	DNS_Conn_count_too_large	-	F	bro
1346283510.072406	CV8Ujf2TwKD3LQR7c7	192.168.58.10	1079	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
#close	2014-04-03-09-56-31
