#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-51-18
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1323296160.554814	CthYvB4poRLZd6T92	192.168.120.10	1030	72.167.131.113	80	1	GET	nagnews.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1323296161.205774	CfDOvg1LLxWwNCmQA1	192.168.120.10	1032	72.167.131.113	80	1	GET	www.nagnews.com	/blog/wp-content/themes/metamorph_greenfield/style.css	http://www.nagnews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6252	200	OK	-	-	-	(empty)	-	-	-	-	-	F1p7g7NDMHusqZrbj	text/html
1323296161.293535	CfDOvg1LLxWwNCmQA1	192.168.120.10	1032	72.167.131.113	80	2	GET	www.nagnews.com	/blog/wp-content/themes/metamorph_greenfield/images/comment.gif	http://www.nagnews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	62	200	OK	-	-	-	(empty)	-	-	-	-	-	FnoAzR1f92vMhRZvP5	image/gif
1323296161.323768	CUMVit23fVRTT3NPNi	192.168.120.10	1033	74.125.229.166	80	1	GET	www.youtube.com	/v/bsGm-DqbmSA&rel=1&color1=d6d6d6&color2=f0f0f0&border=	http://www.nagnews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1159	200	OK	-	-	-	(empty)	-	-	-	-	-	FqByqr3cQnjV122c63	application/x-shockwave-flash
1323296161.352951	CfDOvg1LLxWwNCmQA1	192.168.120.10	1032	72.167.131.113	80	3	GET	www.nagnews.com	/blog/wp-content/themes/metamorph_greenfield/images/timeicon.gif	http://www.nagnews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	63	200	OK	-	-	-	(empty)	-	-	-	-	-	FRmq5Vb1M1dZ1R9H7	image/gif
1323296161.410684	CfDOvg1LLxWwNCmQA1	192.168.120.10	1032	72.167.131.113	80	4	GET	www.nagnews.com	/images/t/60355.gif	http://www.nagnews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4265	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FKDFL8yIm9PXGHBfb	text/html
1323296161.479758	CUMVit23fVRTT3NPNi	192.168.120.10	1033	74.125.229.166	80	2	GET	www.youtube.com	/v/bsGm-DqbmSA&rel=1&color1=d6d6d6&color2=f0f0f0&border=	http://www.nagnews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1144	200	OK	-	-	-	(empty)	-	-	-	-	-	FoD70VmJN9pk5Ys5b	application/x-shockwave-flash
1323296161.480376	CfDOvg1LLxWwNCmQA1	192.168.120.10	1032	72.167.131.113	80	5	GET	www.nagnews.com	/blog/wp-content/uploads/2008/07/ph_johnnynash-222x300.jpg	http://www.nagnews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11917	200	OK	-	-	-	(empty)	-	-	-	-	-	F14yKkEy2Cxj1C89	image/jpeg
1323296161.615461	CUMVit23fVRTT3NPNi	192.168.120.10	1033	74.125.229.166	80	3	GET	www.youtube.com	/v/5L7MS8dwvRc&rel=1&color1=d6d6d6&color2=f0f0f0&border=	http://www.nagnews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1168	200	OK	-	-	-	(empty)	-	-	-	-	-	FQmh3M3R1isD8Lj2F8	application/x-shockwave-flash
1323296161.618206	CfDOvg1LLxWwNCmQA1	192.168.120.10	1032	72.167.131.113	80	6	GET	www.nagnews.com	/blog/wp-content/uploads/2008/07/995798_356x237-300x199.jpg	http://www.nagnews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10385	200	OK	-	-	-	(empty)	-	-	-	-	-	FVQ6byDg2ZvDMfHIk	image/jpeg
1323296161.8688	CHQPfk4QKYIVDoBd8f	192.168.120.10	1035	24.143.193.16	80	1	GET	fpdownload2.macromedia.com	/get/flashplayer/update/current/xml/version_en_win_ax.xml	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1568	200	OK	-	-	-	(empty)	-	-	-	-	-	Fz34Je2wUndhgnJeC9	text/html
