#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2014-04-03-11-06-24
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1345764106.303663	C35DpmSV3oenzBW9i	192.168.41.10	1041	199.21.148.98	80	unescaped_special_URI_char	-	F	bro
1345764108.350042	-	-	-	-	-	unknown_protocol_2	-	F	bro
1345764112.480298	CU6FgG290eFefpXKda	192.168.41.10	1062	72.21.211.176	80	window_recision	-	F	bro
1345764188.516641	CBy7jf2n1YDPwapX0g	192.168.41.10	1117	91.195.254.70	53	DNS_Conn_count_too_large	-	F	bro
1345764188.516786	CsAMhK2d8slJkNkZe	192.168.41.10	1117	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1345764188.54854	CAuAjz3rHmCVcpTFo3	192.168.41.10	1119	91.195.254.70	53	DNS_Conn_count_too_large	-	F	bro
1345764188.548689	CrA46aV9bjCkDoffh	192.168.41.10	1119	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1345764188.859268	CpV0XK1TvVz1G7ODId	192.168.41.10	1121	91.195.254.70	53	DNS_Conn_count_too_large	-	F	bro
1345764188.861314	C2w1Ge3AAeHmjfDeKa	192.168.41.10	1121	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1345764188.866985	CByQFs3MBNHQ3sgJC3	192.168.41.10	1123	91.195.254.70	53	DNS_Conn_count_too_large	-	F	bro
1345764188.867122	CMi0068M1riJP92Xg	192.168.41.10	1123	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1345764188.869236	Coh0oASHBvce0Dufj	192.168.41.10	1125	91.195.254.70	53	DNS_Conn_count_too_large	-	F	bro
1345764188.869355	C7gElN3scQoKXJgHA7	192.168.41.10	1125	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1345764189.284624	Cp5TXM2jGu1UQQx5el	192.168.41.10	1128	91.195.254.70	53	DNS_Conn_count_too_large	-	F	bro
1345764189.284778	CrIoBX3hMcz8YQib62	192.168.41.10	1128	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1345764189.29591	ClfwMC2xXTuVfJGCO6	192.168.41.10	1131	91.195.254.70	53	DNS_Conn_count_too_large	-	F	bro
1345764189.296032	C0LV5L1zHTIocAhasb	192.168.41.10	1131	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1345764189.317564	CKLDHg1HoPw0aWKo4i	192.168.41.10	1134	91.195.254.70	53	DNS_Conn_count_too_large	-	F	bro
1345764189.317705	C7j6jD41iPdSUPsHf5	192.168.41.10	1134	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
#close	2014-04-03-11-06-26
