#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-51-15
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1326573212.878649	CkFqVs3MQXC3NbGAHk	192.168.38.10	1031	175.182.140.246	80	1	GET	4mn1yzmcq.sorrowgravel.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1326573213.785247	CabeXg2gxGeKBOBJCb	192.168.38.10	1032	199.30.89.52	80	1	GET	talkaboutetraders.com	/main.php?id=29273e796a7b2459	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	80061	200	OK	-	-	-	(empty)	-	-	-	-	-	F9zmInyBzBEwO2Uv2	text/html
1326573225.684861	Cl6gAS3cL2Vo6jwpu3	192.168.38.10	1037	95.163.89.226	8080	1	GET	95.163.89.226	/w.php?f=21&e=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	199168	200	OK	-	-	-	(empty)	-	-	-	-	-	Fi4jbb3gvX8P7PDWhl	application/x-dosexec
1326573228.834102	COQ5523VHdm2KDKCp2	192.168.38.10	1038	199.30.89.52	80	1	GET	talkaboutetraders.com	/content/field.swf	http://talkaboutetraders.com/main.php?id=29273e796a7b2459	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1448	200	OK	-	-	-	(empty)	-	-	-	-	-	F8PwJf2taAATkF8qGd	application/x-shockwave-flash
1326573227.706025	CabeXg2gxGeKBOBJCb	192.168.38.10	1032	199.30.89.52	80	2	GET	talkaboutetraders.com	/content/fdp2.php?f=21	http://talkaboutetraders.com/main.php?id=29273e796a7b2459	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	82225	200	OK	-	-	-	(empty)	-	-	-	-	-	FfxM7x15pQIkj378E2	application/pdf
1326573245.47023	Cb1aEw2rsI9Iw8GzQ9	192.168.38.10	1040	69.31.132.73	80	1	GET	fpdownload2.macromedia.com	/get/flashplayer/update/current/xml/version_en_win_ax.xml	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1568	200	OK	-	-	-	(empty)	-	-	-	-	-	FUKyuF3tv0YaNpXIL8	text/html
1326573245.7461	CgQXnHxdrkH3teP0j	192.168.38.10	1042	74.125.47.105	80	1	GET	google.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	219	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FG0Hby2NVv2ZLzi2Cc	text/html
1326573245.75678	ChnGlt1TqTiRTfvbzj	192.168.38.10	1043	74.125.45.147	80	1	GET	www.google.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	18805	200	OK	-	-	-	(empty)	-	-	-	-	-	FW2lp64sFRlFQTxc61	text/html
1326573245.695402	CesSkG4Lxt604WenHe	192.168.38.10	1041	199.30.89.52	80	1	GET	talkaboutetraders.com	/content/v1.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3858	200	OK	-	-	-	(empty)	-	-	-	-	-	FesG0b3NRciWwpeI4f	application/zip
1326573246.384563	ChnGlt1TqTiRTfvbzj	192.168.38.10	1043	74.125.45.147	80	2	GET	www.google.com	/intl/en_ALL/images/srpr/logo1w.png	http://www.google.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7330	200	OK	-	-	-	(empty)	-	-	-	-	-	Fi21Ji1qGxI59JLfFj	image/png
1326573246.400678	ChnGlt1TqTiRTfvbzj	192.168.38.10	1043	74.125.45.147	80	3	GET	www.google.com	/images/srpr/nav_logo80.png	http://www.google.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35636	200	OK	-	-	-	(empty)	-	-	-	-	-	F8QIgaZmbERkfD9Kf	image/png
