#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-35-02
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1323084677.814832	CBm2vr1bOr53xBWW97	192.168.123.10	1029	95.168.165.224	80	1	GET	crystalservice.info	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	233	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	Fbwndg1OYkkbcZMTDk	text/html
1323084677.967305	C3s75w4RoOxrPMSGKi	192.168.123.10	1033	149.255.33.229	80	1	GET	winter2.in	/?site=4	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1323084678.208803	CztbWk2ELnyAPLttq1	192.168.123.10	1037	109.123.116.51	80	1	GET	googleads5.in	/redir.html	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	349	200	OK	-	-	-	(empty)	-	-	-	-	-	F0rIry4vPCVYL5N3Va	text/html
1323084678.518877	CU6ed83BW2AbrAPREb	192.168.123.10	1042	109.123.116.51	80	1	GET	googleads5.in	/in.cgi?default	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	222	302	Found	-	-	-	(empty)	-	-	-	-	-	FQhTS4UvujDqeYeQ2	text/html
1323084678.935683	CiiADCII2kiSRD4t5	192.168.123.10	1043	188.190.98.213	80	1	GET	freeplayingfieldforall.com	/ts/in.cgi?usa	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	222	302	Found	-	-	-	(empty)	-	-	-	-	-	FAgKMr1d0PpAjlInA9	text/html
1323084679.098073	CiiADCII2kiSRD4t5	192.168.123.10	1043	188.190.98.213	80	2	GET	freeplayingfieldforall.com	/xxx/xxx79.php	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	794	200	OK	-	-	-	(empty)	-	-	-	-	-	FzLUPU1okT4F7Smssj	text/plain
1323084679.257542	CiiADCII2kiSRD4t5	192.168.123.10	1043	188.190.98.213	80	3	GET	freeplayingfieldforall.com	/ts/in.cgi?tds2	http://freeplayingfieldforall.com/xxx/xxx79.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	204	302	Found	-	-	-	(empty)	-	-	-	-	-	F9Dlzl2KJwQ9RCBLK1	text/html
1323084679.406581	CAmmoP2S8ZDT1BHDGf	192.168.123.10	1044	188.190.98.213	80	1	GET	freeplayingfieldforall.com	/ts/in.cgi?tds1	http://freeplayingfieldforall.com/xxx/xxx79.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	246	302	Found	-	-	-	(empty)	-	-	-	-	-	FoCguA46p6MFoc6yzd	text/html
1323084679.433502	CiiADCII2kiSRD4t5	192.168.123.10	1043	188.190.98.213	80	4	GET	freeplayingfieldforall.com	/ts/in.cgi?tds3	http://freeplayingfieldforall.com/xxx/xxx79.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	220	302	Found	-	-	-	(empty)	-	-	-	-	-	FwGbN81rxOyvTG39Ma	text/html
1323084679.585688	CAmmoP2S8ZDT1BHDGf	192.168.123.10	1044	188.190.98.213	80	2	GET	freeplayingfieldforall.com	/ts/in.cgi?tds4	http://freeplayingfieldforall.com/xxx/xxx79.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	212	302	Found	-	-	-	(empty)	-	-	-	-	-	Fxzzwb13zx2gJuTu1	text/html
1323084679.482187	CRbtXY3joR1LfmBu3l	192.168.123.10	1046	66.115.174.102	80	1	GET	collegeboysfeet.com	/maillist/f/	http://freeplayingfieldforall.com/xxx/xxx79.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	100056	200	OK	-	-	-	(empty)	-	-	-	-	-	FQ5iqD1nITvo0ch9Rd	text/html
