#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-04-11
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1390933691.126966	CXIHUF18LuRveWqII1	192.168.45.10	1034	75.126.86.175	80	1	GET	blackbigmilfs.net	/	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1390933691.519918	C7hw9E2P7co2WL2Hpd	192.168.45.10	1037	178.32.189.100	80	1	GET	5a.13f62e.78eb.bdc97.25ff29c.828b05.23.lvrogvvm.suitingwishs.pw	/	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1675	200	OK	-	-	-	(empty)	-	-	-	-	-	FY54vt3s3TYgWrdp2	text/html
1390933694.216274	Cm2OXra85iJYUjFoh	192.168.45.10	1038	178.32.189.100	80	1	GET	5a.13f62e.78eb.bdc97.25ff29c.828b05.23.lvrogvvm.suitingwishs.pw	/de227_5b254/7/a233_6/079/207_3e_0fd/92_b44/_252f64/783/2_80_d_ab35d/0_1021/f0005/1_c0_1	http://5a.13f62e.78eb.bdc97.25ff29c.828b05.23.lvrogvvm.suitingwishs.pw/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	12494	200	OK	-	-	-	(empty)	-	-	-	-	-	FhndwhM7UlDMfAo4h	text/html
1390933698.45308	CNKbPq1bliD0f88rI5	192.168.45.10	1039	178.32.189.100	80	1	GET	178.32.189.100	/?bb12793b33aadda3d9812ac7d7958a14	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	156672	200	OK	-	-	-	(empty)	-	-	-	-	-	FDXjn45c1gTXIrY35	application/x-dosexec
1390933704.957892	Ci6a5G2uRZKUiec4w5	192.168.45.10	1044	178.32.189.100	80	1	GET	178.32.189.100	/?bff18613aeec8017c750e600457c8a42	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1390933705.283508	Ch2gwB3LW57NcikXch	192.168.45.10	1045	178.32.189.100	80	1	GET	178.32.189.100	/?001adf2fc91e6cffd455051507400e73	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1390933705.604288	CmIzlp1HbDu0yQE7i	192.168.45.10	1046	178.32.189.100	80	1	GET	178.32.189.100	/?8e73b272f82be22a8a60ff76b8f275cb	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1390933705.929688	CYcFnu2iCWUZNViFXb	192.168.45.10	1047	178.32.189.100	80	1	GET	178.32.189.100	/?e6cb6a703a358227d5ceb405c9166164	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1390933706.252474	CXcJVhdGTuOt1UG2j	192.168.45.10	1048	178.32.189.100	80	1	GET	178.32.189.100	/?e8d8058bf440234e8b747fa749e4e48c	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1390933723.514985	CzsCJP3d56saPlzrPg	192.168.45.10	1049	109.239.168.149	33816	1	POST	109.239.168.149	/104392/epydxqvqg/index.php	-	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0)	127	165399	200	OK	-	-	-	(empty)	-	-	-	FfLD1s13mC7umekpVh	binary	Fe8IK51mLFfCZRRNoe	binary
1390933758.241383	CG7eCT2O10MdckppAc	192.168.45.10	1051	109.239.168.149	33816	1	POST	109.239.168.149	/4bn1?WdrCRGxvluGtMWGJj=XrJTVOIXNxHtmPTa&TrhKhmhMpYQI=SQwsNrORFvLGlgUxD	-	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0)	64	0	200	OK	-	-	-	(empty)	-	-	-	F56VPs4ojHYauuvTp3	binary	-	-
