#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-03-02
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1327688588.561785	CbyRwgbvLrbezswHh	192.168.106.10	1030	98.124.199.1	80	1	GET	livelabor.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	170	302	Object moved	-	-	-	(empty)	-	-	-	-	-	FuhtpF4ARqgTdZkENe	text/html
1327688588.796264	CDmEBcPFRIFpC9TBe	192.168.106.10	1031	193.19.242.198	80	1	GET	srichco.com	/main.php?page=f01569c984bcc11c	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	107770	200	OK	-	-	-	(empty)	-	-	-	-	-	FKnGzd23vGku23uzl6	text/html
1327688601.726386	CDmEBcPFRIFpC9TBe	192.168.106.10	1031	193.19.242.198	80	2	GET	srichco.com	/w.php?f=16&e=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	162816	200	OK	-	-	-	(empty)	-	-	-	-	-	FyEich1su4b98V88w	application/x-dosexec
1327688602.924716	CDmEBcPFRIFpC9TBe	192.168.106.10	1031	193.19.242.198	80	3	GET	srichco.com	/content/adfp2.php?f=16	http://srichco.com/main.php?page=f01569c984bcc11c	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13429	200	OK	-	-	-	(empty)	-	-	-	-	-	Fg7SRqiXkKEDKUKm	application/pdf
1327688612.239622	Ciis2i38KfpWbJ8P8a	192.168.106.10	1038	193.19.242.198	80	1	GET	srichco.com	/content/field.swf	http://srichco.com/main.php?page=f01569c984bcc11c	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1490	200	OK	-	-	-	(empty)	-	-	-	-	-	FPR3ITJXNpWNAQiP7	application/x-shockwave-flash
1327688612.058748	CDmEBcPFRIFpC9TBe	192.168.106.10	1031	193.19.242.198	80	4	GET	srichco.com	/w.php?f=16&e=4	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	162816	200	OK	-	-	-	(empty)	-	-	-	-	-	FZrmixMdrOdZYn8r7	application/x-dosexec
1327688612.30179	CxEEUW3i2Mp52h7Oaa	192.168.106.10	1037	60.19.30.135	80	1	POST	legcold.ru	/maybach.php	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	77	11545	200	OK	-	-	-	(empty)	-	-	-	F8ua603k77fLWJbtOk	text/plain	F4bPooKGKjyCY8U1	binary
1327688617.227408	CCIflh3gW2C7dpexy1	192.168.106.10	1039	193.19.242.198	80	1	GET	srichco.com	/content/rino.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	4391	200	OK	-	-	-	(empty)	-	-	-	-	-	FrX6K6NTNugy6eSq9	application/zip
1327688618.2993	CXNvdW3CXlBkeUKe22	192.168.106.10	1040	193.19.242.198	80	1	GET	srichco.com	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FKXmLn4LhDLUrHYiff	text/html
1327688618.644616	CXNvdW3CXlBkeUKe22	192.168.106.10	1040	193.19.242.198	80	2	GET	srichco.com	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FECzN72thAINomz8Yj	text/html
1327688618.968939	CXNvdW3CXlBkeUKe22	192.168.106.10	1040	193.19.242.198	80	3	GET	srichco.com	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FR5aVu2tnaGlBwIp1	text/html
1327688619.295679	CXNvdW3CXlBkeUKe22	192.168.106.10	1040	193.19.242.198	80	4	GET	srichco.com	/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FOEMg41DBKHB1GcVxg	text/html
1327688619.935477	CXNvdW3CXlBkeUKe22	192.168.106.10	1040	193.19.242.198	80	5	GET	srichco.com	/w.php?f=16&e=0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162816	200	OK	-	-	-	(empty)	-	-	-	-	-	FJAmeL11BU7vg348Zh	application/x-dosexec
1327688641.119729	C2yZdl32acOsYYUyS9	192.168.106.10	1041	210.212.58.161	80	1	POST	noseclan.ru	/sony.php	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	298	64	200	OK	-	-	-	(empty)	-	-	-	FaRuZwGbtCkcYeNib	binary	FbFG7Pgeq4KnuLOHi	binary
#close	2014-04-03-10-03-03
