#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2014-04-03-10-39-09
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1357472721.443016	CQNprF23flS55z1Wi6	192.168.77.10	1033	74.125.140.95	80	unescaped_special_URI_char	-	F	bro
1357472723.821234	-	-	-	-	-	unknown_protocol_2	-	F	bro
1357472748.853756	CBRuXXSFkBysgnZn3	192.168.77.10	1084	194.165.17.3	53	DNS_Conn_count_too_large	-	F	bro
1357472748.853945	CUgDWa2WTdzHRybOWe	192.168.77.10	1084	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1357472748.855449	CpArkG431q5QTDBA9j	192.168.77.10	1086	194.165.17.3	53	DNS_Conn_count_too_large	-	F	bro
1357472748.855602	CSbe1C2frd1lViZcq7	192.168.77.10	1086	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1357472748.870144	CLnkV8d4BXxUSksK1	192.168.77.10	1088	194.165.17.3	53	DNS_Conn_count_too_large	-	F	bro
1357472748.870334	C07Beh1JEEjwPCl0ud	192.168.77.10	1088	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1357472748.872129	CJnImK3xChqSASLEB3	192.168.77.10	1090	194.165.17.3	53	DNS_Conn_count_too_large	-	F	bro
1357472748.872284	CZaiqg2PnsR51JXQ1e	192.168.77.10	1090	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1357472748.874396	C4slDr4pAOIQN4rjmj	192.168.77.10	1092	194.165.17.3	53	DNS_Conn_count_too_large	-	F	bro
1357472748.874554	CFztMe3vrjLjtM0XV8	192.168.77.10	1092	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1357472748.876855	CCYex31u1PE5HJvKvi	192.168.77.10	1094	194.165.17.3	53	DNS_Conn_count_too_large	-	F	bro
1357472748.87702	CatQns2S14tBfXBn98	192.168.77.10	1094	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1357472749.067731	CjVcqhIw70sPW6Nt2	192.168.77.10	1098	194.165.17.3	53	DNS_Conn_count_too_large	-	F	bro
1357472749.067954	CcbILp1KXHhO4kMZPc	192.168.77.10	1098	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1357472749.076673	CDoaHA3WtCpCHQSDX2	192.168.77.10	1100	194.165.17.3	53	DNS_Conn_count_too_large	-	F	bro
1357472749.076866	CNoOK62Ue2CLlypbLe	192.168.77.10	1100	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1357472749.111795	CSPwaA4mvoVr8sJt5k	192.168.77.10	1102	194.165.17.3	53	DNS_Conn_count_too_large	-	F	bro
1357472749.112632	Clrqhn3G53jsxbB6i8	192.168.77.10	1102	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1357472755.287267	C1gim14kbYiAhsXjbh	192.168.77.10	1116	194.165.17.3	53	DNS_Conn_count_too_large	-	F	bro
1357472755.287458	CeoWkO2ugfeMLSuAB5	192.168.77.10	1116	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1357472755.288282	CrMrbjOqk5sRM1V8l	192.168.77.10	1118	194.165.17.3	53	DNS_Conn_count_too_large	-	F	bro
1357472755.288414	CLDWF438fYDDqqNRUa	192.168.77.10	1118	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1357472755.289216	CmdVNQQzwLwaZ7Zf5	192.168.77.10	1120	194.165.17.3	53	DNS_Conn_count_too_large	-	F	bro
1357472755.289349	CZVFhZ126j8qQT7Stf	192.168.77.10	1120	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
#close	2014-04-03-10-39-10
