#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-55-45
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1327647532.736549	C0JBbf1C5TZuADZaGa	192.168.119.10	1030	208.64.123.45	80	1	GET	5fkyfy5ybrzlk4.l91.me	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	178	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FVC6vk298JGghw3myb	text/html
1327647532.959587	CWvsBH0hJ8VxFyhRi	192.168.119.10	1031	64.34.154.74	80	1	GET	fasttrackonlinesurveys.com	/d/traf2.com	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1729	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F3sKPj2FB4D0ZT4iS8	text/html
1327647533.070705	CuRien2TtYwJCmU72e	192.168.119.10	1032	209.17.74.150	80	1	GET	i35.tinypic.com	/n4ts0p.png	http://fasttrackonlinesurveys.com/d/traf2.com	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	97370	200	OK	-	-	-	(empty)	-	-	-	-	-	FBc64P3dpjpujKTsqa	image/png
1327647533.677762	CMv1fz4VHd5eKFocp	192.168.119.10	1033	64.34.154.74	80	1	GET	i.d2f3.com	/oops/index.php?e9cb9458b4b97866bf6dfbbc558dfc77	http://fasttrackonlinesurveys.com/d/traf2.com	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43957	200	OK	-	-	-	(empty)	-	-	-	-	-	FfVpIo4210Zlol1JCf	text/html
1327647535.330413	CoHxyJ1W8ggE7QB7P4	192.168.119.10	1034	64.34.154.74	80	1	GET	i.d2f3.com	/oops/server_privileges.php?dd6fbea61d7367a4b2ce79086ce1519e=1	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	296448	200	OK	-	-	-	(empty)	-	-	-	-	-	F5eeoM29WM1jgNvn12	application/x-dosexec
1327647537.033918	CY7lNC3jOGWapP6iQj	192.168.119.10	1039	65.39.172.126	80	1	GET	network.stripthere.com	/mars/iLog.php?dl=5.9&log=Loader: 506^BB	-	IE7.0	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1327647537.132512	CKHwzuAq4aCDtGhd3	192.168.119.10	1040	64.34.154.74	80	1	GET	i.d2f3.com	/oops/images/r/a03cb4b8e5bb148134a57a2c87ddacd9.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2909	200	OK	-	-	-	(empty)	-	-	-	-	-	Fche9c2JpX1SMYrP7a	application/jar
1327647537.134623	C2b3Ks3XX0ayDKqAz5	192.168.119.10	1042	64.34.154.74	80	1	GET	i.d2f3.com	/oops/images/a03cb4b8e5bb148134a57a2c87ddacd9.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5380	200	OK	-	-	-	(empty)	-	-	-	-	-	FdsgYS2IKQIsZ9APQb	application/jar
1327647537.137099	CWiqHk22YMtOQfFUdb	192.168.119.10	1041	64.34.154.74	80	1	GET	fasttrackonlinesurveys.com	/Java.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2755	200	OK	-	-	-	(empty)	-	-	-	-	-	FwMHfO1GFmXGLDTn87	application/zip
1327647537.273402	CQJD5Y3L7D67ogMLul	192.168.119.10	1043	64.34.154.74	80	1	GET	i.d2f3.com	/oops/images/a03cb4b8e5bb148134a57a2c87ddacd9.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5380	200	OK	-	-	-	(empty)	-	-	-	-	-	Fwm5Rf2FIYNZyJoqn4	application/jar
1327647537.278031	C80L5W2ppgzShqsE28	192.168.119.10	1044	64.34.154.74	80	1	GET	i.d2f3.com	/oops/images/r/a03cb4b8e5bb148134a57a2c87ddacd9.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2909	200	OK	-	-	-	(empty)	-	-	-	-	-	FR3Z4S3aMyyursVr79	application/jar
