#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2014-04-03-11-02-11
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1345412933.527091	CwOFGV2rM7jQMUlvX4	192.168.59.10	1040	199.21.148.98	80	unescaped_special_URI_char	-	F	bro
1345412933.903352	-	-	-	-	-	unknown_protocol_2	-	F	bro
1345412963.416261	CG2tjA2NR1qh3BnHhb	192.168.59.10	1072	91.193.74.13	53	DNS_Conn_count_too_large	-	F	bro
1345412963.416424	CPrf8o3ESqBHZNwJO2	192.168.59.10	1072	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1345412963.45456	C6fYRQSTYS4fztxlh	192.168.59.10	1074	91.193.74.13	53	DNS_Conn_count_too_large	-	F	bro
1345412963.454757	CV2oZo4nnDxmtsuZOl	192.168.59.10	1074	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1345412963.583629	CIUEZT1przu7J0my49	192.168.59.10	1076	91.193.74.13	53	DNS_Conn_count_too_large	-	F	bro
1345412963.583779	Cn4W9x1ygl02Ir3Fqk	192.168.59.10	1076	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1345412963.585195	CQWAxa44mJNChyvPva	192.168.59.10	1078	91.193.74.13	53	DNS_Conn_count_too_large	-	F	bro
1345412963.585338	CkPTKa1X9kZGpWB0J6	192.168.59.10	1078	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1345412963.58682	Cn2Mz74wIU989YR5yk	192.168.59.10	1080	91.193.74.13	53	DNS_Conn_count_too_large	-	F	bro
1345412963.586969	Caxu6U3xtC72SBoLB6	192.168.59.10	1080	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1345412963.952794	C39cLd1Lsr3YmDJ3Gl	192.168.59.10	1084	91.193.74.13	53	DNS_Conn_count_too_large	-	F	bro
1345412963.952936	CfxaOD36Ctgn2L00eh	192.168.59.10	1084	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1345412963.963924	CmX1pu1QePBHaRYma8	192.168.59.10	1086	91.193.74.13	53	DNS_Conn_count_too_large	-	F	bro
1345412963.96407	CHIXXQ1TrsvLjW6Rec	192.168.59.10	1086	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1345412963.97785	CeJVem2HOtqbHIzl92	192.168.59.10	1089	91.193.74.13	53	DNS_Conn_count_too_large	-	F	bro
1345412963.977984	CuW0eEsHMTk7P3vS3	192.168.59.10	1089	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
#close	2014-04-03-11-02-12
