#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-51-57
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1333088529.220866	CltWVXRcBeKpjK2q	192.168.81.10	1030	205.178.189.129	80	1	GET	cccexp.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	122	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FuDd0lhdKvSOAaXp1	text/html
1333088529.357624	Cl5ZsZypJfrsYghz	192.168.81.10	1031	66.7.249.84	80	1	GET	www.cccexp.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	578	200	OK	-	-	-	(empty)	-	-	-	-	-	Fe2T2z1Ai329esP3ic	text/html
1333088529.480852	Cl5ZsZypJfrsYghz	192.168.81.10	1031	66.7.249.84	80	2	GET	www.cccexp.com	/exponline/logon.jsp	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10762	200	OK	-	-	-	(empty)	-	-	-	-	-	F67Q6s20BPMigGbcZh	text/html
1333088529.577101	Cl5ZsZypJfrsYghz	192.168.81.10	1031	66.7.249.84	80	3	GET	www.cccexp.com	/exponline/css/primavera.css	http://www.cccexp.com/exponline/logon.jsp	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11293	200	OK	-	-	-	(empty)	-	-	-	-	-	FHRjUQ1CQqOQxKDeK3	text/plain
1333088529.752587	Cl5ZsZypJfrsYghz	192.168.81.10	1031	66.7.249.84	80	4	GET	www.cccexp.com	/exponline/utilities.js	http://www.cccexp.com/exponline/logon.jsp	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	260235	200	OK	-	-	-	(empty)	-	-	-	-	-	FGm4d32BrPfPaTGRJh	text/x-pascal
1333088532.12256	Cl5ZsZypJfrsYghz	192.168.81.10	1031	66.7.249.84	80	5	GET	www.cccexp.com	/exponline/img/hide_actionframe.gif	http://www.cccexp.com/exponline/logon.jsp	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	838	200	OK	-	-	-	(empty)	-	-	-	-	-	F18cFL3nCFGbksRkb9	image/gif
1333088532.202865	Cl5ZsZypJfrsYghz	192.168.81.10	1031	66.7.249.84	80	6	GET	www.cccexp.com	/exponline/img/collapse.gif	http://www.cccexp.com/exponline/logon.jsp	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	74	200	OK	-	-	-	(empty)	-	-	-	-	-	FegNOl4qKDZDJxoNrd	image/gif
1333088532.202609	CWT5TB33dXVMt4eI5l	192.168.81.10	1036	66.7.249.84	80	1	GET	www.cccexp.com	/exponline/img/show_actionframe.gif	http://www.cccexp.com/exponline/logon.jsp	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	842	200	OK	-	-	-	(empty)	-	-	-	-	-	FqkTqFEltvNhXzk7	image/gif
1333088532.284888	Cl5ZsZypJfrsYghz	192.168.81.10	1031	66.7.249.84	80	7	GET	www.cccexp.com	/exponline/img/expand.gif	http://www.cccexp.com/exponline/logon.jsp	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	70	200	OK	-	-	-	(empty)	-	-	-	-	-	F1oldD1Eg9Q9IL4z1	image/gif
1333088532.285186	CWT5TB33dXVMt4eI5l	192.168.81.10	1036	66.7.249.84	80	2	GET	www.cccexp.com	/exponline/img/sort_order_asc.gif	http://www.cccexp.com/exponline/logon.jsp	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	846	200	OK	-	-	-	(empty)	-	-	-	-	-	FbopMV2W3tMmiQ14Xi	image/gif
1333088532.36605	Cl5ZsZypJfrsYghz	192.168.81.10	1031	66.7.249.84	80	8	GET	www.cccexp.com	/exponline/img/sort_order_desc.gif	http://www.cccexp.com/exponline/logon.jsp	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	846	200	OK	-	-	-	(empty)	-	-	-	-	-	FBKqUj34KRyR5DhwHl	image/gif
