#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-53-33
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1364848458.452533	CTWcCL1edJAb7d7lBi	192.168.57.10	1030	109.206.178.77	80	1	GET	eroticssymphonies.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1364848458.759944	C0KQz92GFEcekjXEE3	192.168.57.10	1031	65.49.23.6	80	1	GET	update.microsoft.windows.software.critical.patch.xouxu.6barabust.info	/?28862c408714004d95ed3db043bf31ca=k18&fe7704f0abce50d552ffba26fb58550e=eroticssymphonies.com	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1711	200	OK	-	-	-	(empty)	-	-	-	-	-	F6ziXi3CNn17jr5BQ5	text/html
1364848458.89504	Cq5CYt2iI7U2LL0ig5	192.168.57.10	1032	65.49.23.6	80	1	GET	update.microsoft.windows.software.critical.patch.xouxu.6barabust.info	/4cbc54366fc7027bb903f0d8841ba741.eot	http://update.microsoft.windows.software.critical.patch.xouxu.6barabust.info/?28862c408714004d95ed3db043bf31ca=k18&fe7704f0abce50d552ffba26fb58550e=eroticssymphonies.com	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4200	200	OK	-	-	-	(empty)	-	-	-	-	-	FFSYFN3ktph0Yrlu7c	application/vnd.ms-fontobject
1364848459.212657	Cdh6OD2yqczv05ihOh	192.168.57.10	1033	65.49.23.6	80	1	GET	update.microsoft.windows.software.critical.patch.xouxu.6barabust.info	/820c96c996a9cb56796d400923ab935c/bf18214e3d70802b2236aa49a058e338.swf	http://update.microsoft.windows.software.critical.patch.xouxu.6barabust.info/?28862c408714004d95ed3db043bf31ca=k18&fe7704f0abce50d552ffba26f	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FeA9to4kLdAvnFCK1b	text/html
1364848460.502674	Cp7dPN1NF0N3lnTVs6	192.168.57.10	1035	65.49.23.6	80	1	GET	65.49.23.6	/?d7b34dcd4f4b9e9e394964659986b8f4	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	157184	200	OK	-	-	-	(empty)	-	-	-	-	-	FNILLl6cxIMtUb0If	application/x-dosexec
1364848461.075247	CGSe9nZYZuAf8WTZe	192.168.57.10	1037	50.22.196.70	80	1	GET	j.maxmind.com	/app/geoip.js	-	-	0	502	200	OK	-	-	-	(empty)	-	-	-	-	-	F6rNN5NWdUMWHz5Ef	text/plain
1364848461.818513	C4suI74v1abucyMoE7	192.168.57.10	1067	65.49.23.6	80	1	GET	update.microsoft.windows.software.critical.patch.xouxu.6barabust.info	/820c96c996a9cb56796d400923ab935c/9f09ff6572b2eb7e7ca4c9e8d61c3060.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9571	200	OK	-	-	-	(empty)	-	-	-	-	-	FC3dRBct3T4lEF9J1	application/jar
1364848461.820932	CweFzldd5VReTTzx6	192.168.57.10	1066	65.49.23.6	80	1	GET	update.microsoft.windows.software.critical.patch.xouxu.6barabust.info	/efeda423fe28b129cd03d87ae8044486/3d7bbb904a82ec321e342e7f2bc346ec.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3486	200	OK	-	-	-	(empty)	-	-	-	-	-	FCUDyP1f2wGnKIKIyk	application/zip
1364848461.973848	CjSJ8t4x8TM61Uc3He	192.168.57.10	1068	65.49.23.6	80	1	GET	update.microsoft.windows.software.critical.patch.xouxu.6barabust.info	/820c96c996a9cb56796d400923ab935c/9f09ff6572b2eb7e7ca4c9e8d61c3060.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9571	200	OK	-	-	-	(empty)	-	-	-	-	-	F1Q8cJ1tLEe0WM8yt1	application/jar
1364848461.978877	CHE717VxtJko3u1eg	192.168.57.10	1069	65.49.23.6	80	1	GET	update.microsoft.windows.software.critical.patch.xouxu.6barabust.info	/efeda423fe28b129cd03d87ae8044486/3d7bbb904a82ec321e342e7f2bc346ec.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3486	200	OK	-	-	-	(empty)	-	-	-	-	-	FBGk453cWPXMk2OFxj	application/zip
1364848462.387733	Co4Bok76I9KTYGlL6	192.168.57.10	1070	65.49.23.6	80	1	GET	update.microsoft.windows.software.critical.patch.xouxu.6barabust.info	/820c96c996a9cb56796d400923ab935c/9f09ff6572b2eb7e7ca4c9e8d61c3060.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9571	200	OK	-	-	-	(empty)	-	-	-	-	-	F5Ay55TIhqcGm6TCi	application/jar
1364848463.309434	CB0Fj01Xiu0XwQuj59	192.168.57.10	1075	83.133.120.16	80	1	GET	xlotxdxtorwfmvuzfuvtspel.com	/NQf8W7RVMsOgdj0xLjImaWQ9MzEzNjE3NzcxNiZhaWQ9NTEwMjEmc2lkPTAmb3M9NS4xLTMywvVZLx43	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1364848464.002633	C6YVnQ3HzgJ20T8Yfc	192.168.57.10	1073	65.49.23.6	80	1	GET	update.microsoft.windows.software.critical.patch.xouxu.6barabust.info	/820c96c996a9cb56796d400923ab935c/0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	157184	200	OK	-	-	-	(empty)	-	-	-	-	-	FqyR7E4cxo8GiVgGY6	binary
1364848464.516261	CJBbt13YYh7XaJoHtl	192.168.57.10	1078	50.22.196.70	80	1	GET	j.maxmind.com	/app/geoip.js	-	-	0	502	200	OK	-	-	-	(empty)	-	-	-	-	-	FbN9dc4jixdt7u6MY5	text/plain
1364848464.482927	C4VfAR3JUF2Avtei2c	192.168.57.10	1076	65.49.23.6	80	1	GET	update.microsoft.windows.software.critical.patch.xouxu.6barabust.info	/820c96c996a9cb56796d400923ab935c/1	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FrnZ0MP0gmmkZpNia	text/html
1364848464.696226	CDStrz145M3y6KWfwk	192.168.57.10	1085	65.49.23.6	80	1	GET	update.microsoft.windows.software.critical.patch.xouxu.6barabust.info	/820c96c996a9cb56796d400923ab935c/2	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FstpUC3T0c1dMTdqAd	text/html
1364848464.875864	Cq76Zc1GwqoNqCLBv2	192.168.57.10	1086	65.49.23.6	80	1	GET	update.microsoft.windows.software.critical.patch.xouxu.6barabust.info	/820c96c996a9cb56796d400923ab935c/3	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FNpyPG21rIKDsqNwo1	text/html
1364848465.069754	CYGm3e3tEI7PkqSHOb	192.168.57.10	1087	65.49.23.6	80	1	GET	update.microsoft.windows.software.critical.patch.xouxu.6barabust.info	/820c96c996a9cb56796d400923ab935c/4	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	164352	200	OK	-	-	-	(empty)	-	-	-	-	-	FKeCgb2NfuetR4pnxk	binary
#close	2014-04-03-09-53-33
