#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2014-04-03-11-10-12
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1342543368.501847	Cd2LIy1nuZVdZhsrm9	192.168.27.10	1030	66.175.58.9	80	window_recision	-	F	bro
1342543371.436859	-	-	-	-	-	unknown_protocol_2	-	F	bro
1342543416.914206	CYtePXwmlcxpYWz1h	192.168.27.10	1044	83.133.123.20	53	DNS_Conn_count_too_large	-	F	bro
1342543416.980945	Cx4NCi31WhzvFKQzei	192.168.27.10	1047	83.133.123.20	53	DNS_Conn_count_too_large	-	F	bro
1342543417.330465	CCysfk4PmBQqpayN1c	192.168.27.10	1049	83.133.123.20	53	DNS_Conn_count_too_large	-	F	bro
1342543417.361923	CtXBqV2z7DVrMjgvWl	192.168.27.10	1051	83.133.123.20	53	DNS_Conn_count_too_large	-	F	bro
1342543417.422291	CHT25B2aHGvZ21Ygok	192.168.27.10	1053	83.133.123.20	53	DNS_Conn_count_too_large	-	F	bro
1342543418.89142	CuHuCV2J7OkrZ30ipe	192.168.27.10	1057	83.133.123.20	53	DNS_Conn_count_too_large	-	F	bro
1342543418.903099	CDsozE3LxSsn72nlei	192.168.27.10	1060	83.133.123.20	53	DNS_Conn_count_too_large	-	F	bro
1342543418.923689	Caknpi3kAtXt5PfuTd	192.168.27.10	1063	83.133.123.20	53	DNS_Conn_count_too_large	-	F	bro
#close	2014-04-03-11-10-14
