#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-15-30
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1328638650.367549	Cj05UD4p68ZepAVz45	192.168.111.10	1030	146.185.18.50	80	1	GET	barracktube.net	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1328638650.609449	CD8WuU3QwDsISUpmUg	192.168.111.10	1031	78.159.105.120	80	1	GET	abcfunny.info	/?site=4	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	272	200	OK	-	-	-	(empty)	-	-	-	-	-	F01QFnzjqdHQPWEo6	text/html
1328638651.71344	CzSyXXT6vfrZxvre3	192.168.111.10	1033	78.159.105.120	80	1	GET	abcfunny.info	/?e6c15e034159d8e7c7f518db7125a71f	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3030	200	OK	-	-	-	(empty)	-	-	-	-	-	FSwYzr2rFZS5ZSFmxk	application/zip
1328638651.714872	CXFnfMKCEBpBU1NJi	192.168.111.10	1032	78.159.105.120	80	1	GET	abcfunny.info	/?8fbd396db06666adf69a73c5ff3824a1	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3735	200	OK	-	-	-	(empty)	-	-	-	-	-	F7LaqA4eQAEuAVQjSi	application/zip
1328638651.959518	CZQeqc1uFubQNqpJW6	192.168.111.10	1035	78.159.105.120	80	1	GET	abcfunny.info	/?8fbd396db06666adf69a73c5ff3824a1	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3735	200	OK	-	-	-	(empty)	-	-	-	-	-	FrSp4A1vwsi2R8cP21	application/zip
1328638651.966288	CdWvEI3p44zzwfFx1f	192.168.111.10	1034	78.159.105.120	80	1	GET	abcfunny.info	/?e6c15e034159d8e7c7f518db7125a71f	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3030	200	OK	-	-	-	(empty)	-	-	-	-	-	FXfTPN1qC6F3lF8rd5	application/zip
1328638652.596498	C1nhbu3MJqBIbAn4J6	192.168.111.10	1036	78.159.105.120	80	1	GET	abcfunny.info	/?e6c15e034159d8e7c7f518db7125a71f	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3030	200	OK	-	-	-	(empty)	-	-	-	-	-	FFcCz33TcZtGmAzP31	application/zip
1328638652.690219	C9EvCW2lrl871oqPff	192.168.111.10	1037	78.159.105.120	80	1	GET	abcfunny.info	/?8fbd396db06666adf69a73c5ff3824a1	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3735	200	OK	-	-	-	(empty)	-	-	-	-	-	Fkk2qE3ZdkKO1xUtw9	application/zip
1328638653.061577	CVOMlv2kxszhkYVIna	192.168.111.10	1043	78.159.105.120	80	1	GET	abcfunny.info	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FGnP2x3qeGLvP5aYA4	text/html
1328638653.293457	CXiMKK2zAPxLcnfHAb	192.168.111.10	1044	78.159.105.120	80	1	GET	abcfunny.info	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FpafDB2dr5u9MEhAAc	text/html
1328638653.526298	C7HnPV1BLE28TyHUfg	192.168.111.10	1045	78.159.105.120	80	1	GET	abcfunny.info	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FLvr9434qvnLj1FZM	text/html
1328638653.766944	CTm0cx1q02Gzoy6ZI5	192.168.111.10	1046	78.159.105.120	80	1	GET	abcfunny.info	/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F8WVdt3pQ9u7tzxIyb	text/html
1328638653.020617	C3gDmb2CdDJwWB5WM8	192.168.111.10	1042	78.159.105.120	80	1	GET	abcfunny.info	/?682ec016f5a0784f4a4e9daf7ec5dd79	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	442368	200	OK	-	-	-	(empty)	-	-	-	-	-	FzVdFZ3Juo3rLtXVN	application/x-dosexec
1328638654.043301	Cb5Sy93sm87iO3SJT7	192.168.111.10	1047	78.159.105.120	80	1	GET	abcfunny.info	/?3f6679c346723932d1785997526d15be	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	442368	200	OK	-	-	-	(empty)	-	-	-	-	-	FHJiVI1Q8mjGlscNDk	application/x-dosexec
1328638656.468488	CxX0Jg3XZpfQZNcx4e	192.168.111.10	1048	78.159.105.120	80	1	GET	abcfunny.info	/?3f6679c346723932d1785997526d15be	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	7680	200	OK	-	-	-	(empty)	-	-	-	-	-	FZwiMb46E1axpHA4B8	application/x-dosexec
1328638662.222962	CPvj7R1qae4Xgk1zX9	192.168.111.10	1049	81.17.24.90	80	1	GET	tilenigotec.com	/up.php?0Q9oBPXEN0uECUgzEJ95RQsbjjrvq1aG3F/2q5sb+kXU2mKa1w==	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1328638662.581982	CXwQsP2yNRQUI2e1a9	192.168.111.10	1050	81.17.24.85	80	1	GET	subwareporado.com	/?ylOdR9GQqXquMlTvsmXlkaz1x3Ab/w==	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	571392	200	OK	-	-	-	(empty)	-	-	-	-	-	FVTueJXiJRGuVkEk9	binary
#close	2014-04-03-10-15-30
