#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-53-21
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1328638723.461892	CIugXi4rbmnbICXRP2	192.168.85.10	1030	146.185.18.50	80	1	GET	pregnant-womens-porn.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1328638723.841612	CUkUSf2uMuZP5cy4q1	192.168.85.10	1031	78.159.105.120	80	1	GET	abcfunny.info	/?site=14	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	272	200	OK	-	-	-	(empty)	-	-	-	-	-	F0Sk5u4Re1eyIVHYna	text/html
1328638724.852975	CZHiOm1SNJIaYUx3J2	192.168.85.10	1033	78.159.105.120	80	1	GET	abcfunny.info	/?8fbd396db06666adf69a73c5ff3824a1	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3735	200	OK	-	-	-	(empty)	-	-	-	-	-	FXG69WSTFQN5spE3b	application/zip
1328638724.85822	C1Xpsh1hDi3jXzwfY3	192.168.85.10	1032	78.159.105.120	80	1	GET	abcfunny.info	/?e6c15e034159d8e7c7f518db7125a71f	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3030	200	OK	-	-	-	(empty)	-	-	-	-	-	FdG1Ml1lvFyo6380g2	application/zip
1328638725.364531	CiTFf82skqsJ9EVvbf	192.168.85.10	1034	78.159.105.120	80	1	GET	abcfunny.info	/?8fbd396db06666adf69a73c5ff3824a1	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3735	200	OK	-	-	-	(empty)	-	-	-	-	-	FaPUqn3pYHfOdW9RZ6	application/zip
1328638725.366348	CNmiEi4h7V40PrqG6b	192.168.85.10	1035	78.159.105.120	80	1	GET	abcfunny.info	/?e6c15e034159d8e7c7f518db7125a71f	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3030	200	OK	-	-	-	(empty)	-	-	-	-	-	FopJlj1cgOBIOJAK5e	application/zip
1328638725.773813	C6w1314RsDbrekcHcc	192.168.85.10	1036	78.159.105.120	80	1	GET	abcfunny.info	/?e6c15e034159d8e7c7f518db7125a71f	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3030	200	OK	-	-	-	(empty)	-	-	-	-	-	FekdN435ekyB4t5zFj	application/zip
1328638725.866424	CXriEc4YQ6SUEKmV44	192.168.85.10	1041	78.159.105.120	80	1	GET	abcfunny.info	/?8fbd396db06666adf69a73c5ff3824a1	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3735	200	OK	-	-	-	(empty)	-	-	-	-	-	Fn2JYX2wWmlNX3qPG7	application/zip
1328638726.055141	CZouG929P9QtAJQNz2	192.168.85.10	1042	78.159.105.120	80	1	GET	abcfunny.info	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FkAcmy32CBBPL4fGO4	text/html
1328638726.277986	Cw3WFn1uENdyNRnBO2	192.168.85.10	1044	78.159.105.120	80	1	GET	abcfunny.info	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FTgRCn36XS7dGmAtdi	text/html
1328638726.153599	COmvtf1dOaegGsi5u1	192.168.85.10	1043	78.159.105.120	80	1	GET	abcfunny.info	/?682ec016f5a0784f4a4e9daf7ec5dd79	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	7680	200	OK	-	-	-	(empty)	-	-	-	-	-	FZ38N421uFntiduVn4	application/x-dosexec
1328638726.526868	C7rzBf2mzVkiP1Co6j	192.168.85.10	1045	78.159.105.120	80	1	GET	abcfunny.info	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FwZfMB2gwYJF3Rd6j	text/html
1328638726.762789	CcrtLj3jJK18lDGRfj	192.168.85.10	1047	78.159.105.120	80	1	GET	abcfunny.info	/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FJqgwbAvzaY3heBVd	text/html
1328638727.044182	Ck7DGp3wRj0MAtKF0i	192.168.85.10	1048	78.159.105.120	80	1	GET	abcfunny.info	/?3f6679c346723932d1785997526d15be	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	7680	200	OK	-	-	-	(empty)	-	-	-	-	-	FxZYeK3Y0LWp90fM2	application/x-dosexec
1328638726.616524	CflSGq2P2KnxVW3cwk	192.168.85.10	1046	78.159.105.120	80	1	GET	abcfunny.info	/?eea8ca9deae0f6117bb9cb3b2306eb54	-	-	0	212456	200	OK	-	-	-	(empty)	-	-	-	-	-	FzKLxaeXUkSwK7Oi3	application/x-dosexec
1328638727.411657	CXDmTy2gWGiBgfQKE5	192.168.85.10	1049	78.159.105.120	80	1	GET	abcfunny.info	/?3f6679c346723932d1785997526d15be	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	7680	200	OK	-	-	-	(empty)	-	-	-	-	-	FU3pYW38FVKnmL4nqf	application/x-dosexec
1328638727.701925	CGOd6Go7eOAz9ULK6	192.168.85.10	1052	190.9.35.198	80	1	GET	190.9.35.198	/post.php?rnd=787752	-	-	0	1	500	Internal Server Error	-	-	-	(empty)	-	-	-	-	-	FzrDT8kaNtqma1h3h	application/octet-stream
1328638727.45697	CFiqDvBfEnIFbmgE9	192.168.85.10	1050	78.159.105.120	80	1	GET	abcfunny.info	/?eea8ca9deae0f6117bb9cb3b2306eb54	-	-	0	212456	200	OK	-	-	-	(empty)	-	-	-	-	-	Ft9G8g1ZuSJ7oB45xg	application/x-dosexec
1328638727.690404	C07i6MbXDxLqz5YUa	192.168.85.10	1051	78.159.105.120	80	1	GET	abcfunny.info	/?bc3534d1461b24923f163658dc7389fa	-	-	0	221696	200	OK	-	-	-	(empty)	-	-	-	-	-	FGzVQa3Jhvmfttepxg	application/x-dosexec
1328638728.561894	CTz7nnNEVh42tavRh	192.168.85.10	1053	78.159.105.120	80	1	GET	abcfunny.info	/?bc3534d1461b24923f163658dc7389fa	-	-	0	221696	200	OK	-	-	-	(empty)	-	-	-	-	-	FAXzq43NRD2P6eNHPf	application/x-dosexec
1328638731.000706	ComBzr2Hb4pVg1cKO6	192.168.85.10	1057	208.91.207.10	80	1	GET	promos.fling.com	/geo/txt/city.php	-	-	0	28	200	OK	-	-	-	(empty)	-	-	-	-	-	Fm1eP82g7QbkPzZJH3	text/plain
