#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-26-47
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1315280337.498239	C1rbql3sXHIKuv8Xpa	192.168.103.10	1030	95.168.165.225	80	1	GET	drunk-girl-video.biz	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	249	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FMNHnZscWAa3mEf77	text/html
1315280337.71798	CuzcMlBOkMAyUPyA9	192.168.103.10	1031	109.236.82.48	80	1	GET	bigtitsroundassesporno.com	/?site=5	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7505	200	OK	-	-	-	(empty)	-	-	-	-	-	FTmnXq3Nk96Upmxubb	text/html
1315280338.9155	Cv2vy6BhRgVFi0EN6	192.168.103.10	1032	109.236.82.48	80	1	GET	bigtitsroundassesporno.com	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8293	200	OK	-	-	-	(empty)	-	-	-	-	-	FLQkrS2aiFfTwrhPek	application/jar
1315280338.912371	Cy2XAq2cZIyonq9pjl	192.168.103.10	1035	109.236.82.48	80	1	GET	1844204080	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	11944	200	OK	-	-	-	(empty)	-	-	-	-	-	FzjN3U1ZYWC9AVFJDc	application/x-java-applet
1315280338.913738	Cn1VEW1sI5UGonkvk	192.168.103.10	1034	109.236.82.48	80	1	GET	1844204080	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	11944	200	OK	-	-	-	(empty)	-	-	-	-	-	FYrlCm1pTzMTWa7pul	application/x-java-applet
1315280338.914622	CQXSiGkmDmD6EFmI7	192.168.103.10	1033	109.236.82.48	80	1	GET	bigtitsroundassesporno.com	/dl/bingo.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	19391	200	OK	-	-	-	(empty)	-	-	-	-	-	F7cYWx3K2uYHcBx1kk	application/jar
1315280339.556644	CV2k6G2Wj8g3VE5EBi	192.168.103.10	1036	109.236.82.48	80	1	GET	bigtitsroundassesporno.com	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8293	200	OK	-	-	-	(empty)	-	-	-	-	-	F7lx0dXs4W9wfs1a3	application/jar
1315280339.591141	CXCtn03HbIKNQKFXf9	192.168.103.10	1038	109.236.82.48	80	1	GET	1844204080	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	FCIz6f3cmTYTAQsKNj	application/x-java-applet
1315280339.598203	Co2AS1SunSsis0CKa	192.168.103.10	1039	109.236.82.48	80	1	GET	1844204080	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	Fd45sU1AVNZV0UJ3Lc	application/x-java-applet
1315280339.562476	CkGj1h3BHYvwcQAfIh	192.168.103.10	1037	109.236.82.48	80	1	GET	bigtitsroundassesporno.com	/dl/bingo.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	19391	200	OK	-	-	-	(empty)	-	-	-	-	-	Firpcw2UpTZ3DGgfEe	application/jar
1315280339.884593	CqiLl11HA2De9nb3t6	192.168.103.10	1044	109.236.82.48	80	1	GET	bigtitsroundassesporno.com	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8293	200	OK	-	-	-	(empty)	-	-	-	-	-	FPdnPtzRklI3RB64h	application/jar
1315280340.087183	CLTJ8U5Eq1O8j9PG6	192.168.103.10	1046	109.236.82.48	80	1	GET	bigtitsroundassesporno.com	/dl/bingo.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	19391	200	OK	-	-	-	(empty)	-	-	-	-	-	FbViJk4v3LGnzGtv06	application/jar
1315280340.407974	CAfTXIhtJxmiETpo9	192.168.103.10	1047	109.236.82.48	80	1	GET	bigtitsroundassesporno.com	/dl/jsm_text.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	522	200	OK	-	-	-	(empty)	-	-	-	-	-	FFpzZD3mu724SR0vjg	binary
1315280340.663077	CCHpoke2kdxCgWL3j	192.168.103.10	1049	109.236.82.48	80	1	GET	bigtitsroundassesporno.com	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8293	200	OK	-	-	-	(empty)	-	-	-	-	-	FxJqsW1U0wH42mrWIg	application/jar
1315280339.90352	C1YTCBY7WQK5sewO7	192.168.103.10	1045	109.236.82.48	80	1	GET	109.236.82.48	/dl/dl.php?4	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	864768	200	OK	-	-	-	(empty)	-	-	-	-	-	FIhHmZ2Zkx8iceGKVd	application/x-dosexec
1315280340.621587	Cr0658KFPDlhAHqBa	192.168.103.10	1048	109.236.82.48	80	1	GET	bigtitsroundassesporno.com	/dl/dl.php?1	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	864768	200	OK	-	-	-	(empty)	-	-	-	-	-	F1nVxF4fSrHztx1lZ2	application/x-dosexec
1315280343.692054	CTWYTi31iNQ2BXYtfh	192.168.103.10	1050	66.249.137.9	80	1	GET	rebeccajessop.com	/fhg/g.php?id=98	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2	200	OK	-	-	-	(empty)	-	-	-	-	-	F81tGa2FTwGYGSrCW3	text/plain
1315280344.383695	CefPDY2xT9E4gt6fXj	192.168.103.10	1051	205.134.252.251	80	1	GET	mistykatz.com	/support/m.php?id=98	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2	200	OK	-	-	-	(empty)	-	-	-	-	-	F97QZC4BRojiUPetpl	text/plain
1315280406.442168	C0Ds7J2RmEXpPrizj6	192.168.103.10	1052	194.54.81.20	80	1	GET	soft-4download.com	/404.php?id=98	-	Mozilla	0	2	200	OK	-	-	-	(empty)	-	-	-	-	-	FxxjHR4PCvpFemrY7	text/plain
#close	2014-04-03-10-26-48
