#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-06-29
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1329330133.724463	CzEw1i2w6MVme60LIb	192.168.73.10	1030	146.185.18.50	80	1	GET	hotsummer123.net	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1329330135.540424	CNiCZz1s8TA2sYE5r1	192.168.73.10	1031	95.168.177.91	80	1	GET	csancho.info	/?a34bca28204bd14118c7acad56b50faf	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	292	200	OK	-	-	-	(empty)	-	-	-	-	-	FWkdJo1H2bbMC9vSl4	text/html
1329330136.740262	CwiQJn3SLuAI0FTK51	192.168.73.10	1036	95.168.177.91	80	1	GET	csancho.info	/?57cc44c0427180e3b60047bf062f9057	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2959	200	OK	-	-	-	(empty)	-	-	-	-	-	FaFij14CeXTTBqHosk	application/jar
1329330136.737961	CMxvXAIDyDXIlLAN8	192.168.73.10	1037	95.168.177.91	80	1	GET	csancho.info	/?64a584c879ca6f8b14807d9430e6d61b	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2472	200	OK	-	-	-	(empty)	-	-	-	-	-	FSollk3rWsDn0ygSik	application/jar
1329330137.033317	CB1hZQ34kicVrD6LKc	192.168.73.10	1038	95.168.177.91	80	1	GET	csancho.info	/?57cc44c0427180e3b60047bf062f9057	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2959	200	OK	-	-	-	(empty)	-	-	-	-	-	FB8CFu1QSwhflKOO2	application/jar
1329330137.03436	ChMclm1MxmsGKvBVva	192.168.73.10	1039	95.168.177.91	80	1	GET	csancho.info	/?64a584c879ca6f8b14807d9430e6d61b	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2472	200	OK	-	-	-	(empty)	-	-	-	-	-	Fpmwfr4QVlHfvwUxGh	application/jar
1329330137.342058	Cw2z3134pYmd5UvBqj	192.168.73.10	1040	95.168.177.91	80	1	GET	csancho.info	/?64a584c879ca6f8b14807d9430e6d61b	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2472	200	OK	-	-	-	(empty)	-	-	-	-	-	FuUzW02t7wb3OgZFVj	application/jar
1329330137.418372	Cc13K61CZELjU3kmgh	192.168.73.10	1041	95.168.177.91	80	1	GET	csancho.info	/?57cc44c0427180e3b60047bf062f9057	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2959	200	OK	-	-	-	(empty)	-	-	-	-	-	FpYWHY3M2RxatsXqJi	application/jar
1329330137.631031	Cu9n3rSTeyx0OzRX6	192.168.73.10	1042	95.168.177.91	80	1	GET	csancho.info	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F1E4Nc4DnXaYZSzi0h	text/html
1329330137.861848	C9VOcM1Ih3Acq7qiq3	192.168.73.10	1044	95.168.177.91	80	1	GET	csancho.info	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F79K6v1AiuV6E9BGD3	text/html
1329330138.127518	C7DASy4ySXdEtUmWu8	192.168.73.10	1045	95.168.177.91	80	1	GET	csancho.info	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F1sMRD3DBXPzYkSZX2	text/html
1329330138.363351	C0MWHr3qMDzsbLiXwl	192.168.73.10	1046	95.168.177.91	80	1	GET	csancho.info	/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FJCr5XnSIvZSVdYI8	text/html
1329330137.799176	CUJ6oD2U5Vy7i7J9tg	192.168.73.10	1043	95.168.177.91	80	1	GET	csancho.info	/?6af6ea846f9b7bb0909d24ed32c2b1e7	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	863232	200	OK	-	-	-	(empty)	-	-	-	-	-	FvSWuZgeeY3R7Z84	application/x-dosexec
1329330138.625135	Cu4CVEynEzzIP5KJ1	192.168.73.10	1047	95.168.177.91	80	1	GET	csancho.info	/?6c8ebe8b67d846f85e556a6ed596dbda	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	863232	200	OK	-	-	-	(empty)	-	-	-	-	-	FN2M5i4Z2MsJ3dPtt2	application/x-dosexec
1329330141.807962	C1L1tI3KzkmwDcrp1c	192.168.73.10	1048	95.168.177.91	80	1	GET	csancho.info	/?6c8ebe8b67d846f85e556a6ed596dbda	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	15360	200	OK	-	-	-	(empty)	-	-	-	-	-	Fol0TC2Dt8vFwP8Vq3	application/x-dosexec
1329330142.002527	C9kw1w1Yncg7GFMDme	192.168.73.10	1049	75.125.251.122	80	1	GET	pipeboys.com	/css/css.php?id=95	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2	200	OK	-	-	-	(empty)	-	-	-	-	-	FJRJgigO3k38Dp6g1	text/plain
