#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-08-15
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1348782818.116873	CCT19hJ4oycXaqfD2	192.168.69.10	1030	69.172.200.243	80	1	GET	forexpros.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	312	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	Fe18HB2Ja8ospaH4vj	text/html
1348782818.35397	CKkMjeY47KZcqFuEa	192.168.69.10	1031	174.142.63.232	80	1	GET	www.forexpros.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	165772	200	OK	-	-	-	(empty)	-	-	-	-	-	FyEeLsKNR7nODImCc	text/html
1348782818.453037	CvJw7014jwdOdZrV16	192.168.69.10	1033	146.82.152.235	80	1	GET	c1308342.cdn.cloudfiles.rackspacecloud.com	/css/main_v37d.css	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	145935	200	OK	-	-	-	(empty)	-	-	-	-	-	FqcKJA3bj28q9ewjD7	text/plain
1348782818.528771	CvJw7014jwdOdZrV16	192.168.69.10	1033	146.82.152.235	80	2	GET	c1308342.cdn.cloudfiles.rackspacecloud.com	/css/fixes_v15.css	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6473	200	OK	-	-	-	(empty)	-	-	-	-	-	FrsfjzhFzfbxStky3	text/plain
1348782818.558463	CvJw7014jwdOdZrV16	192.168.69.10	1033	146.82.152.235	80	3	GET	c1308342.cdn.cloudfiles.rackspacecloud.com	/js/main-1.4.3.min.js	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	157639	200	OK	-	-	-	(empty)	-	-	-	-	-	FOtlX71xGWenYfGGJd	text/plain
1348782818.45437	CcYU212tB6x5HWmj83	192.168.69.10	1032	146.82.152.235	80	1	GET	c1308342.cdn.cloudfiles.rackspacecloud.com	/css/main_old_v16c.css	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	110889	200	OK	-	-	-	(empty)	-	-	-	-	-	FenUJ21DYhMQJdlOIe	text/plain
1348782818.770927	CvJw7014jwdOdZrV16	192.168.69.10	1033	146.82.152.235	80	4	GET	c1308342.cdn.cloudfiles.rackspacecloud.com	/js/functions-4.6.min.js	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	77595	200	OK	-	-	-	(empty)	-	-	-	-	-	FTsBY52MsvivBnJsT2	text/plain
1348782818.837679	CcYU212tB6x5HWmj83	192.168.69.10	1032	146.82.152.235	80	2	GET	c1308342.cdn.cloudfiles.rackspacecloud.com	/js/jquery.pseudo-1.1.min.js	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	949	200	OK	-	-	-	(empty)	-	-	-	-	-	Fyv7ZH2vEiJsxFYYfh	text/plain
1348782818.966498	CvJw7014jwdOdZrV16	192.168.69.10	1033	146.82.152.235	80	5	GET	c1308342.cdn.cloudfiles.rackspacecloud.com	/flags/flags_arabia.png	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	560	200	OK	-	-	-	(empty)	-	-	-	-	-	FpjO7H2Uo6sP3YPuc1	image/png
1348782818.966768	CcYU212tB6x5HWmj83	192.168.69.10	1032	146.82.152.235	80	3	GET	c1308342.cdn.cloudfiles.rackspacecloud.com	/flags/flags_france.png	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	446	200	OK	-	-	-	(empty)	-	-	-	-	-	FbNCjn2Tu5mnx4jx8i	image/png
1348782819.293084	ChHtpx1CeLFTbnLtp9	192.168.69.10	1034	146.82.152.235	80	1	GET	c1601132.cdn.cloudfiles.rackspacecloud.com	/Forex.com_Aug12_OrangeLogo_100x33_Oval.png	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7148	200	OK	-	-	-	(empty)	-	-	-	-	-	FAHFOD2tSqeA4O82X5	image/png
1348782819.429248	CiTcXk2xtJuWJHvAi1	192.168.69.10	1035	146.82.152.235	80	1	GET	c1601132.cdn.cloudfiles.rackspacecloud.com	/Forex.com_Aug12_BlueLogo_100x33_Oval.png	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7486	200	OK	-	-	-	(empty)	-	-	-	-	-	FFmqO1qTvW0J6S9Ba	image/png
1348782819.488984	CBbIUg1rpTxld1Sjy4	192.168.69.10	1037	146.82.152.217	80	1	GET	c1308342.r42.cf0.rackcdn.com	/dottedBg.png	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	949	200	OK	-	-	-	(empty)	-	-	-	-	-	FgCsGDKSI09549OPg	image/png
1348782819.489197	CjXCyIyyGQZBSmmG4	192.168.69.10	1038	146.82.152.217	80	1	GET	c1308342.r42.cf0.rackcdn.com	/newSiteBGsSprite.png	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2643	200	OK	-	-	-	(empty)	-	-	-	-	-	FHKhWq3x69cFF3a7Fc	image/png
1348782819.488477	Ciq81xSBHYZ8NHUw7	192.168.69.10	1036	174.142.63.232	80	1	GET	www.forexpros.com	/ad_iframe_dart.php?width=728&height=90&adunit=FP_EN_site/FP_EN_Leaderboard_Default;sz=728x90	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	631	200	OK	-	-	-	(empty)	-	-	-	-	-	FVeN144pmtDUq2SgS3	text/html
