#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-15-50
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1376940760.233255	CjbP9a2ZDvSDkUuPY2	192.168.39.10	1031	205.177.28.132	80	1	GET	perfectgirls.es	/	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	178	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FdwAyAOdFtBbyK4e9	text/html
1376940760.465034	C7pbIH1b0aYWEXR4D4	192.168.39.10	1032	209.8.166.70	80	1	GET	www.perfectgirls.es	/	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	324812	200	OK	-	-	-	(empty)	-	-	-	-	-	FNW7vd4TaUjFXdMvje	text/html
1376940760.907986	C7pbIH1b0aYWEXR4D4	192.168.39.10	1032	209.8.166.70	80	2	GET	www.perfectgirls.es	/2/js/alert1.js	http://www.perfectgirls.es/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1357	200	OK	-	-	-	(empty)	-	-	-	-	-	FRpj9THR7q48jlgPg	text/plain
1376940760.889426	Cej2sJ21Fx7VGVHNP8	192.168.39.10	1035	209.8.166.70	80	1	GET	www.perfectgirls.es	/js/jquery.lazyload.min.js	http://www.perfectgirls.es/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	3205	200	OK	-	-	-	(empty)	-	-	-	-	-	FzkEET2OWLiSfpkdIb	text/plain
1376940760.966738	CtsK1gLWYpzjH3YVf	192.168.39.10	1037	209.8.166.70	80	1	GET	www.perfectgirls.es	/js/thumbchange.js	http://www.perfectgirls.es/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1316	200	OK	-	-	-	(empty)	-	-	-	-	-	F0uSCj3vElHoLWq3vd	text/plain
1376940760.989327	C7pbIH1b0aYWEXR4D4	192.168.39.10	1032	209.8.166.70	80	3	GET	www.perfectgirls.es	/js/jquery.cookie.js	http://www.perfectgirls.es/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1782	200	OK	-	-	-	(empty)	-	-	-	-	-	FuhE2xG2NSMFbQLqe	text/plain
1376940760.925636	CqBlIs3mLK5JlNrL9	192.168.39.10	1036	209.8.166.70	80	1	GET	www.perfectgirls.es	/js/popunder.js	http://www.perfectgirls.es/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	4248	200	OK	-	-	-	(empty)	-	-	-	-	-	FpbJRW2znHQ0nAgyv8	text/plain
1376940760.876261	CAcxmm1Ps4HuaIWUMl	192.168.39.10	1033	209.8.166.70	80	1	GET	www.perfectgirls.es	/5/perf.css	http://www.perfectgirls.es/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	13118	200	OK	-	-	-	(empty)	-	-	-	-	-	FEgL424Ykv2YEndnRf	text/plain
1376940761.045931	CtsK1gLWYpzjH3YVf	192.168.39.10	1037	209.8.166.70	80	2	GET	www.perfectgirls.es	/js/mobile.js	http://www.perfectgirls.es/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	2942	200	OK	-	-	-	(empty)	-	-	-	-	-	FLsiyM1gL296qDbw8g	text/plain
1376940760.889154	CVar4o2BxOkQEsnR8k	192.168.39.10	1034	209.8.166.70	80	1	GET	www.perfectgirls.es	/js/jquery-1.7.2.min.js	http://www.perfectgirls.es/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	94840	200	OK	-	-	-	(empty)	-	-	-	-	-	Fh26KE2VpQtzt5oRn8	text/html
1376940761.598933	CbH6NP3ukCeXBB4gvb	192.168.39.10	1043	74.125.224.104	80	1	GET	www.google-analytics.com	/analytics.js	http://www.perfectgirls.es/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	20379	200	OK	-	-	-	(empty)	-	-	-	-	-	FEDaTK1C0bEIJ0mdnd	text/plain
1376940761.59864	C7pbIH1b0aYWEXR4D4	192.168.39.10	1032	209.8.166.70	80	4	GET	www.perfectgirls.es	/img/t1.png	http://www.perfectgirls.es/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	300	200	OK	-	-	-	(empty)	-	-	-	-	-	FRGJq6kXuoYeomf4	image/png
1376940761.597807	Cej2sJ21Fx7VGVHNP8	192.168.39.10	1035	209.8.166.70	80	2	GET	www.perfectgirls.es	/1/img/top_bg.png	http://www.perfectgirls.es/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	2846	200	OK	-	-	-	(empty)	-	-	-	-	-	FqCe1341W8EgNH3N3f	image/png
1376940761.741115	C4qNiVo3W9F7uIwt2	192.168.39.10	1046	99.192.247.16	80	1	GET	trw12.com	/d/a/748.php	http://www.perfectgirls.es/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	671	200	OK	-	-	-	(empty)	-	-	-	-	-	FAtnPe3BLHPNz01HDb	text/html
1376940761.82792	CF1aVO1gXS7MgYqdZ	192.168.39.10	1047	23.5.5.163	80	1	GET	crl.geotrust.com	/crls/secureca.crl	-	Microsoft-CryptoAPI/5.131.2600.2180	0	1802	200	OK	-	-	-	(empty)	-	-	-	-	-	FTpVMqZzKhbcKg3La	binary
1376940761.818248	CAcxmm1Ps4HuaIWUMl	192.168.39.10	1033	209.8.166.70	80	2	GET	www.perfectgirls.es	/1/img/search.png	http://www.perfectgirls.es/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	3121	200	OK	-	-	-	(empty)	-	-	-	-	-	FDJdwddlEw7TQcnQk	image/png
1376940761.818741	CtsK1gLWYpzjH3YVf	192.168.39.10	1037	209.8.166.70	80	3	GET	www.perfectgirls.es	/1/img/search_btn.png	http://www.perfectgirls.es/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	3490	200	OK	-	-	-	(empty)	-	-	-	-	-	Fqla4a1aSvL7gxHOLh	image/png
