#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2014-04-03-10-29-05
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1340014282.755977	CYzxek1musjaRmwqnd	192.168.64.10	1030	173.199.133.192	80	unescaped_special_URI_char	-	F	bro
1340014284.122366	-	-	-	-	-	unknown_protocol_2	-	F	bro
1340014304.41136	CFkN2Z2xbaaCOaLxo5	192.168.64.10	1050	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1340014304.519053	C9j04l4zuO2M3RLGG9	192.168.64.10	1052	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1340014304.758656	C0JX0n32y0txR0yK63	192.168.64.10	1054	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1340014304.892094	Ce7zpv4KuIpmstGm79	192.168.64.10	1056	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1340014304.955018	ClknFo37ZrcPpmGue3	192.168.64.10	1058	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1340014306.061716	CTPGWW1bowo09g2Tal	192.168.64.10	1063	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1340014306.100007	CJh3tF9dG8ZTtMRQf	192.168.64.10	1066	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1340014306.133182	CE5pBX1mNuNRfOUXdl	192.168.64.10	1069	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1340014307.749733	C29F7GSdRxkq3bWTf	192.168.64.10	1071	31.193.12.27	80	bad_HTTP_request	-	F	bro
#close	2014-04-03-10-29-05
