#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-52-33
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1338765577.359757	CNlhyJ11R5OtoOPuPb	192.168.41.10	1030	213.229.112.103	80	1	GET	salinadouma.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	213	302	Found	-	-	-	(empty)	-	-	-	-	-	F79ohy4L21Eb2Z2lEf	text/html
1338765578.461794	CQ1wD3CO0tgfwtgZ7	192.168.41.10	1031	89.208.48.75	80	1	GET	geqpragfa.ru	/hgewotq?7	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	273	200	OK	-	-	-	(empty)	-	-	-	-	-	FO4qZx4kBWWvGjzDg4	text/html
1338765579.392676	CT9ZbX3afoM4Byaa6f	192.168.41.10	1032	89.208.48.75	80	1	GET	gasna-mika.ru	/twqfq/hewpeh.php	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1338765579.897536	CCUZCq4W5RkCv9tz6g	192.168.41.10	1037	67.213.222.15	80	1	GET	www4.smart-ukharmy.com	/?fx6ush=iu2f2bCgpJ2RmOSW2aibh97gtpeoZqyZ3OfZntWlkKqhnMKro62cnA==	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1338765580.147264	CahZ3UP1z3VApiQy9	192.168.41.10	1038	67.209.224.55	80	1	GET	www1.firstncg-suite.uni.me	/m66w61yb?wvox=m+Dh39um5Nvl38WNotzZpqyWp6aV6M/Nr6aaz8XJn7DIuciL4+msqZaZqZnj4aDeo8vFj9bO27PR16+uqJnu48vLauHj4uzW2u2V28mmx8aa19OkY6ejm6eapaekrZShp5nn4sTbouaymprc4NqsqZaaq5no4s+kkKTYnqqZ2K+lrJyP5uaxn5aaZaqrnqibqZzT59PK2+Gx5dreYaHo1tXX66Pk487K5ODtnMbWmpng29jQ5LPe6NLf3+bokg==	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4987	200	OK	-	-	-	(empty)	-	-	-	-	-	Fbx4W11fV7Uay0Lte5	text/html
1338765580.190545	CahZ3UP1z3VApiQy9	192.168.41.10	1038	67.209.224.55	80	2	GET	www1.firstncg-suite.uni.me	/pictures/load.gif	http://www1.firstncg-suite.uni.me/m66w61yb?wvox=m%2BDh39um5Nvl38WNotzZpqyWp6aV6M%2FNr6aaz8XJn7DIuciL4%2BmsqZaZqZnj4aDeo8vFj9bO27PR16%2BuqJnu48vLauHj4uzW2u2V28mmx8aa19OkY6ejm6eapaekrZShp5nn4sTbouaymprc4NqsqZaaq5no4s%2BkkKTYnqqZ2K%2BlrJyP5uaxn5aaZaqrnqibqZzT59PK2%2BGx5dreYaHo1tXX66Pk487K5ODtnMbWmpng29jQ5LPe6NLf3%2Bbokg%3D%3D	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6739	200	OK	-	-	-	(empty)	-	-	-	-	-	Fd4ODS6QvXUVJJok2	image/gif
1338765580.228347	CVnFKc4xZfmx7BNBwd	192.168.41.10	1039	67.209.224.55	80	1	GET	www1.firstncg-suite.uni.me	/1a2c5936.js	http://www1.firstncg-suite.uni.me/m66w61yb?wvox=m%2BDh39um5Nvl38WNotzZpqyWp6aV6M%2FNr6aaz8XJn7DIuciL4%2BmsqZaZqZnj4aDeo8vFj9bO27PR16%2BuqJnu48vLauHj4uzW2u2V28mmx8aa19OkY6ejm6eapaekrZShp5nn4sTbouaymprc4NqsqZaaq5no4s%2BkkKTYnqqZ2K%2BlrJyP5uaxn5aaZaqrnqibqZzT59PK2%2BGx5dreYaHo1tXX66Pk487K5ODtnMbWmpng29jQ5LPe6NLf3%2Bbokg%3D%3D	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	80952	200	OK	-	-	-	(empty)	-	-	-	-	-	Fgbd0C1EodGiNgS7I	text/plain
1338765582.4975	CahZ3UP1z3VApiQy9	192.168.41.10	1038	67.209.224.55	80	3	GET	www1.firstncg-suite.uni.me	/i.html	http://www1.firstncg-suite.uni.me/m66w61yb?wvox=m%2BDh39um5Nvl38WNotzZpqyWp6aV6M%2FNr6aaz8XJn7DIuciL4%2BmsqZaZqZnj4aDeo8vFj9bO27PR16%2BuqJnu48vLauHj4uzW2u2V28mmx8aa19OkY6ejm6eapaekrZShp5nn4sTbouaymprc4NqsqZaaq5no4s%2BkkKTYnqqZ2K%2BlrJyP5uaxn5aaZaqrnqibqZzT59PK2%2BGx5dreYaHo1tXX66Pk487K5ODtnMbWmpng29jQ5LPe6NLf3%2Bbokg%3D%3D	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	25793	200	OK	-	-	-	(empty)	-	-	-	-	-	FvDBwv6kHFIDuMZL3	text/html
1338765583.164157	CVnFKc4xZfmx7BNBwd	192.168.41.10	1039	67.209.224.55	80	2	GET	www1.firstncg-suite.uni.me	/wYauuiXtb.pdf	http://www1.firstncg-suite.uni.me/i.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9891	200	OK	-	-	-	(empty)	-	-	-	-	-	FZJHf1SccTr7JxCT	application/pdf
1338765584.869277	CahZ3UP1z3VApiQy9	192.168.41.10	1038	67.209.224.55	80	4	GET	www1.firstncg-suite.uni.me	/cl/7/fill_sprite.gif	http://www1.firstncg-suite.uni.me/m66w61yb?wvox=m%2BDh39um5Nvl38WNotzZpqyWp6aV6M%2FNr6aaz8XJn7DIuciL4%2BmsqZaZqZnj4aDeo8vFj9bO27PR16%2BuqJnu48vLauHj4uzW2u2V28mmx8aa19OkY6ejm6eapaekrZShp5nn4sTbouaymprc4NqsqZaaq5no4s%2BkkKTYnqqZ2K%2BlrJyP5uaxn5aaZaqrnqibqZzT59PK2%2BGx5dreYaHo1tXX66Pk487K5ODtnMbWmpng29jQ5LPe6NLf3%2Bbokg%3D%3D	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2495	200	OK	-	-	-	(empty)	-	-	-	-	-	Fe9md23xvgs4dT2Dl4	image/gif
1338765584.869714	CVnFKc4xZfmx7BNBwd	192.168.41.10	1039	67.209.224.55	80	3	GET	www1.firstncg-suite.uni.me	/cl/7/icon_sprite.jpg	http://www1.firstncg-suite.uni.me/m66w61yb?wvox=m%2BDh39um5Nvl38WNotzZpqyWp6aV6M%2FNr6aaz8XJn7DIuciL4%2BmsqZaZqZnj4aDeo8vFj9bO27PR16%2BuqJnu48vLauHj4uzW2u2V28mmx8aa19OkY6ejm6eapaekrZShp5nn4sTbouaymprc4NqsqZaaq5no4s%2BkkKTYnqqZ2K%2BlrJyP5uaxn5aaZaqrnqibqZzT59PK2%2BGx5dreYaHo1tXX66Pk487K5ODtnMbWmpng29jQ5LPe6NLf3%2Bbokg%3D%3D	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8147	200	OK	-	-	-	(empty)	-	-	-	-	-	FUqBFH3d7fNDmRDPXe	image/jpeg
