#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-10-26
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1366882559.01639	C6mMvS3TDK4sPFAxr6	192.168.23.10	1030	109.206.178.75	80	1	GET	bestmobilebuzz.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1366882559.413649	CdMw2s4HLgxMnyCdd6	192.168.23.10	1031	37.59.177.205	80	1	GET	critical.security.update.microsoft.windows.598ac3c84a4319519ead96e1b69c67ab.fr.10razdon.info	/?300907d98cb2ce532cb07d99dbebafbd=w6&1d316074467ae695056aeca1b84d93dd=bestmobilebuzz.com	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2140	200	OK	-	-	-	(empty)	-	-	-	-	-	Fk409i6iTqRjs80nd	text/html
1366882559.657877	CBuLQo4e2IHCpblmw8	192.168.23.10	1032	37.59.177.205	80	1	GET	critical.security.update.microsoft.windows.598ac3c84a4319519ead96e1b69c67ab.fr.10razdon.info	/f2894e52b1620b1cedb6f0226edecedf.eot	http://critical.security.update.microsoft.windows.598ac3c84a4319519ead96e1b69c67ab.fr.10razdon.info/?300907d98cb2ce532cb07d99dbebafbd=w6&1d316074467ae695056aeca1b84d93dd=bestmobilebuzz.com	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4207	200	OK	-	-	-	(empty)	-	-	-	-	-	FRlXqm1yOLrrpjHms4	application/vnd.ms-fontobject
1366882559.944653	ClFw114cnWSvPOqpf8	192.168.23.10	1033	37.59.177.205	80	1	GET	critical.security.update.microsoft.windows.598ac3c84a4319519ead96e1b69c67ab.fr.10razdon.info	/a3b19ef8b02d9bbda1d3ca7cc03e0442/9cbd75d1f7c5def2f608f8c163deab41.swf	http://critical.security.update.microsoft.windows.598ac3c84a4319519ead96e1b69c67ab.fr.10razdon.info/?300907d98cb2ce532cb07d99dbebafbd=w6&1d3	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FDvDke4cdbMagYiXie	text/html
1366882560.02149	CZb7gX3qzaiJC962p1	192.168.23.10	1035	37.59.177.205	80	1	GET	37.59.177.205	/?513d46d764eecf0b70cd28d496068920	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	177664	200	OK	-	-	-	(empty)	-	-	-	-	-	F4FqZ14bqZQgFFkO6e	application/x-dosexec
1366882562.273668	CM9dml2bQMjvcbxv55	192.168.23.10	1041	37.59.177.205	80	1	GET	critical.security.update.microsoft.windows.598ac3c84a4319519ead96e1b69c67ab.fr.10razdon.info	/50e2c3120ecd48f858dad37c34661e27/8b3a3854f84f3d7741f21b9b05374661.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	10782	200	OK	-	-	-	(empty)	-	-	-	-	-	FTqwU02uErvlIh8zx8	application/zip
1366882562.272751	CCxKg83JD8mLWRqvO4	192.168.23.10	1040	37.59.177.205	80	1	GET	critical.security.update.microsoft.windows.598ac3c84a4319519ead96e1b69c67ab.fr.10razdon.info	/a3b19ef8b02d9bbda1d3ca7cc03e0442/7b4e43c436549d9a8915fc2069780bd5.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	15694	200	OK	-	-	-	(empty)	-	-	-	-	-	FmeAhV1eztluVY0Zdc	application/jar
1366882562.50169	CglV6p2rUaszLHvHm2	192.168.23.10	1042	37.59.177.205	80	1	GET	critical.security.update.microsoft.windows.598ac3c84a4319519ead96e1b69c67ab.fr.10razdon.info	/50e2c3120ecd48f858dad37c34661e27/8b3a3854f84f3d7741f21b9b05374661.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	10782	200	OK	-	-	-	(empty)	-	-	-	-	-	FUTkGx2EovPaQGjuza	application/zip
1366882562.694066	Cnh4MZ2VzJkSPVGn82	192.168.23.10	1043	37.59.177.205	80	1	GET	critical.security.update.microsoft.windows.598ac3c84a4319519ead96e1b69c67ab.fr.10razdon.info	/a3b19ef8b02d9bbda1d3ca7cc03e0442/7b4e43c436549d9a8915fc2069780bd5.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	15694	200	OK	-	-	-	(empty)	-	-	-	-	-	FUaMAz4i0ehC22GwVg	application/jar
1366882563.376136	C90hAW2MM2ZNWd6wr4	192.168.23.10	1044	37.59.177.205	80	1	GET	critical.security.update.microsoft.windows.598ac3c84a4319519ead96e1b69c67ab.fr.10razdon.info	/a3b19ef8b02d9bbda1d3ca7cc03e0442/7b4e43c436549d9a8915fc2069780bd5.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	15694	200	OK	-	-	-	(empty)	-	-	-	-	-	F5aIF84LNcV8D3tjB7	application/jar
1366882563.901682	CDi6Ly2W5rf20e1za4	192.168.23.10	1045	37.59.177.205	80	1	GET	critical.security.update.microsoft.windows.598ac3c84a4319519ead96e1b69c67ab.fr.10razdon.info	/a3b19ef8b02d9bbda1d3ca7cc03e0442/0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	177665	200	OK	-	-	-	(empty)	-	-	-	-	-	F0QhOgZVXRTxu4nbd	binary
