#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-08-17
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1358518399.718856	CxiVP41mysxRUQrx9j	192.168.32.10	1030	212.95.58.89	80	1	GET	bestwebcamchoice.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1358518400.140221	CypiXa3bSrFHoI1Ske	192.168.32.10	1031	91.121.234.33	80	1	GET	irgny.6dagenballios.info	/?d9f24c4bf7eccc9c538f37b6043f9510=27&bfe20ba5a692ba58e30ba9a83c4abdbe=	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	526	200	OK	-	-	-	(empty)	-	-	-	-	-	FmReHVb1XsEePV6Bi	text/html
1358518400.370366	C9tqmT3aeBRQQxPqyj	192.168.32.10	1032	91.121.234.33	80	1	GET	irgny.6dagenballios.info	/37f7eb1d761691b66a16f207729b0262.eot	http://irgny.6dagenballios.info/?d9f24c4bf7eccc9c538f37b6043f9510=27&bfe20ba5a692ba58e30ba9a83c4abdbe=	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4189	200	OK	-	-	-	(empty)	-	-	-	-	-	FXygi52fj6z0MLSbb1	application/vnd.ms-fontobject
1358518402.103988	CecTnF2HqVFtolKred	192.168.32.10	1034	91.121.234.33	80	1	GET	91.121.234.33	/?29211be2426a5c5c457040c080ed521b	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	106496	200	OK	-	-	-	(empty)	-	-	-	-	-	Fmreqs2x0pIJ49nfLf	application/x-dosexec
1358518404.060897	CFlUhq4SDENYzIkgtl	192.168.32.10	1039	91.121.234.33	80	1	GET	irgny.6dagenballios.info	/9f9e9aed199048e64d8ec161ddc04acf/da33963b8e8f818622f3f6077aed8288.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8955	200	OK	-	-	-	(empty)	-	-	-	-	-	FSM7z72lBHdVG36MW5	application/jar
1358518404.290174	C84IWu2zlkSlN0Lopg	192.168.32.10	1040	91.121.234.33	80	1	GET	irgny.6dagenballios.info	/9f9e9aed199048e64d8ec161ddc04acf/da33963b8e8f818622f3f6077aed8288.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8955	200	OK	-	-	-	(empty)	-	-	-	-	-	Fslzmi3SsANSOrtFyh	application/jar
1358518404.571241	CrHm6L3ifzA5EGn44h	192.168.32.10	1041	91.121.234.33	80	1	GET	irgny.6dagenballios.info	/9f9e9aed199048e64d8ec161ddc04acf/da33963b8e8f818622f3f6077aed8288.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8955	200	OK	-	-	-	(empty)	-	-	-	-	-	FvrGT62pKNmu02Fm7	application/jar
1358518404.837073	CqQM7j3cRTUUrBQpZ6	192.168.32.10	1042	91.121.234.33	80	1	GET	irgny.6dagenballios.info	/9f9e9aed199048e64d8ec161ddc04acf/0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	106496	200	OK	-	-	-	(empty)	-	-	-	-	-	F9LKOr37C6sOAO6Rli	binary
1358518407.050843	CiB9dF1EtuFPMy2Vp9	192.168.32.10	1044	91.121.234.33	80	1	GET	irgny.6dagenballios.info	/9f9e9aed199048e64d8ec161ddc04acf/1	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	37376	200	OK	-	-	-	(empty)	-	-	-	-	-	FY17Xd1mpVKKTyFUQl	binary
1358518407.344604	CH9ibAbCcx73UdgK1	192.168.32.10	1046	37.59.40.158	80	1	GET	ighklplong.cellphoto.info	/get.php	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FSBKZJ2XGTAAfvr2Bb	text/html
1358518408.974202	Ciqg4S16IcomaaO257	192.168.32.10	1047	91.121.234.33	80	1	GET	irgny.6dagenballios.info	/9f9e9aed199048e64d8ec161ddc04acf/2	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	131584	200	OK	-	-	-	(empty)	-	-	-	-	-	FGsno64C4XCHd5UEj	binary
1358518409.64776	CYSj7E1a4b6j8NxYu9	192.168.32.10	1049	91.121.234.33	80	1	GET	irgny.6dagenballios.info	/9f9e9aed199048e64d8ec161ddc04acf/3	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FP9ep82Gpi8kd7TKql	text/html
