#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-49-24
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1357172108.168762	CgY2kv1HpOIxtx0V25	192.168.98.10	1030	91.224.161.163	80	1	GET	immanto.ru	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	329	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FoQcs4cVrBKihdcDb	text/html
1357172108.583547	CqKR6Q3x4MebzptWj2	192.168.98.10	1031	82.146.59.87	80	1	GET	smo.castcom.ru	/services/vkontakte.html	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	24675	200	OK	-	-	-	(empty)	-	-	-	-	-	F2A9Pt4QKUZaPbToah	text/html
1357172109.197516	CqKR6Q3x4MebzptWj2	192.168.98.10	1031	82.146.59.87	80	2	GET	smo.castcom.ru	/css/jquery.jcarousel.css	http://smo.castcom.ru/services/vkontakte.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2666	200	OK	-	-	-	(empty)	-	-	-	-	-	FBeAtG1vMBQjVtFBTl	text/plain
1357172109.355747	CqKR6Q3x4MebzptWj2	192.168.98.10	1031	82.146.59.87	80	3	GET	smo.castcom.ru	/css/jquery.fancybox/jquery.fancybox-1.3.4.css	http://smo.castcom.ru/services/vkontakte.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8852	200	OK	-	-	-	(empty)	-	-	-	-	-	FdygUI3HowQY4mJZ6	text/plain
1357172109.039486	CZVd1p4VXmM3Y1I4k2	192.168.98.10	1032	82.146.59.87	80	1	GET	smo.castcom.ru	/css/style.css	http://smo.castcom.ru/services/vkontakte.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	18281	200	OK	-	-	-	(empty)	-	-	-	-	-	Fz2EeQ2uC2otDeoOS8	text/plain
1357172109.582071	CqKR6Q3x4MebzptWj2	192.168.98.10	1031	82.146.59.87	80	4	GET	smo.castcom.ru	/css/jquery.slider.css	http://smo.castcom.ru/services/vkontakte.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1351	200	OK	-	-	-	(empty)	-	-	-	-	-	F1tUmJ2Exeotu6TRda	text/plain
1357172109.619101	CZVd1p4VXmM3Y1I4k2	192.168.98.10	1032	82.146.59.87	80	2	GET	smo.castcom.ru	/js/jquery.js	http://smo.castcom.ru/services/vkontakte.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	91510	200	OK	-	-	-	(empty)	-	-	-	-	-	FZPSQA2J7Ma3wxNco3	text/html
1357172110.276778	CqKR6Q3x4MebzptWj2	192.168.98.10	1031	82.146.59.87	80	5	GET	smo.castcom.ru	/js/jquery.jcarousel.min.js	http://smo.castcom.ru/services/vkontakte.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	16107	200	OK	-	-	-	(empty)	-	-	-	-	-	FaDxd31oByFKcWu65	text/plain
1357172110.446594	CZVd1p4VXmM3Y1I4k2	192.168.98.10	1032	82.146.59.87	80	3	GET	smo.castcom.ru	/js/jquery.easing-1.3.pack.js	http://smo.castcom.ru/services/vkontakte.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6868	200	OK	-	-	-	(empty)	-	-	-	-	-	FRzYPHNW91qaFBfJ1	text/plain
1357172110.514322	CXdoZo43uRVbzfm735	192.168.98.10	1033	88.198.26.19	80	1	GET	salvadorpostigo.com	/hzws.html	http://smo.castcom.ru/services/vkontakte.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	216	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	Fo8dnmD8cZOzBKrPk	text/html
1357172110.561948	CC9i4Q38BDE4Tj1lCk	192.168.98.10	1037	88.198.26.19	80	1	GET	salvadorpostigo.com	/hzws.html	http://smo.castcom.ru/services/vkontakte.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	192	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	FkasZM3P44hnXJA8Jf	text/html
1357172110.636707	CqKR6Q3x4MebzptWj2	192.168.98.10	1031	82.146.59.87	80	6	GET	smo.castcom.ru	/js/jquery.mousewheel-3.0.4.pack.js	http://smo.castcom.ru/services/vkontakte.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1431	200	OK	-	-	-	(empty)	-	-	-	-	-	FLKdWu1S9jeoOWBLx1	text/plain
1357172110.674255	CXdoZo43uRVbzfm735	192.168.98.10	1033	88.198.26.19	80	2	GET	salvadorpostigo.com	/hzws.html	http://smo.castcom.ru/services/vkontakte.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	216	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	Ftb0542UNj07VL6fc6	text/html
1357172110.831719	CZVd1p4VXmM3Y1I4k2	192.168.98.10	1032	82.146.59.87	80	4	GET	smo.castcom.ru	/js/jquery.fancybox-1.3.4.pack.js	http://smo.castcom.ru/services/vkontakte.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	15776	200	OK	-	-	-	(empty)	-	-	-	-	-	Fsyu2y28zkKqI0Sngc	text/plain
1357172110.831407	CC9i4Q38BDE4Tj1lCk	192.168.98.10	1037	88.198.26.19	80	2	GET	salvadorpostigo.com	/hzws.html	http://smo.castcom.ru/services/vkontakte.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	210	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	Fgtk6g1jWu3BGHmEAi	text/html
1357172111.21899	CXdoZo43uRVbzfm735	192.168.98.10	1033	88.198.26.19	80	3	GET	salvadorpostigo.com	/hzws.html	http://smo.castcom.ru/services/vkontakte.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	216	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	FxbogY3bZiBq5D17Sa	text/html
1357172111.317406	Cb3kXundHKrZZ02W9	192.168.98.10	1041	109.74.202.254	80	1	GET	procreations.co.za	/hzws.htm	http://smo.castcom.ru/services/vkontakte.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13112	200	OK	-	-	-	(empty)	-	-	-	-	-	FNvMXP3v64nrL22suj	text/html
1357172111.219289	CqKR6Q3x4MebzptWj2	192.168.98.10	1031	82.146.59.87	80	7	GET	smo.castcom.ru	/js/jquery-ui-1.8.16.custom.min.js	http://smo.castcom.ru/services/vkontakte.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	210615	200	OK	-	-	-	(empty)	-	-	-	-	-	F7iGEq2xMiMInTM2Il	text/plain
1357172110.990357	CcSaq41exrIvKKgLCk	192.168.98.10	1040	184.168.185.1	80	1	GET	332nd.com	/hzws.htm	http://smo.castcom.ru/services/vkontakte.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	160	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F5jb884xdUOZ5r6oei	text/html
1357172111.996562	Cb3kXundHKrZZ02W9	192.168.98.10	1041	109.74.202.254	80	2	GET	procreations.co.za	/987.pdf	http://procreations.co.za/hzws.htm	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6461	200	OK	-	-	-	(empty)	-	-	-	-	-	F1qlbZyq6BZp3hjg9	binary
1357172112.336525	CZVd1p4VXmM3Y1I4k2	192.168.98.10	1032	82.146.59.87	80	5	GET	smo.castcom.ru	/js/jquery.form.js	http://smo.castcom.ru/services/vkontakte.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	38558	200	OK	-	-	-	(empty)	-	-	-	-	-	FG53CL2OosTRT7Guo3	text/plain
1357172112.335978	CC9i4Q38BDE4Tj1lCk	192.168.98.10	1037	88.198.26.19	80	3	GET	salvadorpostigo.com	/hzws.html	http://smo.castcom.ru/services/vkontakte.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	210	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	FnWgBZ3vhwgAgSve55	text/html
1357172112.553925	CqKR6Q3x4MebzptWj2	192.168.98.10	1031	82.146.59.87	80	8	GET	smo.castcom.ru	/js/jquery.focblur.js	http://smo.castcom.ru/services/vkontakte.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	550	200	OK	-	-	-	(empty)	-	-	-	-	-	FPA8G8iFeFTyeqmg7	text/plain
1357172112.551856	CXdoZo43uRVbzfm735	192.168.98.10	1033	88.198.26.19	80	4	GET	salvadorpostigo.com	/hzws.html	http://smo.castcom.ru/services/vkontakte.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	190	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	FIe9Ov369OBqcU5eti	text/html
1357172112.51461	Cb3kXundHKrZZ02W9	192.168.98.10	1041	109.74.202.254	80	3	GET	procreations.co.za	/hzws.htm	http://smo.castcom.ru/services/vkontakte.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	160	404	Not Found	-	-	-	(empty)	-	-	-	-	-	Fx50AJ1HOCTAJB0AIe	text/html
1357172112.739056	CC9i4Q38BDE4Tj1lCk	192.168.98.10	1037	88.198.26.19	80	4	GET	salvadorpostigo.com	/hzws.html	http://smo.castcom.ru/services/vkontakte.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	192	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	FPo9djdrrXjIdQbW6	text/html
