#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-53-24
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1395169550.630854	Cm9UBr2jlL3GdOuZ3g	192.168.58.10	1035	69.162.121.130	80	1	GET	helpurtravel.com	/	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	204	302	Found	-	-	-	(empty)	-	-	-	-	-	FnPkAA4imlhFtTN3q2	text/html
1395169550.793622	CBjQou3GJwG9AqJXjf	192.168.58.10	1037	173.194.33.135	80	1	GET	goo.gl	/zJ2pGb	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	231	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FNSWoMthcluf5OrI7	text/html
1395169551.526874	C9BcUm3W2lKWsij9J3	192.168.58.10	1038	195.66.79.27	80	1	GET	www.filessly.com	/download/1/9210000/Update	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	3	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	FbCaqs2taMmLgxrTg7	text/plain
1395169552.257224	C9BcUm3W2lKWsij9J3	192.168.58.10	1038	195.66.79.27	80	2	GET	www.filessly.com	/fetch/Update/MS05MjEwOTk3LTEzOTUxNjk0MzQtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	4248	200	OK	-	-	-	(empty)	-	-	-	-	-	FjQbqF3hidiDrygL16	text/html
1395169553.579458	CcUVfR5fEWLWym7V2	192.168.58.10	1039	195.66.79.27	80	1	GET	www.filessly.com	/css/layout1/style.css	http://www.filessly.com/fetch/Update/MS05MjEwOTk3LTEzOTUxNjk0MzQtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	2205	200	OK	-	-	-	(empty)	-	-	-	-	-	FCueRW3C9yhZLsLQ85	text/plain
1395169553.606073	CyxmUIhBsXWaOMsRj	192.168.58.10	1040	195.66.79.27	80	1	GET	www.filessly.com	/js/common.js	http://www.filessly.com/fetch/Update/MS05MjEwOTk3LTEzOTUxNjk0MzQtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1174	200	OK	-	-	-	(empty)	-	-	-	-	-	FRpd1L3CHpjz9W9Da9	text/plain
1395169553.611104	Cw0dx94UTU5wRNJVrk	192.168.58.10	1041	195.66.79.27	80	1	GET	www.filessly.com	/js/jquery.cookie.js	http://www.filessly.com/fetch/Update/MS05MjEwOTk3LTEzOTUxNjk0MzQtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1941	200	OK	-	-	-	(empty)	-	-	-	-	-	FkTE8k2VqGY8lEub9c	text/plain
1395169553.380987	C9BcUm3W2lKWsij9J3	192.168.58.10	1038	195.66.79.27	80	3	GET	www.filessly.com	/js/jquery-1.8.2.min.js	http://www.filessly.com/fetch/Update/MS05MjEwOTk3LTEzOTUxNjk0MzQtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	93434	200	OK	-	-	-	(empty)	-	-	-	-	-	F5Vdug4ZBuB1a3gbtf	text/plain
1395169553.784554	CcUVfR5fEWLWym7V2	192.168.58.10	1039	195.66.79.27	80	2	GET	www.filessly.com	/js/jquery.fileDownload.js	http://www.filessly.com/fetch/Update/MS05MjEwOTk3LTEzOTUxNjk0MzQtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	16372	200	OK	-	-	-	(empty)	-	-	-	-	-	FB0Eo53lw9puZBaXDh	text/plain
1395169554.329652	Cw0dx94UTU5wRNJVrk	192.168.58.10	1041	195.66.79.27	80	2	GET	www.filessly.com	/images/layout1/line.jpg	http://www.filessly.com/fetch/Update/MS05MjEwOTk3LTEzOTUxNjk0MzQtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1517	200	OK	-	-	-	(empty)	-	-	-	-	-	F6csTA1AQSLdgsgA6h	image/jpeg
1395169554.357128	CcUVfR5fEWLWym7V2	192.168.58.10	1039	195.66.79.27	80	3	GET	www.filessly.com	/images/layout1/vert_line.png	http://www.filessly.com/fetch/Update/MS05MjEwOTk3LTEzOTUxNjk0MzQtOWY0MDlmZjhiZTg4Mzg3NDE3ZDUyMDk3OTMxYTVkZTY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	522	200	OK	-	-	-	(empty)	-	-	-	-	-	FKHyMX3HZ7NpWrpIH	image/png
