#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-32-22
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1327521692.899913	CMGXI03TcT9DlRG6q5	192.168.124.10	1031	69.89.31.228	80	1	GET	chavurahabq.org	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1327521693.409357	C9EXse45d72KpD8DW7	192.168.124.10	1032	69.89.31.228	80	1	GET	www.chavurahabq.org	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9987	200	OK	-	-	-	(empty)	-	-	-	-	-	FrAYYc1sT3MGSCXpAc	text/html
1327521693.914864	CrTcsq2Ib2q7VrWHzf	192.168.124.10	1033	74.125.65.82	80	1	GET	ie7-js.googlecode.com	/svn/version/2.0(beta3)/IE7.js	http://www.chavurahabq.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	31222	200	OK	-	-	-	(empty)	-	-	-	-	-	FCmFko3zFvyCe0ivL2	text/plain
1327521693.886124	C9EXse45d72KpD8DW7	192.168.124.10	1032	69.89.31.228	80	2	GET	www.chavurahabq.org	/wp-content/themes/overeasy/style.css	http://www.chavurahabq.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	14439	200	OK	-	-	-	(empty)	-	-	-	-	-	FxiLtpVx3s8MvGW2h	text/plain
1327521694.105599	C9EXse45d72KpD8DW7	192.168.124.10	1032	69.89.31.228	80	3	GET	www.chavurahabq.org	/wp-includes/js/jquery/jquery.js?ver=1.4.2	http://www.chavurahabq.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	72194	200	OK	-	-	-	(empty)	-	-	-	-	-	FFzaVs1gZoh3ITw0yf	text/plain
1327521694.521884	C9EXse45d72KpD8DW7	192.168.124.10	1032	69.89.31.228	80	4	GET	www.chavurahabq.org	/wp-content/themes/overeasy/includes/js/stepcarousel.js?ver=3.0.1	http://www.chavurahabq.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	15358	200	OK	-	-	-	(empty)	-	-	-	-	-	F7DO403PELUtqW07Tc	text/plain
1327521694.628498	C9EXse45d72KpD8DW7	192.168.124.10	1032	69.89.31.228	80	5	GET	www.chavurahabq.org	/wp-content/themes/overeasy/includes/js/stepcarousel-setup.js?ver=3.0.1	http://www.chavurahabq.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	851	200	OK	-	-	-	(empty)	-	-	-	-	-	FrRlyV238Kfe0Qyj1i	text/plain
1327521694.72566	C9EXse45d72KpD8DW7	192.168.124.10	1032	69.89.31.228	80	6	GET	www.chavurahabq.org	/wp-content/themes/overeasy/includes/js/general.js?ver=3.0.1	http://www.chavurahabq.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	996	200	OK	-	-	-	(empty)	-	-	-	-	-	FTz0B31b75YLNVCHrl	text/plain
1327521694.878498	C9EXse45d72KpD8DW7	192.168.124.10	1032	69.89.31.228	80	7	GET	www.chavurahabq.org	/wp-includes/js/tinymce/plugins/media/img/videoPlayer.php	http://www.chavurahabq.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2337	200	OK	-	-	-	(empty)	-	-	-	-	-	Fllh0r47yBZnLZYxOa	text/plain
1327521695.056775	C9EXse45d72KpD8DW7	192.168.124.10	1032	69.89.31.228	80	8	GET	www.chavurahabq.org	/wp-content/themes/overeasy/images/bgr.gif	http://www.chavurahabq.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	273	200	OK	-	-	-	(empty)	-	-	-	-	-	FqgNVo48HHz355ux0e	image/gif
1327521695.14799	C9EXse45d72KpD8DW7	192.168.124.10	1032	69.89.31.228	80	9	GET	www.chavurahabq.org	/wp-content/themes/overeasy/custom.css	http://www.chavurahabq.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	247	200	OK	-	-	-	(empty)	-	-	-	-	-	FJaTQ85YLN7aOpE2i	text/plain
1327521695.147739	CW4aNg2nORhBfXlNl	192.168.124.10	1038	69.89.31.228	80	1	GET	www.chavurahabq.org	/wp-content/themes/overeasy/styles/blue.css	http://www.chavurahabq.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3945	200	OK	-	-	-	(empty)	-	-	-	-	-	FwUG8L2x39xKQcqcT2	text/plain
1327521695.228024	C9EXse45d72KpD8DW7	192.168.124.10	1032	69.89.31.228	80	10	GET	www.chavurahabq.org	/wp-content/uploads/2010/09/Chavurat-Hamidmar-The-Fellowship-of-the-Desert31.png	http://www.chavurahabq.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3763	200	OK	-	-	-	(empty)	-	-	-	-	-	FBnZcE318zbYmxEGI5	image/png
