#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2014-04-03-10-17-10
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1376967956.174253	CKntkV1l5984kum4cb	192.168.95.10	1046	198.1.121.173	80	above_hole_data_without_any_acks	-	F	bro
1376967956.361445	-	-	-	-	-	unknown_protocol_2	-	F	bro
1376968002.692637	C3cAC01AFW26RWxdt5	192.168.95.10	1112	194.165.17.4	53	DNS_Conn_count_too_large	-	F	bro
1376968002.716596	CAAqAH3Gz2wqaZFbR2	192.168.95.10	1113	194.165.17.4	53	DNS_Conn_count_too_large	-	F	bro
1376968002.870567	CWhFAT3898weeBekL2	192.168.95.10	1114	194.165.17.4	53	DNS_Conn_count_too_large	-	F	bro
1376968002.873717	CGdCyU3gqLjlGHfBo5	192.168.95.10	1115	194.165.17.4	53	DNS_Conn_count_too_large	-	F	bro
1376968002.886906	CYi4RI3xx7zmljTyQe	192.168.95.10	1116	194.165.17.4	53	DNS_Conn_count_too_large	-	F	bro
1376968002.889284	CNbUBD1fNUdCa1zyhf	192.168.95.10	1117	194.165.17.4	53	DNS_Conn_count_too_large	-	F	bro
1376968002.891638	CF30fj1B1jg3vbeVof	192.168.95.10	1118	194.165.17.4	53	DNS_Conn_count_too_large	-	F	bro
1376968002.923009	CV3vwi19QWiuwCA0Ue	192.168.95.10	1119	194.165.17.4	53	DNS_Conn_count_too_large	-	F	bro
1376968003.06137	CTKp1C1JLI7wmELBU6	192.168.95.10	1120	194.165.17.4	53	DNS_Conn_count_too_large	-	F	bro
1376968003.134005	C6Xqo13HbJPXE4iFJ6	192.168.95.10	1121	194.165.17.4	53	DNS_Conn_count_too_large	-	F	bro
1376968003.135792	CuLcqr35H9t1ZHyRM6	192.168.95.10	1122	194.165.17.4	53	DNS_Conn_count_too_large	-	F	bro
1376968078.466727	COUWGqzEncTCn1HIl	192.168.95.10	1175	59.125.11.103	80	bad_HTTP_request	-	F	bro
1376968078.466727	COUWGqzEncTCn1HIl	192.168.95.10	1175	59.125.11.103	80	line_terminated_with_single_CR	-	F	bro
#close	2014-04-03-10-17-11
