#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-54-03
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1325884769.603665	CeVcR81Il9ckWwv1z2	192.168.18.10	1030	212.103.118.126	80	1	GET	zgy1fb.alvaroheinous.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1325884770.294553	CmHGV44pEzTOSgHNwk	192.168.18.10	1031	67.214.177.20	80	1	GET	67.214.177.20	/main.php?id=937c853a11d42875	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	81965	200	OK	-	-	-	(empty)	-	-	-	-	-	Fsbfem4Xu91P8swShl	text/html
1325884784.732748	CURzWGFJ3Abqg6II1	192.168.18.10	1036	95.163.89.227	80	1	GET	95.163.89.227	/w.php?f=20&e=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	122368	200	OK	-	-	-	(empty)	-	-	-	-	-	Fupjt41OtrgMjzQrQ1	application/x-dosexec
1325884787.911807	CofrF4c7jB4s8EVKh	192.168.18.10	1038	67.214.177.20	80	1	GET	67.214.177.20	/content/field.swf	http://67.214.177.20/main.php?id=937c853a11d42875	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1437	200	OK	-	-	-	(empty)	-	-	-	-	-	FLzc8l0Yk2N9TVBNc	application/x-shockwave-flash
1325884788.378283	CqWhPf5u6V2BN0la5	192.168.18.10	1039	67.214.177.20	80	1	GET	67.214.177.20	/content/v1.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3771	200	OK	-	-	-	(empty)	-	-	-	-	-	FlZxBD4FBkznsQOWq	application/zip
1325884787.791069	CwKnjw4ZJDk5b5EA6h	192.168.18.10	1037	79.137.226.91	80	1	POST	onlinesecurytytests.ru	/mev/in/	-	Mozilla/5.0 (Windows; U; MSIE 7.0; Windows NT 6.0; en-US)	109	249556	200	OK	-	-	-	(empty)	-	-	-	FlvX254Ev2LupjuLX8	binary	F3mKZr2ltz7uGXYj75	binary
1325884786.656311	CmHGV44pEzTOSgHNwk	192.168.18.10	1031	67.214.177.20	80	2	GET	67.214.177.20	/content/fdp2.php?f=20	http://67.214.177.20/main.php?id=937c853a11d42875	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	113917	200	OK	-	-	-	(empty)	-	-	-	-	-	FXWgbB2EUkPSYJ2JWh	application/pdf
1325884800.622881	COl2WzwbDE6JIVmZ3	192.168.18.10	1040	69.31.72.147	80	1	GET	fpdownload2.macromedia.com	/get/flashplayer/update/current/xml/version_en_win_ax.xml	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1568	200	OK	-	-	-	(empty)	-	-	-	-	-	Fkug934EfbOpxtFL4c	text/html
1325884800.856476	CgvyGb4C7GYzT6mZji	192.168.18.10	1042	74.125.45.147	80	1	GET	google.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	219	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FBjOjN3eCsogPKQYK7	text/html
1325884800.881218	C6X9jpgOrBnOM4OXj	192.168.18.10	1043	74.125.47.99	80	1	GET	www.google.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	18748	200	OK	-	-	-	(empty)	-	-	-	-	-	FjUPot4b5mFS895iKa	text/html
1325884800.513192	CofrF4c7jB4s8EVKh	192.168.18.10	1038	67.214.177.20	80	2	GET	67.214.177.20	/content/score.swf	http://67.214.177.20/content/field.swf	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6833	200	OK	-	-	-	(empty)	-	-	-	-	-	FsmhBchpe5r9GIrCd	application/x-shockwave-flash
1325884800.815853	CmaNul4fKchDIrKGo3	192.168.18.10	1041	67.214.177.20	80	1	GET	67.214.177.20	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	13	200	OK	-	-	-	(empty)	-	-	-	-	-	FeSHEy1zHTGVygIBmg	text/plain
1325884801.754444	C6X9jpgOrBnOM4OXj	192.168.18.10	1043	74.125.47.99	80	2	GET	www.google.com	/intl/en_ALL/images/srpr/logo1w.png	http://www.google.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7330	200	OK	-	-	-	(empty)	-	-	-	-	-	FRls8R3nyihmn87yX4	image/png
1325884801.792241	C6X9jpgOrBnOM4OXj	192.168.18.10	1043	74.125.47.99	80	3	GET	www.google.com	/images/mgyhp_sm.png	http://www.google.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	331	200	OK	-	-	-	(empty)	-	-	-	-	-	FUmbEjfiCUP4pVLM1	image/png
1325884801.784173	C7UbLY3qCmCWhzqmG1	192.168.18.10	1045	74.125.47.99	80	1	GET	www.google.com	/images/srpr/nav_logo80.png	http://www.google.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35636	200	OK	-	-	-	(empty)	-	-	-	-	-	FV1yZ92wgQJBpSzmkf	image/png
1325884801.627629	CbjEzNprOWu5M3Sg2	192.168.18.10	1044	67.214.177.20	80	1	GET	67.214.177.20	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	13	200	OK	-	-	-	(empty)	-	-	-	-	-	Fs8P2L3eBer4SE4Oc9	text/plain
1325884802.090138	C6X9jpgOrBnOM4OXj	192.168.18.10	1043	74.125.47.99	80	4	GET	www.google.com	/extern_js/f/CgJlbhICdXMrMEU4ACwrMFo4ACwrMA44ACwrMBc4ACwrMDw4ACwrMFE4ACwrMAo4AJoCAmhlLCswmAE4ACwrMBY4ACwrMBk4ACwrMCU4ACwrMDU4ACwrMEE4ACwrME04ACwrME44ACwrMFQ4ACwrMGM4ACwrMGk4ACwrMJABOAAsKzCSATgALCswrAE4ACwrMBg4ACwrMCY4ACyAAlCQAl0/ekoYSPho0hs.js	http://www.google.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	140272	200	OK	-	-	-	(empty)	-	-	-	-	-	FPVqjz5BeChhHzEDg	text/plain
1325884802.251921	C7UbLY3qCmCWhzqmG1	192.168.18.10	1045	74.125.47.99	80	2	GET	www.google.com	/compressiontest/gzip.html	http://www.google.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	937	200	OK	-	-	-	(empty)	-	-	-	-	-	FcGyYl3muucRwDpy7c	text/html
1325884802.465377	C6X9jpgOrBnOM4OXj	192.168.18.10	1043	74.125.47.99	80	5	GET	www.google.com	/csi?v=3&s=webhp&action=&e=33492&ei=C2UHT7fiNoWatwfjkdXJCw&imc=2&imn=2&imp=2&rt=xjsls.94,prt.94,ol.188,iml.188,xjses.453,xjsee.547,xjs.672	http://www.google.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	204	No Content	-	-	-	(empty)	-	-	-	-	-	-	-
#close	2014-04-03-09-54-03
