#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-50-48
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1327558573.499399	CX7PSA2PAeU9kCd2t1	192.168.85.10	1030	208.64.123.45	80	1	GET	3r4li0pwzwplcy.l84.me	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	178	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FcTcvUd1Oj0Qmce85	text/html
1327558573.706722	CLlneb1dSNObcGOAlh	192.168.85.10	1031	64.34.154.74	80	1	GET	fasttrackonlinesurveys.com	/d/traf2.com	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1727	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FjyD4oQA0jVlpUAU4	text/html
1327558573.845991	C6cyvQ2BTFW7EzGYJ8	192.168.85.10	1032	209.17.74.150	80	1	GET	i34.tinypic.com	/2ajb6so.png	http://fasttrackonlinesurveys.com/d/traf2.com	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	85090	200	OK	-	-	-	(empty)	-	-	-	-	-	FznMkM3cTvrYafhwza	image/png
1327558574.060034	CEk6QXbdfa9VUpVng	192.168.85.10	1033	64.34.154.74	80	1	GET	i.d2f3.com	/oops/index.php?e9cb9458b4b97866bf6dfbbc558dfc77	http://fasttrackonlinesurveys.com/d/traf2.com	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43946	200	OK	-	-	-	(empty)	-	-	-	-	-	FxT0MwinCJ1XSvkz8	text/html
1327558575.768401	Cjc1do43DzPS5lzj3l	192.168.85.10	1034	64.34.154.74	80	1	GET	i.d2f3.com	/oops/server_privileges.php?6e973055ca2c946ef80a7baf6229c188=1	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	300544	200	OK	-	-	-	(empty)	-	-	-	-	-	FWggmuoFACmV2clw2	application/x-dosexec
1327558577.537153	C4J0Ak2ZyWYCux1I9b	192.168.85.10	1039	65.39.172.126	80	1	GET	network.stripthere.com	/mars/iLog.php?dl=5.9&log=Loader: 506^BB	-	IE7.0	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1327558577.693788	CNfmaD33BYstyGpRx6	192.168.85.10	1042	64.34.154.74	80	1	GET	i.d2f3.com	/oops/images/r/938a99f1be85e19406438f9a572fdf71.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2909	200	OK	-	-	-	(empty)	-	-	-	-	-	FpFyKA4ems37iHRTlf	application/jar
1327558577.69606	CfgLbdfGPPw06KSYc	192.168.85.10	1041	64.34.154.74	80	1	GET	fasttrackonlinesurveys.com	/Java.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2755	200	OK	-	-	-	(empty)	-	-	-	-	-	F6cSv71H4m4BU2ls4l	application/zip
1327558577.697224	CwUNPO3LoiqY79qeO7	192.168.85.10	1040	64.34.154.74	80	1	GET	i.d2f3.com	/oops/images/938a99f1be85e19406438f9a572fdf71.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5380	200	OK	-	-	-	(empty)	-	-	-	-	-	FveYAV36Wgg8RGtQ3j	application/jar
1327558577.799458	CyMaNg3BQH1jUy3bT4	192.168.85.10	1044	64.34.154.74	80	1	GET	i.d2f3.com	/oops/images/938a99f1be85e19406438f9a572fdf71.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5380	200	OK	-	-	-	(empty)	-	-	-	-	-	FMO4dT16q4GLs5o343	application/jar
1327558577.804986	ComukxxXnwgj4fBzj	192.168.85.10	1043	64.34.154.74	80	1	GET	i.d2f3.com	/oops/images/r/938a99f1be85e19406438f9a572fdf71.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2909	200	OK	-	-	-	(empty)	-	-	-	-	-	FbPAfs1idKEkSrqHJg	application/jar
