#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2014-04-03-10-34-50
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1354089741.975541	COcnCc4h9AqkdLXih3	192.168.90.10	1079	184.173.170.84	80	unescaped_special_URI_char	-	F	bro
1354089742.714652	-	-	-	-	-	unknown_protocol_2	-	F	bro
1354089758.336194	CtxSak1UHAR6ePVo0c	192.168.90.10	1143	213.186.33.19	80	window_recision	-	F	bro
1354089765.039871	CDAPBBFiKRh51uQJe	192.168.90.10	1147	194.165.17.3	53	DNS_Conn_count_too_large	-	F	bro
1354089765.040073	CXcZo8bUW1sCKmVTg	192.168.90.10	1147	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1354089765.064894	C26XaU1Alcv4UxCeUe	192.168.90.10	1149	194.165.17.3	53	DNS_Conn_count_too_large	-	F	bro
1354089765.065142	CWYKB1GrQVX5Az1Jg	192.168.90.10	1149	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1354089765.292226	Cviv0123KWkCLVP6zk	192.168.90.10	1151	194.165.17.3	53	DNS_Conn_count_too_large	-	F	bro
1354089765.292409	CjG1oe15QVkVvqWE4b	192.168.90.10	1151	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1354089765.314328	CmGTbOQmkKdB01V2k	192.168.90.10	1153	194.165.17.3	53	DNS_Conn_count_too_large	-	F	bro
1354089765.314514	C4L0Gg16GVk1PwflAb	192.168.90.10	1153	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1354089765.34698	CHsgWLIup6HNOIXyh	192.168.90.10	1155	194.165.17.3	53	DNS_Conn_count_too_large	-	F	bro
1354089765.34718	CS7koL1EbY7I4F6j4e	192.168.90.10	1155	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1354089765.420455	CZuNdhDUrSrJSMyoh	192.168.90.10	1157	194.165.17.3	53	DNS_Conn_count_too_large	-	F	bro
1354089765.420679	CzTEbS1vzb9sUyqcfe	192.168.90.10	1157	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1354089766.490866	Co4qoaQ3KNUOKlDJb	192.168.90.10	1161	194.165.17.3	53	DNS_Conn_count_too_large	-	F	bro
1354089766.491048	CGHwpFy5WAEUnzDTj	192.168.90.10	1161	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1354089766.511626	C18Ccn1JEXMwb0GOfc	192.168.90.10	1163	194.165.17.3	53	DNS_Conn_count_too_large	-	F	bro
1354089766.51183	ClaI7DFfnMdBMrWnj	192.168.90.10	1163	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1354089766.615289	C2No3Y15KYZI2VZoue	192.168.90.10	1166	194.165.17.3	53	DNS_Conn_count_too_large	-	F	bro
1354089766.615509	C5eVA4KRNye1eNaDg	192.168.90.10	1166	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1354089772.948379	C2tUuQ1LoaPdeE84Rd	192.168.90.10	1172	213.186.33.19	80	window_recision	-	F	bro
#close	2014-04-03-10-34-51
