#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-52-41
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1322615365.469903	CfNj9rDqENVSw39W3	192.168.98.10	1030	109.236.82.78	80	1	GET	tempdom7.info	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	235	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FZ8xmG4GhGfV62O0ld	text/html
1322615365.675483	ClSM1W1d54d23eeyU2	192.168.98.10	1031	109.236.82.79	80	1	GET	aeroclub9.in	/?site=7	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	152	200	OK	-	-	-	(empty)	-	-	-	-	-	FC0jVosHtkRo2Oo7k	text/html
1322615366.707747	CrndfR1c3wTtwsbK75	192.168.98.10	1032	109.236.82.79	80	1	GET	aeroclub9.in	/?06abdccf862488e36c922571411e2eab	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3971	200	OK	-	-	-	(empty)	-	-	-	-	-	FaCsoBpn0xfQ7EC6f	application/jar
1322615367.319785	C8Bial2acPeOcJwAL4	192.168.98.10	1033	109.236.82.79	80	1	GET	aeroclub9.in	/?06abdccf862488e36c922571411e2eab	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3971	200	OK	-	-	-	(empty)	-	-	-	-	-	FiApvz1aGdj6s23ET8	application/jar
1322615367.601679	CY39w42C56QNIuxGV4	192.168.98.10	1038	109.236.82.79	80	1	GET	aeroclub9.in	/?06abdccf862488e36c922571411e2eab	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3971	200	OK	-	-	-	(empty)	-	-	-	-	-	FsAGTb40mBsZF38nmg	application/jar
1322615367.859348	CSYbXh2HZCZBH88s13	192.168.98.10	1039	109.236.82.79	80	1	GET	aeroclub9.in	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FcWgyW1ZXynsfzuta9	text/html
1322615368.066536	C1w7mT1RUJpTAdrd24	192.168.98.10	1040	109.236.82.79	80	1	GET	aeroclub9.in	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FiXhesxou4NPhWCug	text/html
1322615368.2797	CHBHXX1QWqQ5btO7Z6	192.168.98.10	1041	109.236.82.79	80	1	GET	aeroclub9.in	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FhMBlc39oARJhAnws8	text/html
1322615368.494559	CRE25oQ8P5Ov3qc18	192.168.98.10	1042	109.236.82.79	80	1	GET	aeroclub9.in	/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F7SN0o1TM4Ivi5l6i6	text/html
1322615368.818886	CbxJoslC9WK2WvY66	192.168.98.10	1043	109.236.82.79	80	1	GET	aeroclub9.in	/?28ed367d4bc38edaac94773499e338d0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	463872	200	OK	-	-	-	(empty)	-	-	-	-	-	FYE9AR3PpsAOcT2xVa	application/x-dosexec
#close	2014-04-03-09-52-42
