#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-37-48
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1323560808.662733	CXDzYs3r5j46mq7kt7	192.168.113.10	1030	64.202.189.170	80	1	GET	allegiantstaffing.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1323560808.977088	CeyQDheSLTm9zV4l	192.168.113.10	1031	79.137.237.67	80	1	GET	allegiantcare.com	/main.php?page=4bb3c8ebfae93278	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	120055	200	OK	-	-	-	(empty)	-	-	-	-	-	F1DZTF2tUiEVS5QFgg	text/html
1323560814.876645	CeyQDheSLTm9zV4l	192.168.113.10	1031	79.137.237.67	80	2	GET	allegiantcare.com	/w.php?f=16&e=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	197632	200	OK	-	-	-	(empty)	-	-	-	-	-	FzR4prgwKLXSa0Ev8	application/x-dosexec
1323560816.961648	CeyQDheSLTm9zV4l	192.168.113.10	1031	79.137.237.67	80	3	GET	allegiantcare.com	/content/fdp2.php?f=16	http://allegiantcare.com/main.php?page=4bb3c8ebfae93278	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	106948	200	OK	-	-	-	(empty)	-	-	-	-	-	FzjM8621n3zSuOV7Qb	application/pdf
1323560818.568039	ChA9pz2IKNxcUzyRZa	192.168.113.10	1036	79.137.237.67	80	1	GET	allegiantcare.com	/content/field.swf	http://allegiantcare.com/main.php?page=4bb3c8ebfae93278	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1397	200	OK	-	-	-	(empty)	-	-	-	-	-	Fi6bAd3qzE6htkv4X8	application/x-shockwave-flash
1323560827.605457	CrMlHO3NfIkto93uZ4	192.168.113.10	1039	69.31.74.123	80	1	GET	fpdownload2.macromedia.com	/get/flashplayer/update/current/xml/version_en_win_ax.xml	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1568	200	OK	-	-	-	(empty)	-	-	-	-	-	FnuQoHrPZcRw8XxPc	text/html
1323560825.25182	CATotq2U45erpIs9Lb	192.168.113.10	1038	67.226.152.139	80	1	POST	vampkeys.ru	/funkysoul.php	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	73	33898	200	OK	-	-	-	(empty)	-	-	-	FWcBRW3f5cnlMpF2hg	text/plain	Fbfd1eUCOYjGLZQbj	binary
1323560827.566583	CeyQDheSLTm9zV4l	192.168.113.10	1031	79.137.237.67	80	4	GET	allegiantcare.com	/content/score.swf	http://allegiantcare.com/content/field.swf	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6792	200	OK	-	-	-	(empty)	-	-	-	-	-	FJzDjk4w9wsBxdeML8	application/x-shockwave-flash
1323560827.661734	C2NNVX3tMglysi9we8	192.168.113.10	1037	79.137.237.67	80	1	GET	allegiantcare.com	/content/v1.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	4111	200	OK	-	-	-	(empty)	-	-	-	-	-	Fxy22Y1aPYoNaVWq54	application/zip
1323560853.340918	C7xyHZbLFnI0bnVWf	192.168.113.10	1040	74.125.45.147	80	1	GET	www.google.com	/webhp	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	18679	200	OK	-	-	-	(empty)	-	-	-	-	-	FWOQ9N2Eqw6ATHdDYe	text/html
1323560853.832353	CVLSN74MV7b0RNNHmk	192.168.113.10	1041	58.128.228.1	80	1	POST	pighair.ru	/bitcome91.php	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	293	64	200	OK	-	-	-	(empty)	-	-	-	FvlZrE3anuYrdoKvp7	binary	FAOyki10ZqM4Qr0JWf	binary
#close	2014-04-03-10-37-48
