#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-12-24
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1327529338.15993	CooO0U3PeDl2BiVVMd	192.168.102.10	1030	123.30.133.77	80	1	GET	megarapid.net	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	146	302	Redirect	-	-	-	(empty)	-	-	-	-	-	FYrL653yXTSwdr4YA6	text/html
1327529338.674304	CmZmCF1AoQWD65IFKj	192.168.102.10	1031	123.30.133.71	80	1	GET	w2.megarapid.net	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	37656	200	OK	-	-	-	(empty)	-	-	-	-	-	FhIw4a31EGlRwK2ucj	text/html
1327529339.242748	CmZmCF1AoQWD65IFKj	192.168.102.10	1031	123.30.133.71	80	2	GET	w2.megarapid.net	/themes/default/style/Common.css	http://w2.megarapid.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	37789	200	OK	-	-	-	(empty)	-	-	-	-	-	FK6rM919bPNDbX9DFc	text/plain
1327529339.584773	CmZmCF1AoQWD65IFKj	192.168.102.10	1031	123.30.133.71	80	3	GET	w2.megarapid.net	/Themes/default/style/forum.css	http://w2.megarapid.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9372	200	OK	-	-	-	(empty)	-	-	-	-	-	FWBVjhlTFXCNQC9Bg	text/plain
1327529339.839067	CmZmCF1AoQWD65IFKj	192.168.102.10	1031	123.30.133.71	80	4	GET	w2.megarapid.net	/Themes/default/style/forum_print.css	http://w2.megarapid.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8935	200	OK	-	-	-	(empty)	-	-	-	-	-	FuUBjA2fzippvkvyWj	text/plain
1327529339.583811	C73MPxmtwk56InBN9	192.168.102.10	1032	123.30.133.71	80	1	GET	w2.megarapid.net	/themes/default/style/common_print.css	http://w2.megarapid.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	22005	200	OK	-	-	-	(empty)	-	-	-	-	-	FQJW5orF33fpNmKq7	text/plain
1327529340.080653	CmZmCF1AoQWD65IFKj	192.168.102.10	1031	123.30.133.71	80	5	GET	w2.megarapid.net	/themes/default/style/alpha.css	http://w2.megarapid.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	652	200	OK	-	-	-	(empty)	-	-	-	-	-	FGWAxC3ATLxb2OdSGb	text/plain
1327529340.100218	C73MPxmtwk56InBN9	192.168.102.10	1032	123.30.133.71	80	2	GET	w2.megarapid.net	/WebResource.axd?d=rBliskq3Uy2K8-qlxA5BlD1eC3ixunGYW304qM351YItffVUGDzOMWcV-cjSv5gvwjkUPERpjLa_Rsuk8elu1-O3hBPwy9M14klO8Q3l6GakkCl-4kq2EFa2cxeG7Jg3g8trTjri0_u0E4Scn2xaG1VRTkY1&t=633296728240000000	http://w2.megarapid.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	17600	200	OK	-	-	-	(empty)	-	-	-	-	-	FzknkkwJ9UMCSjOof	text/plain
1327529340.413615	CmZmCF1AoQWD65IFKj	192.168.102.10	1031	123.30.133.71	80	6	GET	w2.megarapid.net	/WebResource.axd?d=k64oB2bE92upkeNOOkjKvnTbJKrFtKrLERFL8XTbMGi-eGu3jhK7ysl54LxOOqBtQtd0WmYVgXTIY0rBW2vXf7EOc3wtIM8UodStnelX8D-bUDosoIvXd52m3WP1SCD8wClT49TrI_oulDBgVgZmliIZ8YA1&t=633296728240000000	http://w2.megarapid.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	17053	200	OK	-	-	-	(empty)	-	-	-	-	-	FMMdln1Es3TdfEZpB7	text/plain
1327529340.697386	CT9hyN33vIJ3CrNK1k	192.168.102.10	1037	74.125.45.99	80	1	GET	www.google.com	/cse/brand?form=cse-search-box&lang=en	http://w2.megarapid.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1648	200	OK	-	-	-	(empty)	-	-	-	-	-	FMMfXy3BMGWumFAtAj	application/x-elc
1327529340.728583	CT9hyN33vIJ3CrNK1k	192.168.102.10	1037	74.125.45.99	80	2	GET	www.google.com	/cse/intl/en/images/google_custom_search_watermark.gif	http://w2.megarapid.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1367	200	OK	-	-	-	(empty)	-	-	-	-	-	FnDaV02TaIQVlLPNnc	image/gif
1327529340.779831	CRMs6lwbc9mo8LD5f	192.168.102.10	1038	199.21.148.89	80	1	GET	ads.lzjl.com	/newServing/showAd.php?nid=5&pid=8849&adtype=&sid=13700	http://w2.megarapid.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1521	200	OK	-	-	-	(empty)	-	-	-	-	-	FaNp1g4nMwWqIbc7lg	text/html
1327529340.869997	CAgTtx1Wif9HGmm495	192.168.102.10	1040	199.21.148.123	80	1	GET	serw.myroitracking.com	/newServing/tracking_id.php?d=ads.lzjl.com&r=http://ads.lzjl.com/newServing/tracking_id.php?b=1&&gtruid=1	http://w2.megarapid.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1327529340.871385	CkSmRs2bge0FA9z3Sk	192.168.102.10	1041	199.21.148.98	80	1	GET	ads.clicksor.com	/newServing/searchTrack.php?nid=5&random=558588334	http://w2.megarapid.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	512	200	OK	-	-	-	(empty)	-	-	-	-	-	Fs1Nmr2ATRALhaWfvi	text/html
1327529340.730827	C73MPxmtwk56InBN9	192.168.102.10	1032	123.30.133.71	80	3	GET	w2.megarapid.net	/Themes/default/images/forum_status.gif	http://w2.megarapid.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1261	200	OK	-	-	-	(empty)	-	-	-	-	-	FF9WW21Z9NiPGd0AEh	image/gif
1327529340.957794	C6bBX9mhEdDQXczAf	192.168.102.10	1042	199.21.148.89	80	1	GET	ads.lzjl.com	/newServing/tracking_id.php?b=1&UID=1327529222964&TRSTR=1&RTID=	http://w2.megarapid.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1327529341.026725	CG5z4047SqFqQh1cR8	192.168.102.10	1044	199.21.148.17	80	1	GET	static.hatid.com	/newServing/js/show_ad.js	http://w2.megarapid.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	88330	200	OK	-	-	-	(empty)	-	-	-	-	-	FsgNEDszpk0tEbq8a	text/plain
1327529341.358903	C92vcS2yvTZ38mSIJk	192.168.102.10	1045	199.21.148.89	80	1	GET	ads.lzjl.com	/newServing/getkey.php?cb=getkey&ob=Yesup.infinityads.Code[0]&nid=5&pid=8849&sid=13700&spid=0&ns=0&nw=1&zone=0&url=http://w2.megarapid.net/&lb=0&oe=utf-8&t7665101&txt=Rapidshare, megaupload, mediafire, torrent, bittor	http://w2.megarapid.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	550	200	OK	-	-	-	(empty)	-	-	-	-	-	FJiWHb4ELvJc5enaZf	text/plain
1327529362.158175	Ci5bgp1R5zPhDZDn13	192.168.102.10	1046	173.194.37.0	80	1	GET	www.google-analytics.com	/ga.js	http://ads.clicksor.com/newServing/searchTrack.php?nid=5&random=558588334	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	33227	200	OK	-	-	-	(empty)	-	-	-	-	-	Fr3NaE26niN812ZKB9	text/plain
1327529362.254695	Ci5bgp1R5zPhDZDn13	192.168.102.10	1046	173.194.37.0	80	2	GET	www.google-analytics.com	/__utm.gif?utmwv=5.2.3&utms=1&utmn=250942899&utmhn=w2.megarapid.net&utmcs=utf-8&utmsr=800x600&utmvp=780x475&utmsc=24-bit&utmul=en-us&utmje=1&utmfl=10.0 r32&utmdt=Rapidshare, megaupload, mediafire, torrent, bittorrent, easy-share, filefactory, hotfile, netload, uploading, depositfiles, sendspace collection .&utmhid=2052599195&utmr=-&utmp=/&utmac=UA-15726098-5&utmcc=__utma=259860300.275848884.1327543642.1327543642.1327543642.1;+__utmz=259860300.1327543642.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none);&utmu=q~	http://w2.megarapid.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35	200	OK	-	-	-	(empty)	-	-	-	-	-	FQRN8x4sYAhxSPggFb	image/gif
