#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-11-50
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1333652395.090691	C5fdGz4Nw1CKtU32nb	192.168.4.10	1030	188.92.41.195	80	1	GET	livescore.in	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	http://www.livescore.in/	-	-	-	(empty)	-	-	-	-	-	-	-
1333652395.323927	CppZc64IVwBeBFijNc	192.168.4.10	1031	188.92.41.197	80	1	GET	www.livescore.in	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	22462	200	OK	-	-	-	(empty)	-	-	-	-	-	FYD7Hs2HdXFPHvVggd	text/html
1333652395.607029	CppZc64IVwBeBFijNc	192.168.4.10	1031	188.92.41.197	80	2	GET	www.livescore.in	/x/js/layout_50_362.js	http://www.livescore.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	48055	200	Status Ok	-	-	-	(empty)	-	-	-	-	-	FupzZxE3XUhnGQbh2	text/plain
1333652395.900465	CppZc64IVwBeBFijNc	192.168.4.10	1031	188.92.41.197	80	3	GET	www.livescore.in	/x/css/layout_50_360.css	http://www.livescore.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	79727	200	Status Ok	-	-	-	(empty)	-	-	-	-	-	F9wS0d2A5RauH2Tj03	text/plain
1333652396.241113	CEZeV73UFDOBDKK9fj	192.168.4.10	1033	74.125.45.138	80	1	GET	www.google-analytics.com	/ga.js	http://www.livescore.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	34293	200	OK	-	-	-	(empty)	-	-	-	-	-	FotBaG3DFhDx6PlAB7	text/plain
1333652396.176471	CppZc64IVwBeBFijNc	192.168.4.10	1031	188.92.41.197	80	4	GET	www.livescore.in	/iframe/sport.php?sport=soccer&category=0&serial=361	http://www.livescore.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2990	200	OK	-	-	-	(empty)	-	-	-	-	-	FvUuPg1PyZ04ObmrNc	text/html
1333652396.298301	CblXAM3Vqu7ZhYaLIk	192.168.4.10	1032	188.92.41.197	80	1	GET	www.livescore.in	/res/_in/image/time-zone-line.png	http://www.livescore.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	126	200	OK	-	-	-	(empty)	-	-	-	-	-	FHk1vFwx2mfIIVT9i	image/png
1333652396.50894	CEZeV73UFDOBDKK9fj	192.168.4.10	1033	74.125.45.138	80	2	GET	www.google-analytics.com	/__utm.gif?utmwv=5.2.6&utms=1&utmn=315867817&utmhn=www.livescore.in&utmcs=utf-8&utmsr=800x600&utmvp=780x459&utmsc=24-bit&utmul=en-us&utmje=1&utmfl=10.0 r32&utmdt=Livescore: Soccer Scores&utmhid=1138654035&utmr=-&utmp=/&utmac=UA-821699-8&utmcc=__utma=94122624.1774204310.1333666678.1333666678.1333666678.1;+__utmz=94122624.1333666678.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none);&utmu=q~	http://www.livescore.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35	200	OK	-	-	-	(empty)	-	-	-	-	-	FTT7Yr3hr47MsnrvTb	image/gif
1333652396.413834	CblXAM3Vqu7ZhYaLIk	192.168.4.10	1032	188.92.41.197	80	2	GET	www.livescore.in	/res/_in/image/body_green.gif	http://www.livescore.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1289	200	OK	-	-	-	(empty)	-	-	-	-	-	FsnLyF2eFUc2sGSN7f	image/gif
1333652396.537477	CblXAM3Vqu7ZhYaLIk	192.168.4.10	1032	188.92.41.197	80	3	GET	www.livescore.in	/res/_in/image/main.gif	http://www.livescore.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	205	200	OK	-	-	-	(empty)	-	-	-	-	-	FtaoJh4cXhcGx3FGDd	image/gif
1333652396.581898	CppZc64IVwBeBFijNc	192.168.4.10	1031	188.92.41.197	80	5	GET	www.livescore.in	/res/_in/image/time_zone.gif	http://www.livescore.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6217	200	OK	-	-	-	(empty)	-	-	-	-	-	F904cy2NlZOrRt70O	image/gif
1333652396.652971	CblXAM3Vqu7ZhYaLIk	192.168.4.10	1032	188.92.41.197	80	4	GET	www.livescore.in	/res/_in/image/input-bg.gif	http://www.livescore.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4955	200	OK	-	-	-	(empty)	-	-	-	-	-	FRYqj01nZe2GokpKnb	image/gif
1333652396.697397	CppZc64IVwBeBFijNc	192.168.4.10	1031	188.92.41.197	80	6	GET	www.livescore.in	/res/_in/image/left_menu_line.gif	http://www.livescore.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	311	200	OK	-	-	-	(empty)	-	-	-	-	-	FDI1eeZBffhWZqDt1	image/gif
1333652396.811971	CblXAM3Vqu7ZhYaLIk	192.168.4.10	1032	188.92.41.197	80	5	GET	www.livescore.in	/res/_in/image/right_menu_line.gif	http://www.livescore.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	184	200	OK	-	-	-	(empty)	-	-	-	-	-	F2gOBQ1ppDRIVgM6ub	image/gif
1333652396.827613	CppZc64IVwBeBFijNc	192.168.4.10	1031	188.92.41.197	80	7	GET	www.livescore.in	/res/_in/image/footer_logo.gif	http://www.livescore.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1872	200	OK	-	-	-	(empty)	-	-	-	-	-	FlLn5g1zm1kJOtqjZ4	image/gif
1333652396.951112	CppZc64IVwBeBFijNc	192.168.4.10	1031	188.92.41.197	80	8	GET	www.livescore.in	/res/_in/image/header_logo.gif	http://www.livescore.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4249	200	OK	-	-	-	(empty)	-	-	-	-	-	FdkqKi4WwsNYdija81	image/gif
