#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-32-24
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1357853474.151774	CIzEA52U6li7NIda15	192.168.45.10	1030	188.72.201.36	80	1	GET	zossip.org	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1357853474.549485	CO9tiz28Xi13SeZhy3	192.168.45.10	1031	109.206.168.0	80	1	GET	iwdtg.24kurebpla.info	/?f123d886e93e2733ea2879c5e9f3cb68=28&1063d4d56e90213f163578a729c470f6=	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	521	200	OK	-	-	-	(empty)	-	-	-	-	-	Ff9oNd3TAclMn271Sf	text/html
1357853474.743988	Cf6HVU2qer6NRpFQW	192.168.45.10	1032	109.206.168.0	80	1	GET	iwdtg.24kurebpla.info	/334b9e1f964344ba475491a2235a208c.eot	http://iwdtg.24kurebpla.info/?f123d886e93e2733ea2879c5e9f3cb68=28&1063d4d56e90213f163578a729c470f6=	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4193	200	OK	-	-	-	(empty)	-	-	-	-	-	F7LA7K55QPj1R2Zkc	application/vnd.ms-fontobject
1357853475.229801	CO2BPs3k4Poz7Xvg42	192.168.45.10	1034	109.206.168.0	80	1	GET	109.206.168.0	/?917e075535843bfd83672e449d6b3b30	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	113664	200	OK	-	-	-	(empty)	-	-	-	-	-	FMMkRp4c5u2HfdrdGg	application/x-dosexec
1357853478.307417	CHhdfk1fAhZTejlxf	192.168.45.10	1039	109.206.168.0	80	1	GET	iwdtg.24kurebpla.info	/46bed8eac64fe46576183cb0b238c975/981a1b07ed30bbe7f4fa872d4a868e0a.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9644	200	OK	-	-	-	(empty)	-	-	-	-	-	FCRyIj2Kw1HKOgnMcc	application/jar
1357853478.510779	COYb83v8vFPwurzVc	192.168.45.10	1040	109.206.168.0	80	1	GET	iwdtg.24kurebpla.info	/46bed8eac64fe46576183cb0b238c975/981a1b07ed30bbe7f4fa872d4a868e0a.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9644	200	OK	-	-	-	(empty)	-	-	-	-	-	FgaFXv1fSxcMRLEFvf	application/jar
1357853478.736402	C1Nv6BZAjWSJIiDsb	192.168.45.10	1041	109.206.168.0	80	1	GET	iwdtg.24kurebpla.info	/46bed8eac64fe46576183cb0b238c975/981a1b07ed30bbe7f4fa872d4a868e0a.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9644	200	OK	-	-	-	(empty)	-	-	-	-	-	FGM8yqkYjE0yatXRb	application/jar
1357853478.982142	Ci7VIWAAfISZfMGDa	192.168.45.10	1042	109.206.168.0	80	1	GET	iwdtg.24kurebpla.info	/46bed8eac64fe46576183cb0b238c975/0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	113664	200	OK	-	-	-	(empty)	-	-	-	-	-	FOwi0M2KJkEjJfhIq1	binary
1357853479.492775	Cm6cIL3MvSmiA6zK09	192.168.45.10	1043	109.206.168.0	80	1	GET	iwdtg.24kurebpla.info	/46bed8eac64fe46576183cb0b238c975/1	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	44544	200	OK	-	-	-	(empty)	-	-	-	-	-	FQDpq31AArrXhhV8r1	binary
1357853482.448754	C7wSbo4movk0nHjTVg	192.168.45.10	1047	46.183.219.193	80	1	GET	ighklplong.washanddie.info	/get.php	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F7SwaK5UKN0P3Suwd	text/html
1357853482.264264	CwY1TC4ssJVoK5qsG7	192.168.45.10	1046	109.206.168.0	80	1	GET	iwdtg.24kurebpla.info	/46bed8eac64fe46576183cb0b238c975/2	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	94208	200	OK	-	-	-	(empty)	-	-	-	-	-	FGJxrY193Gdo5IXbti	binary
1357853482.878965	CbZKA62ax4hnvBUZni	192.168.45.10	1048	109.206.168.0	80	1	GET	iwdtg.24kurebpla.info	/46bed8eac64fe46576183cb0b238c975/3	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F4GHfG2hjTkgFbPUpe	text/html
1357853483.076229	Ca6X4L1GPRasOeHgYk	192.168.45.10	1049	109.206.168.0	80	1	GET	iwdtg.24kurebpla.info	/46bed8eac64fe46576183cb0b238c975/4	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F2socY1TO1WqlqWK03	text/html
1357853485.011113	CeLNqu13ur0Ji4pna2	192.168.45.10	1052	46.183.219.193	80	1	GET	ighklplong.washanddie.info	/get.php	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FKdFjq1li20jpa7Aj7	text/html
#close	2014-04-03-10-32-24
