#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-22-47
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1343243859.254824	CHnwp82fDmomOyESqb	192.168.19.10	1029	195.60.76.250	80	1	GET	movie2k.to	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	160	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	FhPLlZ6JIvZ2UJWtb	text/html
1343243859.878482	CBo0M33UkEZK6lHU4b	192.168.19.10	1036	109.163.226.18	80	1	GET	www.movie2k.to	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	276174	200	OK	-	-	-	(empty)	-	-	-	-	-	FElAbZ1nw9STtEZeR6	text/html
1343243860.518455	CmKK5Z2Y5R8duQgCe6	192.168.19.10	1037	109.163.226.18	80	1	GET	www.movie2k.to	/all4.css	http://www.movie2k.to/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12954	200	OK	-	-	-	(empty)	-	-	-	-	-	Fx2x5a2mCWLZXkT9Pf	text/plain
1343243861.320253	C0txsL3iiBLgay8vh3	192.168.19.10	1041	72.51.49.55	80	1	GET	www.wigetmedia.com	/tags/movie2k.js	http://www.movie2k.to/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4394	200	OK	-	-	-	(empty)	-	-	-	-	-	Fjr2s83HxcV9dGeyE3	text/plain
1343243861.459991	CO1kv12D9wysvJzGek	192.168.19.10	1039	195.60.76.246	80	1	GET	img.movie2k.to	/img/background.gif	http://www.movie2k.to/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2850	200	OK	-	-	-	(empty)	-	-	-	-	-	F9uhhO1V2FanxCUYm3	image/gif
1343243861.652932	CIe6kS3HY8kFzi6P4l	192.168.19.10	1044	184.31.12.20	80	1	GET	s7.addthis.com	/js/250/addthis_widget.js	http://www.movie2k.to/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5627	200	OK	-	-	-	(empty)	-	-	-	-	-	FaSkCTb3xrtJCVN8l	text/plain
1343243861.657477	CO1kv12D9wysvJzGek	192.168.19.10	1039	195.60.76.246	80	2	GET	img.movie2k.to	/img/login/bg-button2.png	http://www.movie2k.to/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	932	200	OK	-	-	-	(empty)	-	-	-	-	-	FyZSee2DGubCVs0X9d	image/png
1343243861.88575	CpHJIW3JYSwxA9qia5	192.168.19.10	1045	74.125.134.138	80	1	GET	www.google-analytics.com	/ga.js	http://www.movie2k.to/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	36487	200	OK	-	-	-	(empty)	-	-	-	-	-	Fq19Ou1kvIjpO6zW62	text/plain
1343243861.803857	CIe6kS3HY8kFzi6P4l	192.168.19.10	1044	184.31.12.20	80	2	GET	s7.addthis.com	/static/r07/core025.js	http://www.movie2k.to/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	131819	200	OK	-	-	-	(empty)	-	-	-	-	-	FW2BzI1A4BAODl8Q4k	text/plain
1343243861.806027	CO1kv12D9wysvJzGek	192.168.19.10	1039	195.60.76.246	80	3	GET	img.movie2k.to	/img/gb1.gif	http://www.movie2k.to/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	319	200	OK	-	-	-	(empty)	-	-	-	-	-	FyCAcahBJNWstJnV7	image/gif
1343243862.028145	CIe6kS3HY8kFzi6P4l	192.168.19.10	1044	184.31.12.20	80	3	GET	s7.addthis.com	/static/r07/widget087.css	http://www.movie2k.to/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	54276	200	OK	-	-	-	(empty)	-	-	-	-	-	FJdLbG3btFBEc3gx7g	text/plain
