#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-30-15
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1339251980.091137	CajKynd6DB8nN6Nha	192.168.90.10	1029	111.92.188.22	80	1	GET	fusencead.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4122	200	OK	-	-	-	(empty)	-	-	-	-	-	FUw6XewzovaWbdi5e	binary
1339251981.064787	CbCkKb3g99Ms2r34yh	192.168.90.10	1036	125.141.204.61	80	1	GET	www.bcp.or.kr	/popup_img/popup.js	http://fusencead.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	510	200	OK	-	-	-	(empty)	-	-	-	-	-	Fsr9ca4qvxG7UYvGqi	text/plain
1339251981.370698	Cs76uo1d9csoYjpUk	192.168.90.10	1037	204.45.119.244	80	1	GET	0ql.info	/wm/huiwei/index.html	http://fusencead.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7104	200	OK	-	-	-	(empty)	-	-	-	-	-	FqT17K3SSEJH8Pll9i	text/html
1339251981.50156	Cv4KcM4wEjpQIlnc6	192.168.90.10	1038	204.45.119.244	80	1	GET	0ql.info	/wm/huiwei/swfobject.js	http://0ql.info/wm/huiwei/index.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8153	200	OK	-	-	-	(empty)	-	-	-	-	-	FqRrNq3Q7TobDKPNN2	text/plain
1339251981.644126	Cs76uo1d9csoYjpUk	192.168.90.10	1037	204.45.119.244	80	2	GET	0ql.info	/wm/huiwei/jpg.js	http://0ql.info/wm/huiwei/index.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	19883	200	OK	-	-	-	(empty)	-	-	-	-	-	FTZqjv1TEhpIo7aC3i	text/plain
1339251982.075246	CWbwdh2IepriLaOnA2	192.168.90.10	1040	204.45.119.244	80	1	GET	0v2.info	/m12/bangzi2.exe	http://0ql.info/wm/huiwei/index.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	40960	200	OK	-	-	-	(empty)	-	-	-	-	-	FCW8DL2aRmN1vN3RCf	application/x-dosexec
1339251982.795301	CFcpUE3T7FrwRHNKT2	192.168.90.10	1041	61.147.124.247	80	1	GET	count45.51yes.com	/click.aspx?id=457905147&logo=1	http://0ql.info/wm/huiwei/index.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1777	200	OK	-	-	-	(empty)	-	-	-	-	-	FATnQm30geDDmStUjf	text/html
1339251983.290346	CYEYQx4odZMBzO2kgd	192.168.90.10	1042	204.45.119.244	80	1	GET	0ql.info	/wm/huiwei/lzxa4.jpg	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2174	200	OK	-	-	-	(empty)	-	-	-	-	-	F9D5iN1TMDq55GFGha	application/jar
1339251983.60546	CURGcz4VnhdFTtvZjd	192.168.90.10	1044	204.45.119.244	80	1	GET	0ql.info	/wm/huiwei/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	1635	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FBIVpo2atdxxIQnMAl	text/html
1339251983.237527	CFcpUE3T7FrwRHNKT2	192.168.90.10	1041	61.147.124.247	80	2	GET	count45.51yes.com	/count1.gif	http://0ql.info/wm/huiwei/index.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	715	200	OK	-	-	-	(empty)	-	-	-	-	-	FkkEXT2UhvejCiB4kk	image/gif
1339251983.653977	CURGcz4VnhdFTtvZjd	192.168.90.10	1044	204.45.119.244	80	2	GET	0ql.info	/wm/huiwei/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	1635	404	Not Found	-	-	-	(empty)	-	-	-	-	-	Fus00r3Pp9rUHRq9aj	text/html
1339251983.702075	CURGcz4VnhdFTtvZjd	192.168.90.10	1044	204.45.119.244	80	3	GET	0ql.info	/wm/huiwei/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	1635	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FOTMN231ObsOj6wUF1	text/html
1339251983.751333	CURGcz4VnhdFTtvZjd	192.168.90.10	1044	204.45.119.244	80	4	GET	0ql.info	/wm/huiwei/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	1635	404	Not Found	-	-	-	(empty)	-	-	-	-	-	Fc23cI3sg9nNI4RSnc	text/html
