#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-36-32
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1321727138.49156	C19Gfm3WzWUUObOPb1	192.168.63.10	1030	183.81.161.42	80	1	GET	newtechnosite.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1321727139.323457	CnAKQ7Tr6qzLHNxg5	192.168.63.10	1031	183.81.161.42	80	1	GET	www.newtechnosite.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	51115	200	OK	-	-	-	(empty)	-	-	-	-	-	FT2KHC3uMnnzewxyk1	text/html
1321727140.436118	CnAKQ7Tr6qzLHNxg5	192.168.63.10	1031	183.81.161.42	80	2	GET	www.newtechnosite.com	/wp-content/themes/NewsPro/style.css	http://www.newtechnosite.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	16233	200	OK	-	-	-	(empty)	-	-	-	-	-	FdIBB54fbyTb5BpAFe	text/html
1321727140.658591	Cm6QDP1nUXsmcjb6d8	192.168.63.10	1036	183.81.161.42	80	1	GET	www.newtechnosite.com	/wp-includes/js/l10n.js?ver=20101110	http://www.newtechnosite.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	308	200	OK	-	-	-	(empty)	-	-	-	-	-	F3PYKa1keQyX0o0F5a	text/plain
1321727141.725226	Cm6QDP1nUXsmcjb6d8	192.168.63.10	1036	183.81.161.42	80	2	GET	www.newtechnosite.com	/wp-includes/js/jquery/jquery.js?ver=1.6.1	http://www.newtechnosite.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	91363	200	OK	-	-	-	(empty)	-	-	-	-	-	FSZI8GydviJmZ9PC8	text/html
1321727143.030165	Cm6QDP1nUXsmcjb6d8	192.168.63.10	1036	183.81.161.42	80	3	GET	www.newtechnosite.com	/wp-content/themes/NewsPro/inc/js/flowplayer/flowplayer-3.2.6.min.js?ver=3.2.1	http://www.newtechnosite.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	16815	200	OK	-	-	-	(empty)	-	-	-	-	-	F7LULs3LX73bFW8YBe	text/plain
1321727143.300213	Cm6QDP1nUXsmcjb6d8	192.168.63.10	1036	183.81.161.42	80	4	GET	www.newtechnosite.com	/wp-content/themes/NewsPro/inc/js/contentslider.js?ver=3.2.1	http://www.newtechnosite.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10712	200	OK	-	-	-	(empty)	-	-	-	-	-	FLHrkG3gONWY4ehJTh	text/plain
1321727143.551084	Cm6QDP1nUXsmcjb6d8	192.168.63.10	1036	183.81.161.42	80	5	GET	www.newtechnosite.com	/wp-content/themes/NewsPro/inc/js/slides.min.jquery.js?ver=3.2.1	http://www.newtechnosite.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8418	200	OK	-	-	-	(empty)	-	-	-	-	-	FHvpph4fZ5vaOS2VY6	text/plain
1321727143.796358	Cm6QDP1nUXsmcjb6d8	192.168.63.10	1036	183.81.161.42	80	6	GET	www.newtechnosite.com	/wp-content/themes/NewsPro/inc/js/superfish-1.4.8.js?ver=3.2.1	http://www.newtechnosite.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4564	200	OK	-	-	-	(empty)	-	-	-	-	-	F6Lg3H22NlBnA5cJ92	text/plain
1321727144.06435	Cm6QDP1nUXsmcjb6d8	192.168.63.10	1036	183.81.161.42	80	7	GET	www.newtechnosite.com	/wp-content/themes/NewsPro/styles/red/icons/jquery-1.1.3.1.pack.php	http://www.newtechnosite.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2447	200	OK	-	-	-	(empty)	-	-	-	-	-	FWG5jM1HsNJMozHnI5	text/plain
1321727146.233171	Cm6QDP1nUXsmcjb6d8	192.168.63.10	1036	183.81.161.42	80	8	GET	www.newtechnosite.com	/wp-content/themes/NewsPro/inc/js/jCarouselLite.js?ver=3.2.1	http://www.newtechnosite.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5384	200	OK	-	-	-	(empty)	-	-	-	-	-	FBU8H8Gs2N2B449G8	text/plain
1321727146.707897	ClMa1y1tnwGlChmUc9	192.168.63.10	1037	183.81.161.42	80	1	GET	www.newtechnosite.com	/wp-content/themes/NewsPro/images/button_go.gif	http://www.newtechnosite.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	350	200	OK	-	-	-	(empty)	-	-	-	-	-	FL6BGO3zVLMGEvAiK9	image/gif
1321727146.486756	Cm6QDP1nUXsmcjb6d8	192.168.63.10	1036	183.81.161.42	80	9	GET	www.newtechnosite.com	/wp-content/themes/NewsPro/styles/grey.css	http://www.newtechnosite.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	25293	200	OK	-	-	-	(empty)	-	-	-	-	-	F7xf8y2pYMEyeg88l2	text/plain
1321727146.892584	CMpowL1AJKR7XFdxS7	192.168.63.10	1038	188.72.201.34	80	1	GET	cpa.info.ms	/in.cgi?2	http://www.newtechnosite.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	180	302	Found	-	-	-	(empty)	-	-	-	-	-	F1CrU51puucGfwLG	text/html
1321727146.975362	Cm6QDP1nUXsmcjb6d8	192.168.63.10	1036	183.81.161.42	80	10	GET	www.newtechnosite.com	/wp-content/themes/NewsPro/styles/grey/icons/rss.png	http://www.newtechnosite.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4917	200	OK	-	-	-	(empty)	-	-	-	-	-	F31vU426rnL086ZqY5	image/png
